Annee,DateRap,JA,Comb,iLat,iLon,INT,Domaine,Rgn_ecolo,Dates,Month,Numero
1994,21/04/1994 13:48,1,D1,46.4007988,-76.03250122,,2,2a,21/04/1994,21-Apr-94,1
1994,21/04/1994 13:48,2,D1,46.4007988,-76.03250122,,2,2a,21/04/1994,21-Apr-94,1
1994,22/04/1994 14:30,1,AU,46.28079987,-76.00920105,,2,2a,22/04/1994,22-Apr-94,2
1994,22/04/1994 14:30,2,AU,46.28079987,-76.00920105,,2,2a,22/04/1994,22-Apr-94,2
1994,22/04/1994 14:30,3,AU,46.28079987,-76.00920105,,2,2a,22/04/1994,22-Apr-94,2
1994,22/04/1994 14:35,1,D1,45.81029892,-76.97419739,,1,1a,22/04/1994,22-Apr-94,3
1994,22/04/1994 14:35,2,D1,45.81029892,-76.97419739,,1,1a,22/04/1994,22-Apr-94,3
1994,22/04/1994 14:35,3,D1,45.81029892,-76.97419739,,1,1a,22/04/1994,22-Apr-94,3
1994,22/04/1994 14:35,4,D1,45.81029892,-76.97419739,,1,1a,22/04/1994,22-Apr-94,3
1994,22/04/1994 14:35,5,D1,45.81029892,-76.97419739,,1,1a,22/04/1994,22-Apr-94,3
1994,22/04/1994 19:15,1,M1,46.3830986,-75.72530365,,3,3b,22/04/1994,22-Apr-94,4
1994,22/04/1994 19:15,2,M1,46.3830986,-75.72530365,,3,3b,22/04/1994,22-Apr-94,4
1994,22/04/1994 19:15,3,M1,46.3830986,-75.72530365,,3,3b,22/04/1994,22-Apr-94,4
1994,22/04/1994 17:30,1,D1,48.01720047,-79.24890137,,4,4a,22/04/1994,22-Apr-94,5
1994,23/04/1994 14:55,1,D1,45.67029953,-75.9858017,,2,2a,23/04/1994,23-Apr-94,6
1994,23/04/1994 14:55,2,D1,45.67029953,-75.9858017,,2,2a,23/04/1994,23-Apr-94,6
1994,24/04/1994 13:31,1,O1A,45.95439911,-74.11889648,,3,3c,24/04/1994,24-Apr-94,7
1994,24/04/1994 13:31,2,O1A,45.95439911,-74.11889648,,3,3c,24/04/1994,24-Apr-94,7
1994,24/04/1994 18:15,1,DS,45.53250122,-75.97579956,,2,2a,24/04/1994,24-Apr-94,8
1994,24/04/1994 18:15,2,DS,45.53250122,-75.97579956,,2,2a,24/04/1994,24-Apr-94,8
1994,24/04/1994 18:15,3,DS,45.53250122,-75.97579956,,2,2a,24/04/1994,24-Apr-94,8
1994,23/04/1994 14:00,0,AU,46.23419952,-73.55750275,,3,3c,23/04/1994,23-Apr-94,9
1994,25/04/1994 10:00,0,DS,45.13560104,-71.78610229,,3,3d,25/04/1994,25-Apr-94,10
1994,30/04/1994 16:05,1,M1,46.38029861,-74.8321991,0,3,3b,30/04/1994,30-Apr-94,11
1994,30/04/1994 16:05,2,M1,46.38029861,-74.8321991,0,3,3b,30/04/1994,30-Apr-94,11
1994,30/04/1994 17:25,1,D1,45.81750107,-73.12419891,0,1,1a,30/04/1994,30-Apr-94,12
1994,02/05/1994 17:10,1,M1,46.22439957,-75.72029877,0,3,3b,02/05/1994,02-May-94,13
1994,02/05/1994 17:10,2,M1,46.22439957,-75.72029877,7,3,3b,02/05/1994,02-May-94,13
1994,02/05/1994 17:10,3,M1,46.22439957,-75.72029877,43,3,3b,02/05/1994,02-May-94,13
1994,02/05/1994 19:50,1,M1,49.13470078,-77.96309662,,5,5a,02/05/1994,02-May-94,14
1994,02/05/1994 19:50,2,M1,49.13470078,-77.96309662,,5,5a,02/05/1994,02-May-94,14
1994,03/05/1994 13:45,1,M1,46.13830185,-76.13559723,50,3,3a,03/05/1994,03-May-94,15
1994,03/05/1994 13:45,2,M1,46.13830185,-76.13559723,259,3,3a,03/05/1994,03-May-94,15
1994,03/05/1994 14:15,1,O1A,45.50920105,-75.70529938,46,1,1a,03/05/1994,03-May-94,16
1994,03/05/1994 14:15,2,O1A,45.50920105,-75.70529938,296,1,1a,03/05/1994,03-May-94,16
1994,03/05/1994 14:15,3,O1A,45.50920105,-75.70529938,516,1,1a,03/05/1994,03-May-94,16
1994,03/05/1994 14:45,1,D1,46.72079849,-79.09190369,,3,3a,03/05/1994,03-May-94,17
1994,03/05/1994 14:45,2,D1,46.72079849,-79.09190369,,3,3a,03/05/1994,03-May-94,17
1994,03/05/1994 14:45,3,D1,46.72079849,-79.09190369,,3,3a,03/05/1994,03-May-94,17
1994,03/05/1994 14:45,4,D1,46.72079849,-79.09190369,27,3,3a,03/05/1994,03-May-94,17
1994,03/05/1994 15:37,1,C2,47.68560028,-78.51390076,,4,4a,03/05/1994,03-May-94,18
1994,03/05/1994 15:37,2,C2,47.68560028,-78.51390076,,4,4a,03/05/1994,03-May-94,18
1994,03/05/1994 15:37,3,C2,47.68560028,-78.51390076,,4,4a,03/05/1994,03-May-94,18
1994,03/05/1994 15:37,4,C2,47.68560028,-78.51390076,,4,4a,03/05/1994,03-May-94,18
1994,03/05/1994 19:53,1,AU,48.19749832,-79.05249786,,5,5a,03/05/1994,03-May-94,19
1994,03/05/1994 19:53,2,AU,48.19749832,-79.05249786,,5,5a,03/05/1994,03-May-94,19
1994,04/05/1994 10:45,1,D1,48.78530121,-79.20079803,,5,5a,04/05/1994,04-May-94,20
1994,04/05/1994 12:30,1,D1,45.45640182,-75.79750061,22,1,1a,04/05/1994,04-May-94,21
1994,04/05/1994 12:30,2,D1,45.45640182,-75.79750061,72,1,1a,04/05/1994,04-May-94,21
