Latitude,Longitude,DC
50.45,-74.43,76.84632
50.45,-74.43,85.00598
50.45,-74.43,94.32954
50.45,-74.43,83.08049
50.45,-74.43,78.72567
50.45,-74.43,86.97072
50.45,-74.43,86.63436
50.45,-74.43,85.9312
50.45,-74.43,90.90944
50.45,-74.43,87.39127
50.45,-74.43,86.88514
50.45,-74.43,84.39225
50.45,-74.43,76.088
50.45,-74.43,87.34678
50.45,-74.43,99.0347
50.45,-74.43,81.33083
50.45,-74.43,81.68812
50.45,-74.43,87.37334
50.45,-74.43,91.27011
50.45,-74.43,95.58212
50.45,-74.43,91.5638
50.45,-74.43,73.53314
50.45,-74.43,87.3292
50.45,-74.43,85.61206
50.45,-74.43,94.61386
50.45,-74.43,88.06497
50.45,-74.43,82.40249
50.45,-74.43,83.75991
50.45,-74.43,86.9981
50.45,-74.43,79.51763
50.45,-74.43,77.10531
50.45,-74.43,85.4671
50.45,-74.43,94.67864
50.45,-74.43,83.09313
50.45,-74.43,78.49434
50.45,-74.43,86.33804
50.45,-74.43,86.95259
50.45,-74.43,86.18485
50.45,-74.43,91.05909
50.45,-74.43,87.69047
50.45,-74.43,86.64942
50.45,-74.43,84.92607
50.45,-74.43,76.40196
50.45,-74.43,87.01838
50.45,-74.43,99.37169
50.45,-74.43,81.47407
50.45,-74.43,81.64229
50.45,-74.43,87.61399
50.45,-74.43,91.48008
50.45,-74.43,95.83491
50.45,-74.43,91.59695
50.45,-74.43,73.75774
50.45,-74.43,87.49916
50.45,-74.43,85.15342
50.45,-74.43,94.83428
50.45,-74.43,88.29407
50.45,-74.43,81.89825
50.45,-74.43,83.49868
50.45,-74.43,87.23476
50.45,-74.43,79.72863
50.44,-74.43,76.9117
50.44,-74.43,85.45471
50.44,-74.43,94.16375
50.44,-74.43,83.13027
50.44,-74.43,78.55337
50.44,-74.43,86.42306
50.44,-74.43,86.95054
50.44,-74.43,86.23708
50.44,-74.43,91.10173
50.44,-74.43,87.24582
50.44,-74.43,86.7677
50.44,-74.43,84.93396
50.44,-74.43,76.45893
50.44,-74.43,87.08353
50.44,-74.43,99.4042
50.44,-74.43,81.197
50.44,-74.43,81.34332
50.44,-74.43,87.65565
50.44,-74.43,91.4011
50.44,-74.43,95.99361
50.44,-74.43,91.65694
50.44,-74.43,73.79321
50.44,-74.43,87.59898
50.44,-74.43,85.14191
50.44,-74.43,94.82672
50.44,-74.43,88.30848
50.44,-74.43,81.96853
50.44,-74.43,83.72622
50.44,-74.43,87.26506
50.44,-74.43,79.82309
