Latitude,Longitude,DC
50.45,-74.43,90.97408
50.45,-74.43,98.63851
50.45,-74.43,86.20705
50.45,-74.43,88.225
50.45,-74.43,87.08506
50.45,-74.43,88.52355
50.45,-74.43,90.94561
50.45,-74.43,81.20829
50.45,-74.43,96.67482
50.45,-74.43,76.25498
50.45,-74.43,80.88897
50.45,-74.43,85.39884
50.45,-74.43,91.61433
50.45,-74.43,81.61955
50.45,-74.43,86.87703
50.45,-74.43,94.63721
50.45,-74.43,93.61739
50.45,-74.43,88.39911
50.45,-74.43,90.63944
50.45,-74.43,84.46776
50.45,-74.43,96.75585
50.45,-74.43,90.38322
50.45,-74.43,88.41944
50.45,-74.43,92.67019
50.45,-74.43,83.19364
50.45,-74.43,84.80424
50.45,-74.43,82.5735
50.45,-74.43,83.51152
50.45,-74.43,76.03237
50.45,-74.43,93.5765
50.45,-74.43,91.29942
50.45,-74.43,98.96647
50.45,-74.43,86.35639
50.45,-74.43,88.42413
50.45,-74.43,87.48082
50.45,-74.43,88.66112
50.45,-74.43,91.353
50.45,-74.43,81.05747
50.45,-74.43,97.00512
50.45,-74.43,76.31827
50.45,-74.43,81.16699
50.45,-74.43,85.09398
50.45,-74.43,91.75884
50.45,-74.43,82.00004
50.45,-74.43,87.03768
50.45,-74.43,94.22859
50.45,-74.43,93.86224
50.45,-74.43,88.64472
50.45,-74.43,90.51914
50.45,-74.43,84.82405
50.45,-74.43,97.08362
50.45,-74.43,90.78309
50.45,-74.43,88.65898
50.45,-74.43,92.94975
50.45,-74.43,83.6047
50.45,-74.43,84.61763
50.45,-74.43,82.75556
50.45,-74.43,83.81603
50.45,-74.43,75.39213
50.45,-74.43,93.78804
50.44,-74.43,91.34423
50.44,-74.43,98.90695
50.44,-74.43,86.32503
50.44,-74.43,88.41719
50.44,-74.43,87.01771
50.44,-74.43,88.65057
50.44,-74.43,91.20919
50.44,-74.43,80.96048
50.44,-74.43,97.04579
50.44,-74.43,76.37419
50.44,-74.43,81.15163
50.44,-74.43,85.08262
50.44,-74.43,91.79367
50.44,-74.43,82.08094
50.44,-74.43,87.12443
50.44,-74.43,94.21377
50.44,-74.43,93.61367
50.44,-74.43,88.66608
50.44,-74.43,90.50386
50.44,-74.43,84.64152
50.44,-74.43,97.06275
50.44,-74.43,90.72735
50.44,-74.43,88.68523
50.44,-74.43,92.99749
50.44,-74.43,83.58639
50.44,-74.43,84.63891
50.44,-74.43,82.71265
50.44,-74.43,83.79626
50.44,-74.43,75.38346
50.44,-74.43,93.7646
50.46,-74.43,91.32568
50.46,-74.43,98.97594
50.46,-74.43,86.47467
50.46,-74.43,88.53449
50.46,-74.43,87.51095
50.46,-74.43,88.67738
50.46,-74.43,91.39988
50.46,-74.43,80.98046
50.46,-74.43,96.94207
50.46,-74.43,76.36877
50.46,-74.43,81.26252
50.46,-74.43,85.07162
50.46,-74.43,91.7582
50.46,-74.43,81.99212
50.46,-74.43,87.04197
50.46,-74.43,94.25376
50.46,-74.43,93.74874
50.46,-74.43,88.59182
50.46,-74.43,90.97908
50.46,-74.43,84.71484
50.46,-74.43,97.05637
50.46,-74.43,90.78478
50.46,-74.43,88.61133
50.46,-74.43,92.98626
50.46,-74.43,83.58197
50.46,-74.43,85.12006
50.46,-74.43,82.78895
50.46,-74.43,83.79336
50.46,-74.43,75.31163
50.46,-74.43,93.60963
50.46,-74.42,91.87581
50.46,-74.42,99.92659
50.46,-74.42,86.85826
50.46,-74.42,89.48871
50.46,-74.42,88.7967
50.46,-74.42,89.93621
50.46,-74.42,92.80048
50.46,-74.42,82.42182
50.46,-74.42,97.9412
50.46,-74.42,77.00675
50.46,-74.42,82.04048
50.46,-74.42,86.24327
50.46,-74.42,92.54281
50.46,-74.42,82.73171
50.46,-74.42,87.971
50.46,-74.42,95.48563
50.46,-74.42,94.83684
50.46,-74.42,89.36405
50.46,-74.42,91.91894
50.46,-74.42,85.43087
50.46,-74.42,98.62469
50.46,-74.42,91.55151
50.46,-74.42,89.31527
50.46,-74.42,93.91414
50.46,-74.42,84.5714
50.46,-74.42,85.62399
50.46,-74.42,83.67603
50.46,-74.42,84.90983
50.46,-74.42,77.26879
50.46,-74.42,94.78753
50.45,-74.42,92.00467
50.45,-74.42,100.06496
50.45,-74.42,87.20744
50.45,-74.42,89.54073
50.45,-74.42,88.76192
50.45,-74.42,89.73812
50.45,-74.42,92.76865
50.45,-74.42,82.07997
50.45,-74.42,98.11871
50.45,-74.42,77.16814
50.45,-74.42,82.12031
50.45,-74.42,86.3849
50.45,-74.42,92.37299
50.45,-74.42,82.87905
50.45,-74.42,88.19582
50.45,-74.42,94.94351
50.45,-74.42,94.90723
50.45,-74.42,89.59456
50.45,-74.42,91.97171
50.45,-74.42,85.50998
50.45,-74.42,98.2515
50.45,-74.42,91.72404
50.45,-74.42,89.42459
50.45,-74.42,94.06856
50.45,-74.42,84.76479
50.45,-74.42,85.83789
50.45,-74.42,83.73376
50.45,-74.42,84.96055
50.45,-74.42,77.01116
50.45,-74.42,94.59446
50.35,-74.68,90.54597
50.35,-74.68,98.01216
50.35,-74.68,85.81501
50.35,-74.68,86.98435
50.35,-74.68,86.51589
50.35,-74.68,87.96592
50.35,-74.68,90.97894
50.35,-74.68,80.31672
50.35,-74.68,96.6064
50.35,-74.68,75.92308
50.35,-74.68,80.29179
50.35,-74.68,83.59381
50.35,-74.68,91.09662
50.35,-74.68,81.63479
50.35,-74.68,86.64634
50.35,-74.68,93.42855
50.35,-74.68,93.12478
50.35,-74.68,88.46693
50.35,-74.68,89.54965
50.35,-74.68,83.7886
50.35,-74.68,96.21686
50.35,-74.68,89.44051
50.35,-74.68,88.07855
50.35,-74.68,92.58377
50.35,-74.68,82.8882
50.35,-74.68,83.37245
50.35,-74.68,83.31358
50.35,-74.68,83.0065
50.35,-74.68,75.2952
50.35,-74.68,92.61384
50.36,-74.69,90.55008
50.36,-74.69,98.09591
50.36,-74.69,85.78868
50.36,-74.69,87.29062
50.36,-74.69,86.51686
50.36,-74.69,87.80803
50.36,-74.69,90.95555
50.36,-74.69,80.27175
50.36,-74.69,96.6055
50.36,-74.69,75.88686
50.36,-74.69,80.29107
50.36,-74.69,83.58526
50.36,-74.69,91.03096
50.36,-74.69,81.9544
50.36,-74.69,86.61722
50.36,-74.69,93.40423
50.36,-74.69,93.09041
50.36,-74.69,88.47884
50.36,-74.69,89.4816
50.36,-74.69,83.71664
50.36,-74.69,96.23134
50.36,-74.69,89.83025
50.36,-74.69,87.99068
50.36,-74.69,92.51484
