Latitude,Longitude,DC
50.45,-74.43,86.10126
50.45,-74.43,89.89284
50.45,-74.43,85.47852
50.45,-74.43,75.36939
50.45,-74.43,84.08625
50.45,-74.43,78.73468
50.45,-74.43,79.86765
50.45,-74.43,89.94714
50.45,-74.43,79.3507
50.45,-74.43,84.16456
50.45,-74.43,82.72751
50.45,-74.43,87.5207
50.45,-74.43,94.55482
50.45,-74.43,83.87774
50.45,-74.43,80.38274
50.45,-74.43,88.29281
50.45,-74.43,86.30285
50.45,-74.43,90.96103
50.45,-74.43,76.84116
50.45,-74.43,92.91588
50.45,-74.43,75.54411
50.45,-74.43,83.99077
50.45,-74.43,87.71396
50.45,-74.43,84.20982
50.45,-74.43,90.75171
50.45,-74.43,80.27503
50.45,-74.43,86.80219
50.45,-74.43,78.00849
50.45,-74.43,93.31504
50.45,-74.43,75.39212
50.45,-74.43,86.35501
50.45,-74.43,90.151
50.45,-74.43,85.96303
50.45,-74.43,75.65967
50.45,-74.43,84.41939
50.45,-74.43,79.05196
50.45,-74.43,80.17211
50.45,-74.43,90.09659
50.45,-74.43,79.54537
50.45,-74.43,84.31926
50.45,-74.43,82.5753
50.45,-74.43,87.80485
50.45,-74.43,94.79853
50.45,-74.43,84.14436
50.45,-74.43,80.69789
50.45,-74.43,88.17029
50.45,-74.43,86.00829
50.45,-74.43,90.85176
50.45,-74.43,77.06127
50.45,-74.43,93.14093
50.45,-74.43,75.53001
50.45,-74.43,84.18814
50.45,-74.43,87.55012
50.45,-74.43,84.54734
50.45,-74.43,90.95017
50.45,-74.43,80.55323
50.45,-74.43,86.83132
50.45,-74.43,78.17123
50.45,-74.43,93.4361
50.45,-74.43,75.57526
50.44,-74.43,86.33602
50.44,-74.43,90.11052
50.44,-74.43,85.93538
50.44,-74.43,75.66202
50.44,-74.43,84.34897
50.44,-74.43,78.61013
50.44,-74.43,80.10442
50.44,-74.43,89.87973
50.44,-74.43,79.52342
50.44,-74.43,83.93085
50.44,-74.43,82.61876
50.44,-74.43,87.79867
50.44,-74.43,94.77416
50.44,-74.43,84.09819
50.44,-74.43,80.65851
50.44,-74.43,88.1713
50.44,-74.43,85.98572
50.44,-74.43,90.85013
50.44,-74.43,77.04757
50.44,-74.43,93.07295
50.44,-74.43,75.53583
50.44,-74.43,84.15743
50.44,-74.43,87.49214
50.44,-74.43,84.52008
50.44,-74.43,90.88844
50.44,-74.43,80.51186
50.44,-74.43,86.8674
50.44,-74.43,78.17737
50.44,-74.43,93.36707
50.44,-74.43,75.54342
50.46,-74.43,86.31288
50.46,-74.43,90.18859
50.46,-74.43,86.11817
50.46,-74.43,75.59556
50.46,-74.43,84.57021
50.46,-74.43,79.01595
50.46,-74.43,80.23577
50.46,-74.43,90.08949
50.46,-74.43,79.57466
50.46,-74.43,84.48566
50.46,-74.43,82.5931
50.46,-74.43,87.8017
50.46,-74.43,94.7882
50.46,-74.43,84.28393
50.46,-74.43,80.67603
50.46,-74.43,88.60615
50.46,-74.43,86.16494
50.46,-74.43,90.84868
50.46,-74.43,76.96587
50.46,-74.43,93.12257
50.46,-74.43,75.50648
50.46,-74.43,84.2496
50.46,-74.43,87.55951
50.46,-74.43,84.56698
50.46,-74.43,91.15993
50.46,-74.43,80.36591
50.46,-74.43,86.871
50.46,-74.43,78.21551
50.46,-74.43,93.4826
50.46,-74.43,75.63972
50.46,-74.42,87.04266
50.46,-74.42,91.44926
50.46,-74.42,86.84826
50.46,-74.42,75.89409
50.46,-74.42,85.24346
50.46,-74.42,79.77719
50.46,-74.42,81.13846
50.46,-74.42,91.23699
50.46,-74.42,80.62954
50.46,-74.42,85.43542
50.46,-74.42,83.62996
50.46,-74.42,88.94758
50.46,-74.42,95.50485
50.46,-74.42,84.88581
50.46,-74.42,81.57577
50.46,-74.42,89.29271
50.46,-74.42,87.45581
50.46,-74.42,92.1268
50.46,-74.42,77.46799
50.46,-74.42,94.2549
50.46,-74.42,76.38069
50.46,-74.42,85.28494
