Latitude,Longitude,DC
50.45,-74.43,68.49486
50.45,-74.43,75.581
50.45,-74.43,83.39325
50.45,-74.43,72.951
50.45,-74.43,78.29857
50.45,-74.43,81.17454
50.45,-74.43,87.73638
50.45,-74.43,73.77773
50.45,-74.43,74.92812
50.45,-74.43,78.31624
50.45,-74.43,90.85643
50.45,-74.43,88.59154
50.45,-74.43,83.37294
50.45,-74.43,86.93599
50.45,-74.43,77.09369
50.45,-74.43,93.59695
50.45,-74.43,80.73372
50.45,-74.43,92.95179
50.45,-74.43,81.91086
50.45,-74.43,86.06796
50.45,-74.43,81.79517
50.45,-74.43,83.09471
50.45,-74.43,76.65703
50.45,-74.43,94.03719
50.45,-74.43,85.73844
50.45,-74.43,83.27325
50.45,-74.43,85.16642
50.45,-74.43,79.77103
50.45,-74.43,85.79526
50.45,-74.43,84.21997
50.45,-74.43,68.69248
50.45,-74.43,75.81054
50.45,-74.43,83.41658
50.45,-74.43,73.06268
50.45,-74.43,78.44251
50.45,-74.43,81.0636
50.45,-74.43,87.31377
50.45,-74.43,73.71568
50.45,-74.43,75.05585
50.45,-74.43,78.44154
50.45,-74.43,90.88081
50.45,-74.43,88.52393
50.45,-74.43,83.57815
50.45,-74.43,87.1822
50.45,-74.43,77.21911
50.45,-74.43,93.38779
50.45,-74.43,81.01451
50.45,-74.43,93.17074
50.45,-74.43,82.15895
50.45,-74.43,86.23687
50.45,-74.43,82.05925
50.45,-74.43,83.31312
50.45,-74.43,76.44567
50.45,-74.43,93.84386
50.45,-74.43,86.04468
50.45,-74.43,83.17376
50.45,-74.43,85.35808
50.45,-74.43,79.66288
50.45,-74.43,86.0103
50.45,-74.43,84.23502
50.44,-74.43,68.73127
50.44,-74.43,75.83763
50.44,-74.43,83.45781
50.44,-74.43,73.09388
50.44,-74.43,78.47523
50.44,-74.43,81.07187
50.44,-74.43,87.36157
50.44,-74.43,73.75819
50.44,-74.43,75.12855
50.44,-74.43,78.47511
50.44,-74.43,90.89328
50.44,-74.43,88.57586
50.44,-74.43,83.60738
50.44,-74.43,87.18725
50.44,-74.43,77.08325
50.44,-74.43,93.5784
50.44,-74.43,81.01238
50.44,-74.43,93.23289
50.44,-74.43,82.22804
50.44,-74.43,86.13369
50.44,-74.43,82.09193
50.44,-74.43,83.34639
50.44,-74.43,76.53412
50.44,-74.43,93.96741
50.44,-74.43,86.08781
50.44,-74.43,82.89212
50.44,-74.43,85.4231
50.44,-74.43,79.7027
50.44,-74.43,86.05564
50.44,-74.43,84.27166
50.46,-74.43,68.65273
50.46,-74.43,75.78478
50.46,-74.43,83.66411
50.46,-74.43,73.02928
50.46,-74.43,78.38209
50.46,-74.43,81.30782
50.46,-74.43,87.74816
50.46,-74.43,73.68577
50.46,-74.43,75.0193
50.46,-74.43,78.48138
50.46,-74.43,91.14348
50.46,-74.43,88.48331
50.46,-74.43,83.55393
50.46,-74.43,87.13311
50.46,-74.43,77.24528
50.46,-74.43,93.39458
50.46,-74.43,80.97167
50.46,-74.43,93.10007
50.46,-74.43,82.02938
50.46,-74.43,86.16233
50.46,-74.43,82.04021
50.46,-74.43,83.26819
50.46,-74.43,76.42121
50.46,-74.43,93.76957
50.46,-74.43,86.11878
50.46,-74.43,83.53365
50.46,-74.43,85.3327
50.46,-74.43,79.64526
50.46,-74.43,85.99915
50.46,-74.43,84.15835
50.46,-74.42,69.6617
50.46,-74.42,76.94091
50.46,-74.42,84.74216
50.46,-74.42,74.51722
50.46,-74.42,79.35951
50.46,-74.42,82.5286
50.46,-74.42,89.61437
50.46,-74.42,74.51174
50.46,-74.42,76.21269
50.46,-74.42,79.74333
50.46,-74.42,92.3169
50.46,-74.42,90.02705
50.46,-74.42,84.65617
