Latitude,Longitude,TMean (°C)
50.45,-74.43,1.272
50.45,-74.43,1.374
50.45,-74.43,1.361
50.45,-74.43,1.127
50.45,-74.43,0.855
50.45,-74.43,1.016
50.45,-74.43,0.857
50.45,-74.43,0.969
50.45,-74.43,1.237
50.45,-74.43,1.278
50.45,-74.43,1.103
50.45,-74.43,1.009
50.45,-74.43,1.386
50.45,-74.43,1.061
50.45,-74.43,1.243
50.45,-74.43,1.201
50.45,-74.43,1.239
50.45,-74.43,1.285
50.45,-74.43,1.21
50.45,-74.43,0.937
50.45,-74.43,0.9
50.45,-74.43,0.975
50.45,-74.43,1.252
50.45,-74.43,0.889
50.45,-74.43,0.956
50.45,-74.43,1.18
50.45,-74.43,1.351
50.45,-74.43,1.228
50.45,-74.43,1.202
50.45,-74.43,0.983
50.45,-74.43,1.302
50.45,-74.43,1.405
50.45,-74.43,1.391
50.45,-74.43,1.157
50.45,-74.43,0.885
50.45,-74.43,1.047
50.45,-74.43,0.887
50.45,-74.43,0.999
50.45,-74.43,1.268
50.45,-74.43,1.308
50.45,-74.43,1.134
50.45,-74.43,1.039
50.45,-74.43,1.417
50.45,-74.43,1.092
50.45,-74.43,1.274
50.45,-74.43,1.232
50.45,-74.43,1.27
50.45,-74.43,1.316
50.45,-74.43,1.241
50.45,-74.43,0.968
50.45,-74.43,0.93
50.45,-74.43,1.006
50.45,-74.43,1.282
50.45,-74.43,0.919
50.45,-74.43,0.986
50.45,-74.43,1.21
50.45,-74.43,1.381
50.45,-74.43,1.258
50.45,-74.43,1.233
50.45,-74.43,1.014
50.44,-74.43,1.314
50.44,-74.43,1.416
50.44,-74.43,1.403
50.44,-74.43,1.168
50.44,-74.43,0.897
50.44,-74.43,1.058
50.44,-74.43,0.899
50.44,-74.43,1.011
50.44,-74.43,1.279
50.44,-74.43,1.32
50.44,-74.43,1.145
50.44,-74.43,1.05
50.44,-74.43,1.428
50.44,-74.43,1.103
50.44,-74.43,1.285
50.44,-74.43,1.243
50.44,-74.43,1.281
50.44,-74.43,1.327
50.44,-74.43,1.252
50.44,-74.43,0.979
50.44,-74.43,0.941
50.44,-74.43,1.017
50.44,-74.43,1.293
50.44,-74.43,0.93
50.44,-74.43,0.997
50.44,-74.43,1.221
50.44,-74.43,1.392
50.44,-74.43,1.27
50.44,-74.43,1.244
50.44,-74.43,1.025
50.46,-74.43,1.291
50.46,-74.43,1.393
50.46,-74.43,1.38
50.46,-74.43,1.146
50.46,-74.43,0.874
50.46,-74.43,1.035
50.46,-74.43,0.876
50.46,-74.43,0.988
50.46,-74.43,1.256
50.46,-74.43,1.297
50.46,-74.43,1.122
50.46,-74.43,1.028
50.46,-74.43,1.405
50.46,-74.43,1.08
50.46,-74.43,1.262
50.46,-74.43,1.22
50.46,-74.43,1.258
50.46,-74.43,1.304
50.46,-74.43,1.229
50.46,-74.43,0.956
50.46,-74.43,0.919
50.46,-74.43,0.994
50.46,-74.43,1.271
50.46,-74.43,0.908
50.46,-74.43,0.975
50.46,-74.43,1.199
50.46,-74.43,1.37
50.46,-74.43,1.247
50.46,-74.43,1.221
50.46,-74.43,1.002
50.46,-74.42,1.26
50.46,-74.42,1.363
50.46,-74.42,1.349
50.46,-74.42,1.115
50.46,-74.42,0.844
50.46,-74.42,1.005
50.46,-74.42,0.846
50.46,-74.42,0.957
50.46,-74.42,1.226
50.46,-74.42,1.266
50.46,-74.42,1.092
50.46,-74.42,0.997
50.46,-74.42,1.375
50.46,-74.42,1.05
50.46,-74.42,1.232
50.46,-74.42,1.19
50.46,-74.42,1.228
50.46,-74.42,1.274
50.46,-74.42,1.199
50.46,-74.42,0.926
50.46,-74.42,0.888
50.46,-74.42,0.964
50.46,-74.42,1.24
50.46,-74.42,0.877
50.46,-74.42,0.944
50.46,-74.42,1.168
50.46,-74.42,1.339
50.46,-74.42,1.216
50.46,-74.42,1.191
50.46,-74.42,0.972
50.45,-74.42,1.287
50.45,-74.42,1.389
50.45,-74.42,1.376
50.45,-74.42,1.142
50.45,-74.42,0.87
50.45,-74.42,1.031
50.45,-74.42,0.872
50.45,-74.42,0.984
50.45,-74.42,1.252
50.45,-74.42,1.293
50.45,-74.42,1.118
50.45,-74.42,1.024
50.45,-74.42,1.401
50.45,-74.42,1.076
50.45,-74.42,1.258
50.45,-74.42,1.216
50.45,-74.42,1.254
50.45,-74.42,1.3
50.45,-74.42,1.225
50.45,-74.42,0.952
50.45,-74.42,0.915
50.45,-74.42,0.99
50.45,-74.42,1.266
50.45,-74.42,0.904
50.45,-74.42,0.971
50.45,-74.42,1.195
50.45,-74.42,1.365
50.45,-74.42,1.243
50.45,-74.42,1.217
50.45,-74.42,0.998
50.35,-74.68,1.491
50.35,-74.68,1.6
50.35,-74.68,1.582
50.35,-74.68,1.36
50.35,-74.68,1.094
50.35,-74.68,1.242
50.35,-74.68,1.082
50.35,-74.68,1.203
50.35,-74.68,1.472
50.35,-74.68,1.5
50.35,-74.68,1.332
50.35,-74.68,1.235
50.35,-74.68,1.618
50.35,-74.68,1.296
50.35,-74.68,1.471
50.35,-74.68,1.455
50.35,-74.68,1.464
50.35,-74.68,1.51
50.35,-74.68,1.434
50.35,-74.68,1.168
50.35,-74.68,1.14
50.35,-74.68,1.201
50.35,-74.68,1.48
50.35,-74.68,1.116
50.35,-74.68,1.182
50.35,-74.68,1.413
50.35,-74.68,1.568
50.35,-74.68,1.452
50.35,-74.68,1.436
50.35,-74.68,1.231
50.36,-74.69,1.48
50.36,-74.69,1.589
50.36,-74.69,1.571
50.36,-74.69,1.349
50.36,-74.69,1.083
50.36,-74.69,1.231
50.36,-74.69,1.071
50.36,-74.69,1.192
50.36,-74.69,1.461
50.36,-74.69,1.489
50.36,-74.69,1.321
50.36,-74.69,1.224
50.36,-74.69,1.607
50.36,-74.69,1.285
50.36,-74.69,1.46
50.36,-74.69,1.444
50.36,-74.69,1.453
50.36,-74.69,1.499
50.36,-74.69,1.423
50.36,-74.69,1.157
50.36,-74.69,1.129
50.36,-74.69,1.19
50.36,-74.69,1.469
50.36,-74.69,1.105
50.36,-74.69,1.171
50.36,-74.69,1.402
50.36,-74.69,1.557
50.36,-74.69,1.44
50.36,-74.69,1.425
50.36,-74.69,1.22
50.36,-74.69,1.513
50.36,-74.69,1.622
50.36,-74.69,1.604
50.36,-74.69,1.382
50.36,-74.69,1.116
50.36,-74.69,1.264
50.36,-74.69,1.104
50.36,-74.69,1.225
50.36,-74.69,1.494
50.36,-74.69,1.522
50.36,-74.69,1.354
50.36,-74.69,1.257
50.36,-74.69,1.64
50.36,-74.69,1.318
50.36,-74.69,1.493
50.36,-74.69,1.477
50.36,-74.69,1.486
50.36,-74.69,1.532
50.36,-74.69,1.456
50.36,-74.69,1.19
50.36,-74.69,1.162
50.36,-74.69,1.223
50.36,-74.69,1.502
50.36,-74.69,1.138
50.36,-74.69,1.204
50.36,-74.69,1.435
50.36,-74.69,1.59
50.36,-74.69,1.473
50.36,-74.69,1.458
50.36,-74.69,1.253
50.36,-74.69,1.808
50.36,-74.69,1.917
50.36,-74.69,1.899
50.36,-74.69,1.678
50.36,-74.69,1.412
50.36,-74.69,1.559
50.36,-74.69,1.4
50.36,-74.69,1.52
50.36,-74.69,1.789
50.36,-74.69,1.817
50.36,-74.69,1.65
50.36,-74.69,1.552
50.36,-74.69,1.935
50.36,-74.69,1.614
50.36,-74.69,1.788
50.36,-74.69,1.772
50.36,-74.69,1.781
50.36,-74.69,1.828
50.36,-74.69,1.752
50.36,-74.69,1.485
50.36,-74.69,1.457
50.36,-74.69,1.518
50.36,-74.69,1.797
50.36,-74.69,1.433
50.36,-74.69,1.499
50.36,-74.69,1.73
50.36,-74.69,1.885
50.36,-74.69,1.769
50.36,-74.69,1.753
50.36,-74.69,1.549
50.35,-74.67,1.491
50.35,-74.67,1.6
50.35,-74.67,1.582
50.35,-74.67,1.36
50.35,-74.67,1.094
50.35,-74.67,1.242
50.35,-74.67,1.082
50.35,-74.67,1.203
50.35,-74.67,1.472
50.35,-74.67,1.5
50.35,-74.67,1.332
50.35,-74.67,1.235
50.35,-74.67,1.618
50.35,-74.67,1.296
50.35,-74.67,1.471
50.35,-74.67,1.455
50.35,-74.67,1.464
50.35,-74.67,1.51
50.35,-74.67,1.434
50.35,-74.67,1.168
50.35,-74.67,1.14
50.35,-74.67,1.201
50.35,-74.67,1.48
50.35,-74.67,1.116
50.35,-74.67,1.182
50.35,-74.67,1.413
50.35,-74.67,1.568
50.35,-74.67,1.451
50.35,-74.67,1.436
50.35,-74.67,1.231
50.35,-74.67,1.488
50.35,-74.67,1.596
50.35,-74.67,1.579
50.35,-74.67,1.357
50.35,-74.67,1.091
50.35,-74.67,1.238
50.35,-74.67,1.079
50.35,-74.67,1.199
50.35,-74.67,1.469
50.35,-74.67,1.497
50.35,-74.67,1.329
50.35,-74.67,1.232
50.35,-74.67,1.615
50.35,-74.67,1.293
50.35,-74.67,1.467
50.35,-74.67,1.452
50.35,-74.67,1.461
50.35,-74.67,1.507
50.35,-74.67,1.431
50.35,-74.67,1.164
50.35,-74.67,1.136
50.35,-74.67,1.198
50.35,-74.67,1.476
50.35,-74.67,1.112
50.35,-74.67,1.178
50.35,-74.67,1.41
50.35,-74.67,1.565
50.35,-74.67,1.448
50.35,-74.67,1.432
50.35,-74.67,1.228
50.34,-74.67,1.519
50.34,-74.67,1.627
50.34,-74.67,1.61
50.34,-74.67,1.388
50.34,-74.67,1.122
50.34,-74.67,1.269
50.34,-74.67,1.11
50.34,-74.67,1.23
50.34,-74.67,1.499
50.34,-74.67,1.528
50.34,-74.67,1.36
50.34,-74.67,1.262
50.34,-74.67,1.646
50.34,-74.67,1.323
50.34,-74.67,1.498
50.34,-74.67,1.482
50.34,-74.67,1.492
50.34,-74.67,1.538
50.34,-74.67,1.462
50.34,-74.67,1.195
50.34,-74.67,1.167
50.34,-74.67,1.228
50.34,-74.67,1.507
50.34,-74.67,1.143
50.34,-74.67,1.209
50.34,-74.67,1.44
50.34,-74.67,1.596
50.34,-74.67,1.479
50.34,-74.67,1.463
50.34,-74.67,1.259
50.34,-74.67,1.535
50.34,-74.67,1.644
50.34,-74.67,1.626
50.34,-74.67,1.404
50.34,-74.67,1.138
50.34,-74.67,1.286
50.34,-74.67,1.126
50.34,-74.67,1.247
50.34,-74.67,1.516
50.34,-74.67,1.544
50.34,-74.67,1.376
50.34,-74.67,1.279
50.34,-74.67,1.662
50.34,-74.67,1.34
50.34,-74.67,1.515
50.34,-74.67,1.499
50.34,-74.67,1.508
50.34,-74.67,1.554
50.34,-74.67,1.478
50.34,-74.67,1.212
50.34,-74.67,1.183
50.34,-74.67,1.245
50.34,-74.67,1.524
50.34,-74.67,1.16
50.34,-74.67,1.226
50.34,-74.67,1.457
50.34,-74.67,1.612
50.34,-74.67,1.496
50.34,-74.67,1.48
50.34,-74.67,1.275
50.34,-74.67,1.552
50.34,-74.67,1.66
50.34,-74.67,1.643
50.34,-74.67,1.421
50.34,-74.67,1.154
50.34,-74.67,1.302
50.34,-74.67,1.143
50.34,-74.67,1.263
50.34,-74.67,1.532
50.34,-74.67,1.561
50.34,-74.67,1.393
50.34,-74.67,1.295
50.34,-74.67,1.679
50.34,-74.67,1.356
50.34,-74.67,1.531
50.34,-74.67,1.515
50.34,-74.67,1.525
50.34,-74.67,1.571
50.34,-74.67,1.495
50.34,-74.67,1.228
50.34,-74.67,1.2
50.34,-74.67,1.261
50.34,-74.67,1.54
50.34,-74.67,1.176
50.34,-74.67,1.242
50.34,-74.67,1.473
50.34,-74.67,1.629
50.34,-74.67,1.512
50.34,-74.67,1.496
50.34,-74.67,1.292
50.32,-74.59,1.568
50.32,-74.59,1.67
50.32,-74.59,1.658
50.32,-74.59,1.421
50.32,-74.59,1.147
50.32,-74.59,1.313
50.32,-74.59,1.152
50.32,-74.59,1.263
50.32,-74.59,1.533
50.32,-74.59,1.576
50.32,-74.59,1.402
50.32,-74.59,1.303
50.32,-74.59,1.684
50.32,-74.59,1.355
50.32,-74.59,1.539
50.32,-74.59,1.497
50.32,-74.59,1.537
50.32,-74.59,1.58
50.32,-74.59,1.508
50.32,-74.59,1.23
50.32,-74.59,1.192
50.32,-74.59,1.269
50.32,-74.59,1.55
50.32,-74.59,1.183
50.32,-74.59,1.25
50.32,-74.59,1.475
50.32,-74.59,1.649
50.32,-74.59,1.526
50.32,-74.59,1.498
50.32,-74.59,1.277
50.32,-74.6,1.486
50.32,-74.6,1.587
50.32,-74.6,1.576
50.32,-74.6,1.339
50.32,-74.6,1.064
50.32,-74.6,1.23
50.32,-74.6,1.07
50.32,-74.6,1.181
50.32,-74.6,1.451
50.32,-74.6,1.494
50.32,-74.6,1.319
50.32,-74.6,1.221
50.32,-74.6,1.602
50.32,-74.6,1.272
50.32,-74.6,1.457
50.32,-74.6,1.415
50.32,-74.6,1.455
