Latitude,Longitude,TotalPrecipitation (mm)
50.45,-74.43,379.096
50.45,-74.43,398.646
50.45,-74.43,377.352
50.45,-74.43,425.216
50.45,-74.43,368.575
50.45,-74.43,457.983
50.45,-74.43,409.806
50.45,-74.43,420.746
50.45,-74.43,386.314
50.45,-74.43,407.45
50.45,-74.43,401.543
50.45,-74.43,357.786
50.45,-74.43,430.84
50.45,-74.43,451.876
50.45,-74.43,422.585
50.45,-74.43,342.454
50.45,-74.43,379.211
50.45,-74.43,406.146
50.45,-74.43,364.16
50.45,-74.43,398.7
50.45,-74.43,365.919
50.45,-74.43,398.32
50.45,-74.43,390.441
50.45,-74.43,403.323
50.45,-74.43,393.091
50.45,-74.43,387.006
50.45,-74.43,396.947
50.45,-74.43,398.459
50.45,-74.43,358.367
50.45,-74.43,417.221
50.45,-74.43,379.094
50.45,-74.43,398.644
50.45,-74.43,377.35
50.45,-74.43,425.214
50.45,-74.43,368.572
50.45,-74.43,457.982
50.45,-74.43,409.762
50.45,-74.43,420.745
50.45,-74.43,386.31
50.45,-74.43,407.448
50.45,-74.43,401.541
50.45,-74.43,357.784
50.45,-74.43,430.838
50.45,-74.43,451.874
50.45,-74.43,422.584
50.45,-74.43,342.452
50.45,-74.43,379.203
50.45,-74.43,406.144
50.45,-74.43,364.158
50.45,-74.43,398.698
50.45,-74.43,365.917
50.45,-74.43,398.318
50.45,-74.43,390.439
50.45,-74.43,403.321
50.45,-74.43,393.089
50.45,-74.43,387.004
50.45,-74.43,396.945
50.45,-74.43,398.456
50.45,-74.43,358.339
50.45,-74.43,421.221
50.44,-74.43,379.051
50.44,-74.43,398.592
50.44,-74.43,377.311
50.44,-74.43,425.158
50.44,-74.43,368.538
50.44,-74.43,457.916
50.44,-74.43,409.754
50.44,-74.43,420.682
50.44,-74.43,386.26
50.44,-74.43,407.396
50.44,-74.43,401.484
50.44,-74.43,357.75
50.44,-74.43,430.773
50.44,-74.43,451.8
50.44,-74.43,422.522
50.44,-74.43,342.427
50.44,-74.43,379.161
50.44,-74.43,406.085
50.44,-74.43,364.117
50.44,-74.43,398.653
50.44,-74.43,365.875
50.44,-74.43,398.27
50.44,-74.43,390.399
50.44,-74.43,403.269
50.44,-74.43,393.049
50.44,-74.43,386.952
50.44,-74.43,396.899
50.44,-74.43,398.413
50.44,-74.43,358.306
50.44,-74.43,417.158
50.46,-74.43,379.136
50.46,-74.43,398.693
50.46,-74.43,377.388
50.46,-74.43,425.269
50.46,-74.43,368.605
50.46,-74.43,458.047
50.46,-74.43,409.81
50.46,-74.43,420.806
50.46,-74.43,386.361
50.46,-74.43,407.498
50.46,-74.43,401.597
50.46,-74.43,357.817
50.46,-74.43,430.901
50.46,-74.43,451.948
50.46,-74.43,422.643
50.46,-74.43,342.475
50.46,-74.43,379.25
50.46,-74.43,406.201
50.46,-74.43,364.198
50.46,-74.43,398.742
50.46,-74.43,365.958
50.46,-74.43,398.366
50.46,-74.43,390.479
50.46,-74.43,403.372
50.46,-74.43,393.129
50.46,-74.43,387.054
50.46,-74.43,396.99
50.46,-74.43,398.498
50.46,-74.43,359.688
50.46,-74.43,421.281
50.46,-74.42,377.321
50.46,-74.42,397.539
50.46,-74.42,375.418
50.46,-74.42,423.69
50.46,-74.42,366.313
50.46,-74.42,457.355
50.46,-74.42,408.295
50.46,-74.42,420.136
50.46,-74.42,385.037
50.46,-74.42,406.147
50.46,-74.42,400.48
50.46,-74.42,355.819
50.46,-74.42,430.112
50.46,-74.42,451.581
50.46,-74.42,421.588
50.46,-74.42,339.635
50.46,-74.42,377.905
50.46,-74.42,405.31
50.46,-74.42,362.351
50.46,-74.42,397.065
50.46,-74.42,364.183
50.46,-74.42,396.899
50.46,-74.42,388.836
50.46,-74.42,401.991
50.46,-74.42,391.32
50.46,-74.42,385.667
50.46,-74.42,395.261
50.46,-74.42,396.744
50.46,-74.42,357.704
50.46,-74.42,420.267
50.45,-74.42,377.31
50.45,-74.42,397.505
50.45,-74.42,375.414
50.45,-74.42,423.652
50.45,-74.42,366.322
50.45,-74.42,457.296
50.45,-74.42,408.271
50.45,-74.42,420.081
50.45,-74.42,385.006
50.45,-74.42,406.116
50.45,-74.42,400.44
50.45,-74.42,355.823
50.45,-74.42,430.057
50.45,-74.42,451.506
50.45,-74.42,421.542
50.45,-74.42,339.666
50.45,-74.42,377.879
50.45,-74.42,405.264
50.45,-74.42,362.343
50.45,-74.42,397.048
50.45,-74.42,364.172
50.45,-74.42,396.876
50.45,-74.42,388.824
50.45,-74.42,401.962
50.45,-74.42,391.312
50.45,-74.42,385.639
50.45,-74.42,395.246
50.45,-74.42,396.731
50.45,-74.42,357.707
50.45,-74.42,420.22
50.35,-74.68,379.789
50.35,-74.68,399.37
50.35,-74.68,377.967
50.35,-74.68,426.06
50.35,-74.68,369.983
50.35,-74.68,460.035
50.35,-74.68,410.471
50.35,-74.68,420.965
50.35,-74.68,386.828
50.35,-74.68,408.027
50.35,-74.68,401.836
50.35,-74.68,358.792
50.35,-74.68,431.414
50.35,-74.68,452.065
50.35,-74.68,422.898
50.35,-74.68,343.51
50.35,-74.68,379.658
50.35,-74.68,406.346
50.35,-74.68,364.984
50.35,-74.68,399.221
50.35,-74.68,366.47
50.35,-74.68,398.993
50.35,-74.68,390.923
50.35,-74.68,403.886
50.35,-74.68,394.021
50.35,-74.68,387.515
50.35,-74.68,397.494
50.35,-74.68,399.124
50.35,-74.68,359.384
50.35,-74.68,421.584
50.36,-74.69,379.859
50.36,-74.69,399.448
50.36,-74.69,378.032
50.36,-74.69,426.144
50.36,-74.69,370.045
50.36,-74.69,460.126
50.36,-74.69,410.548
50.36,-74.69,421.047
50.36,-74.69,386.905
50.36,-74.69,408.103
50.36,-74.69,401.916
50.36,-74.69,358.851
50.36,-74.69,431.504
50.36,-74.69,452.165
50.36,-74.69,422.984
50.36,-74.69,343.563
50.36,-74.69,379.73
50.36,-74.69,406.426
50.36,-74.69,365.052
50.36,-74.69,399.29
50.36,-74.69,366.537
50.36,-74.69,399.067
50.36,-74.69,390.987
50.36,-74.69,403.965
50.36,-74.69,394.089
50.36,-74.69,387.591
50.36,-74.69,397.565
50.36,-74.69,399.196
50.36,-74.69,359.322
50.36,-74.69,421.668
50.36,-74.69,379.857
50.36,-74.69,399.446
50.36,-74.69,378.03
50.36,-74.69,425.769
50.36,-74.69,370.043
50.36,-74.69,460.125
50.36,-74.69,410.485
50.36,-74.69,421.032
50.36,-74.69,386.835
50.36,-74.69,408.102
50.36,-74.69,401.914
50.36,-74.69,358.849
50.36,-74.69,431.502
50.36,-74.69,452.164
50.36,-74.69,422.982
50.36,-74.69,343.56
50.36,-74.69,379.728
50.36,-74.69,406.425
50.36,-74.69,365.049
50.36,-74.69,399.289
50.36,-74.69,366.535
50.36,-74.69,399.065
50.36,-74.69,390.985
50.36,-74.69,403.962
50.36,-74.69,394.087
50.36,-74.69,387.587
50.36,-74.69,397.563
50.36,-74.69,399.193
50.36,-74.69,359.083
50.36,-74.69,421.667
50.36,-74.69,379.811
50.36,-74.69,399.332
50.36,-74.69,377.996
50.36,-74.69,425.696
50.36,-74.69,370.021
50.36,-74.69,460.147
50.36,-74.69,410.478
50.36,-74.69,420.976
50.36,-74.69,386.831
50.36,-74.69,407.971
50.36,-74.69,401.922
50.36,-74.69,358.787
50.36,-74.69,431.237
50.36,-74.69,452.184
50.36,-74.69,422.991
50.36,-74.69,343.462
50.36,-74.69,379.724
50.36,-74.69,406.438
50.36,-74.69,365.028
50.36,-74.69,399.172
50.36,-74.69,366.516
50.36,-74.69,398.836
50.36,-74.69,390.981
50.36,-74.69,403.823
50.36,-74.69,394.072
50.36,-74.69,387.404
50.36,-74.69,397.557
50.36,-74.69,399.192
50.36,-74.69,360.351
50.36,-74.69,421.682
50.35,-74.67,379.737
50.35,-74.67,399.313
50.35,-74.67,377.918
50.35,-74.67,426.007
50.35,-74.67,369.929
50.35,-74.67,459.991
50.35,-74.67,410.416
50.35,-74.67,420.925
50.35,-74.67,386.775
50.35,-74.67,407.978
50.35,-74.67,401.79
50.35,-74.67,358.746
50.35,-74.67,431.364
50.35,-74.67,452.013
50.35,-74.67,422.849
