Latitude,Longitude,TotalPrecipitation (mm)
50.45,-74.43,136.294
50.45,-74.43,106.886
50.45,-74.43,108.204
50.45,-74.43,121.921
50.45,-74.43,109.926
50.45,-74.43,123.493
50.45,-74.43,144.326
50.45,-74.43,112.71
50.45,-74.43,103.527
50.45,-74.43,110.331
50.45,-74.43,135.598
50.45,-74.43,103.914
50.45,-74.43,107.777
50.45,-74.43,108.881
50.45,-74.43,141.093
50.45,-74.43,118.833
50.45,-74.43,133.318
50.45,-74.43,119.187
50.45,-74.43,121.842
50.45,-74.43,124.893
50.45,-74.43,124.443
50.45,-74.43,133.906
50.45,-74.43,130.844
50.45,-74.43,134.849
50.45,-74.43,111.54
50.45,-74.43,128.193
50.45,-74.43,120.497
50.45,-74.43,120.177
50.45,-74.43,134.263
50.45,-74.43,102.749
50.45,-74.43,136.29
50.45,-74.43,106.883
50.45,-74.43,108.201
50.45,-74.43,121.917
50.45,-74.43,109.923
50.45,-74.43,123.49
50.45,-74.43,144.321
50.45,-74.43,112.707
50.45,-74.43,103.524
50.45,-74.43,110.328
50.45,-74.43,135.594
50.45,-74.43,103.911
50.45,-74.43,107.774
50.45,-74.43,108.878
50.45,-74.43,141.089
50.45,-74.43,118.83
50.45,-74.43,133.314
50.45,-74.43,119.184
50.45,-74.43,121.838
50.45,-74.43,124.89
50.45,-74.43,124.44
50.45,-74.43,133.903
50.45,-74.43,130.84
50.45,-74.43,134.845
50.45,-74.43,111.537
50.45,-74.43,128.189
50.45,-74.43,120.493
50.45,-74.43,120.173
50.45,-74.43,134.26
50.45,-74.43,102.747
50.44,-74.43,136.431
50.44,-74.43,106.96
50.44,-74.43,108.285
50.44,-74.43,122.023
50.44,-74.43,110.014
50.44,-74.43,123.602
50.44,-74.43,144.477
50.44,-74.43,112.791
50.44,-74.43,103.592
50.44,-74.43,110.413
50.44,-74.43,135.734
50.44,-74.43,103.997
50.44,-74.43,107.852
50.44,-74.43,108.957
50.44,-74.43,141.242
50.44,-74.43,118.933
50.44,-74.43,133.448
50.44,-74.43,119.284
50.44,-74.43,121.944
50.44,-74.43,125.008
50.44,-74.43,124.551
50.44,-74.43,134.037
50.44,-74.43,130.964
50.44,-74.43,134.985
50.44,-74.43,111.63
50.44,-74.43,128.31
50.44,-74.43,120.599
50.44,-74.43,120.282
50.44,-74.43,134.396
50.44,-74.43,102.817
50.46,-74.43,136.149
50.46,-74.43,106.806
50.46,-74.43,108.117
50.46,-74.43,121.812
50.46,-74.43,109.833
50.46,-74.43,123.379
50.46,-74.43,144.167
50.46,-74.43,112.623
50.46,-74.43,103.457
50.46,-74.43,110.244
50.46,-74.43,135.455
50.46,-74.43,103.825
50.46,-74.43,107.697
50.46,-74.43,108.8
50.46,-74.43,140.937
50.46,-74.43,118.727
50.46,-74.43,133.18
50.46,-74.43,119.084
50.46,-74.43,121.733
50.46,-74.43,124.772
50.46,-74.43,124.33
50.46,-74.43,133.769
50.46,-74.43,130.717
50.46,-74.43,134.707
50.46,-74.43,111.445
50.46,-74.43,128.07
50.46,-74.43,120.388
50.46,-74.43,120.065
50.46,-74.43,134.124
50.46,-74.43,102.677
50.46,-74.42,136.416
50.46,-74.42,105.75
50.46,-74.42,107.282
50.46,-74.42,121.27
50.46,-74.42,109.194
50.46,-74.42,123.007
50.46,-74.42,144.665
50.46,-74.42,111.614
50.46,-74.42,102.151
50.46,-74.42,109.346
50.46,-74.42,135.701
50.46,-74.42,103.23
50.46,-74.42,106.623
50.46,-74.42,107.714
50.46,-74.42,141.465
50.46,-74.42,118.219
50.46,-74.42,133.304
50.46,-74.42,118.449
50.46,-74.42,121.201
50.46,-74.42,124.614
50.46,-74.42,123.878
50.46,-74.42,133.869
50.46,-74.42,130.513
50.46,-74.42,134.968
50.46,-74.42,110.821
50.46,-74.42,127.842
50.46,-74.42,119.908
50.46,-74.42,119.705
50.46,-74.42,134.268
50.46,-74.42,101.498
50.45,-74.42,136.552
50.45,-74.42,105.849
50.45,-74.42,107.384
50.45,-74.42,121.387
50.45,-74.42,109.299
50.45,-74.42,123.127
50.45,-74.42,144.811
50.45,-74.42,111.719
50.45,-74.42,102.245
50.45,-74.42,109.449
50.45,-74.42,135.837
50.45,-74.42,103.329
50.45,-74.42,106.723
50.45,-74.42,107.814
50.45,-74.42,141.608
50.45,-74.42,118.334
50.45,-74.42,133.436
50.45,-74.42,118.563
50.45,-74.42,121.318
50.45,-74.42,124.737
50.45,-74.42,123.998
50.45,-74.42,134.002
50.45,-74.42,130.641
50.45,-74.42,135.103
50.45,-74.42,110.927
50.45,-74.42,127.967
50.45,-74.42,120.024
50.45,-74.42,119.821
50.45,-74.42,134.402
50.45,-74.42,101.592
50.35,-74.68,139.086
50.35,-74.68,108.677
50.35,-74.68,110.085
50.35,-74.68,124.183
50.35,-74.68,111.907
50.35,-74.68,125.84
50.35,-74.68,147.353
50.35,-74.68,114.633
50.35,-74.68,105.172
50.35,-74.68,112.241
50.35,-74.68,138.37
50.35,-74.68,105.787
50.35,-74.68,109.58
50.35,-74.68,110.703
50.35,-74.68,144.063
50.35,-74.68,121.034
50.35,-74.68,136.006
50.35,-74.68,121.356
50.35,-74.68,124.096
50.35,-74.68,127.324
50.35,-74.68,126.774
50.35,-74.68,136.601
50.35,-74.68,133.381
50.35,-74.68,137.61
50.35,-74.68,113.561
50.35,-74.68,130.669
50.35,-74.68,122.739
50.35,-74.68,122.45
50.35,-74.68,136.976
50.35,-74.68,104.423
50.36,-74.69,138.958
50.36,-74.69,108.614
50.36,-74.69,110.015
50.36,-74.69,124.091
50.36,-74.69,111.829
50.36,-74.69,125.743
50.36,-74.69,147.21
50.36,-74.69,114.564
50.36,-74.69,105.12
50.36,-74.69,112.17
50.36,-74.69,138.243
50.36,-74.69,105.714
50.36,-74.69,109.518
50.36,-74.69,110.639
50.36,-74.69,143.922
50.36,-74.69,120.945
50.36,-74.69,135.885
50.36,-74.69,121.27
50.36,-74.69,124.005
50.36,-74.69,127.218
50.36,-74.69,126.678
50.36,-74.69,136.48
50.36,-74.69,133.272
50.36,-74.69,137.483
50.36,-74.69,113.481
50.36,-74.69,130.563
