Latitude,Longitude,TMax 
50.45,-74.43,-8.69
50.45,-74.43,-7.911
50.45,-74.43,-7.78
50.45,-74.43,-6.546
50.45,-74.43,-7.759
50.45,-74.43,-7.978
50.45,-74.43,-9.214
50.45,-74.43,-7.773
50.45,-74.43,-7.362
50.45,-74.43,-9.231
50.45,-74.43,-9.389
50.45,-74.43,-8.729
50.45,-74.43,-7.323
50.45,-74.43,-8.307
50.45,-74.43,-7.105
50.45,-74.43,-6.669
50.45,-74.43,-7.955
50.45,-74.43,-7.332
50.45,-74.43,-7.749
50.45,-74.43,-9.056
50.45,-74.43,-8.609
50.45,-74.43,-7.422
50.45,-74.43,-6.907
50.45,-74.43,-7.284
50.45,-74.43,-9.095
50.45,-74.43,-7.763
50.45,-74.43,-7.311
50.45,-74.43,-8.1
50.45,-74.43,-7.065
50.45,-74.43,-8.351
50.45,-74.43,-8.672
50.45,-74.43,-7.893
50.45,-74.43,-7.762
50.45,-74.43,-6.528
50.45,-74.43,-7.741
50.45,-74.43,-7.961
50.45,-74.43,-9.197
50.45,-74.43,-7.755
50.45,-74.43,-7.344
50.45,-74.43,-9.213
50.45,-74.43,-9.371
50.45,-74.43,-8.711
50.45,-74.43,-7.305
50.45,-74.43,-8.289
50.45,-74.43,-7.087
50.45,-74.43,-6.651
50.45,-74.43,-7.937
50.45,-74.43,-7.315
50.45,-74.43,-7.732
50.45,-74.43,-9.038
50.45,-74.43,-8.591
50.45,-74.43,-7.405
50.45,-74.43,-6.889
50.45,-74.43,-7.266
50.45,-74.43,-9.078
50.45,-74.43,-7.745
50.45,-74.43,-7.294
50.45,-74.43,-8.083
50.45,-74.43,-7.047
50.45,-74.43,-8.333
50.44,-74.43,-8.665
50.44,-74.43,-7.886
50.44,-74.43,-7.755
50.44,-74.43,-6.52
50.44,-74.43,-7.734
50.44,-74.43,-7.954
50.44,-74.43,-9.189
50.44,-74.43,-7.748
50.44,-74.43,-7.337
50.44,-74.43,-9.205
50.44,-74.43,-9.365
50.44,-74.43,-8.704
50.44,-74.43,-7.298
50.44,-74.43,-8.282
50.44,-74.43,-7.08
50.44,-74.43,-6.644
50.44,-74.43,-7.929
50.44,-74.43,-7.307
50.44,-74.43,-7.724
50.44,-74.43,-9.031
50.44,-74.43,-8.584
50.44,-74.43,-7.398
50.44,-74.43,-6.882
50.44,-74.43,-7.259
50.44,-74.43,-9.071
50.44,-74.43,-7.738
50.44,-74.43,-7.287
50.44,-74.43,-8.076
50.44,-74.43,-7.04
50.44,-74.43,-8.326
50.46,-74.43,-8.679
50.46,-74.43,-7.9
50.46,-74.43,-7.77
50.46,-74.43,-6.535
50.46,-74.43,-7.748
50.46,-74.43,-7.968
50.46,-74.43,-9.204
50.46,-74.43,-7.762
50.46,-74.43,-7.351
50.46,-74.43,-9.221
50.46,-74.43,-9.378
50.46,-74.43,-8.718
50.46,-74.43,-7.312
50.46,-74.43,-8.296
50.46,-74.43,-7.094
50.46,-74.43,-6.659
50.46,-74.43,-7.944
50.46,-74.43,-7.323
50.46,-74.43,-7.739
50.46,-74.43,-9.045
50.46,-74.43,-8.599
50.46,-74.43,-7.412
50.46,-74.43,-6.896
50.46,-74.43,-7.273
50.46,-74.43,-9.084
50.46,-74.43,-7.753
50.46,-74.43,-7.301
50.46,-74.43,-8.09
50.46,-74.43,-7.055
50.46,-74.43,-8.341
50.46,-74.42,-8.694
50.46,-74.42,-7.915
50.46,-74.42,-7.785
50.46,-74.42,-6.551
50.46,-74.42,-7.764
50.46,-74.42,-7.983
50.46,-74.42,-9.219
50.46,-74.42,-7.777
50.46,-74.42,-7.367
50.46,-74.42,-9.237
50.46,-74.42,-9.393
50.46,-74.42,-8.733
50.46,-74.42,-7.327
