Latitude,Longitude,TMin 
50.45,-74.43,9.838
50.45,-74.43,9.06
50.45,-74.43,9.709
50.45,-74.43,9.869
50.45,-74.43,9.176
50.45,-74.43,9.177
50.45,-74.43,9.981
50.45,-74.43,9.366
50.45,-74.43,9.652
50.45,-74.43,9.369
50.45,-74.43,8.791
50.45,-74.43,9.33
50.45,-74.43,10.271
50.45,-74.43,9.815
50.45,-74.43,10.061
50.45,-74.43,9.31
50.45,-74.43,9.393
50.45,-74.43,9.705
50.45,-74.43,10.343
50.45,-74.43,9.434
50.45,-74.43,9.413
50.45,-74.43,9.627
50.45,-74.43,9.913
50.45,-74.43,9.886
50.45,-74.43,8.427
50.45,-74.43,9.445
50.45,-74.43,9.562
50.45,-74.43,10.069
50.45,-74.43,9.63
50.45,-74.43,9.453
50.45,-74.43,9.854
50.45,-74.43,9.075
50.45,-74.43,9.724
50.45,-74.43,9.884
50.45,-74.43,9.191
50.45,-74.43,9.192
50.45,-74.43,9.996
50.45,-74.43,9.381
50.45,-74.43,9.668
50.45,-74.43,9.385
50.45,-74.43,8.806
50.45,-74.43,9.346
50.45,-74.43,10.286
50.45,-74.43,9.83
50.45,-74.43,10.076
50.45,-74.43,9.325
50.45,-74.43,9.408
50.45,-74.43,9.721
50.45,-74.43,10.358
50.45,-74.43,9.45
50.45,-74.43,9.429
50.45,-74.43,9.643
50.45,-74.43,9.929
50.45,-74.43,9.901
50.45,-74.43,8.443
50.45,-74.43,9.461
50.45,-74.43,9.577
50.45,-74.43,10.084
50.45,-74.43,9.646
50.45,-74.43,9.468
50.44,-74.43,9.868
50.44,-74.43,9.09
50.44,-74.43,9.738
50.44,-74.43,9.898
50.44,-74.43,9.206
50.44,-74.43,9.206
50.44,-74.43,10.01
50.44,-74.43,9.396
50.44,-74.43,9.682
50.44,-74.43,9.399
50.44,-74.43,8.821
50.44,-74.43,9.36
50.44,-74.43,10.3
50.44,-74.43,9.844
50.44,-74.43,10.09
50.44,-74.43,9.339
50.44,-74.43,9.423
50.44,-74.43,9.735
50.44,-74.43,10.372
50.44,-74.43,9.464
50.44,-74.43,9.443
50.44,-74.43,9.657
50.44,-74.43,9.943
50.44,-74.43,9.915
50.44,-74.43,8.457
50.44,-74.43,9.475
50.44,-74.43,9.591
50.44,-74.43,10.098
50.44,-74.43,9.66
50.44,-74.43,9.483
50.46,-74.43,9.84
50.46,-74.43,9.061
50.46,-74.43,9.71
50.46,-74.43,9.87
50.46,-74.43,9.177
50.46,-74.43,9.178
50.46,-74.43,9.982
50.46,-74.43,9.367
50.46,-74.43,9.654
50.46,-74.43,9.37
50.46,-74.43,8.792
50.46,-74.43,9.331
50.46,-74.43,10.272
50.46,-74.43,9.816
50.46,-74.43,10.062
50.46,-74.43,9.311
50.46,-74.43,9.394
50.46,-74.43,9.706
50.46,-74.43,10.344
50.46,-74.43,9.435
50.46,-74.43,9.414
50.46,-74.43,9.628
50.46,-74.43,9.915
50.46,-74.43,9.887
50.46,-74.43,8.428
50.46,-74.43,9.447
50.46,-74.43,9.563
50.46,-74.43,10.07
50.46,-74.43,9.632
50.46,-74.43,9.454
50.46,-74.42,9.822
50.46,-74.42,9.044
50.46,-74.42,9.693
50.46,-74.42,9.853
50.46,-74.42,9.16
50.46,-74.42,9.16
50.46,-74.42,9.965
50.46,-74.42,9.35
50.46,-74.42,9.636
50.46,-74.42,9.353
50.46,-74.42,8.774
50.46,-74.42,9.314
50.46,-74.42,10.255
50.46,-74.42,9.799
50.46,-74.42,10.045
50.46,-74.42,9.293
50.46,-74.42,9.377
50.46,-74.42,9.689
50.46,-74.42,10.327
50.46,-74.42,9.418
50.46,-74.42,9.397
50.46,-74.42,9.611
50.46,-74.42,9.898
50.46,-74.42,9.87
50.46,-74.42,8.411
50.46,-74.42,9.429
50.46,-74.42,9.546
50.46,-74.42,10.053
50.46,-74.42,9.614
50.46,-74.42,9.437
50.45,-74.42,9.844
50.45,-74.42,9.066
50.45,-74.42,9.714
50.45,-74.42,9.875
50.45,-74.42,9.182
50.45,-74.42,9.182
50.45,-74.42,9.987
50.45,-74.42,9.372
50.45,-74.42,9.658
50.45,-74.42,9.375
50.45,-74.42,8.797
50.45,-74.42,9.336
50.45,-74.42,10.277
50.45,-74.42,9.82
50.45,-74.42,10.067
50.45,-74.42,9.315
50.45,-74.42,9.399
50.45,-74.42,9.711
50.45,-74.42,10.349
50.45,-74.42,9.44
50.45,-74.42,9.419
50.45,-74.42,9.633
50.45,-74.42,9.919
50.45,-74.42,9.892
50.45,-74.42,8.433
50.45,-74.42,9.451
50.45,-74.42,9.567
50.45,-74.42,10.075
50.45,-74.42,9.636
50.45,-74.42,9.459
50.35,-74.68,10.15
50.35,-74.68,9.429
50.35,-74.68,10.039
50.35,-74.68,10.185
50.35,-74.68,9.528
50.35,-74.68,9.524
50.35,-74.68,10.279
50.35,-74.68,9.695
50.35,-74.68,9.979
50.35,-74.68,9.707
50.35,-74.68,9.169
50.35,-74.68,9.684
50.35,-74.68,10.574
50.35,-74.68,10.117
50.35,-74.68,10.349
50.35,-74.68,9.659
50.35,-74.68,9.724
50.35,-74.68,10.031
50.35,-74.68,10.639
50.35,-74.68,9.772
50.35,-74.68,9.746
50.35,-74.68,9.95
50.35,-74.68,10.207
50.35,-74.68,10.193
50.35,-74.68,8.832
50.35,-74.68,9.787
50.35,-74.68,9.906
50.35,-74.68,10.385
50.35,-74.68,9.961
50.35,-74.68,9.796
50.36,-74.69,10.138
50.36,-74.69,9.416
50.36,-74.69,10.026
50.36,-74.69,10.172
50.36,-74.69,9.516
50.36,-74.69,9.512
50.36,-74.69,10.267
50.36,-74.69,9.683
50.36,-74.69,9.967
50.36,-74.69,9.694
50.36,-74.69,9.156
50.36,-74.69,9.671
50.36,-74.69,10.562
50.36,-74.69,10.105
50.36,-74.69,10.337
50.36,-74.69,9.646
50.36,-74.69,9.712
50.36,-74.69,10.019
50.36,-74.69,10.627
50.36,-74.69,9.759
50.36,-74.69,9.733
50.36,-74.69,9.937
50.36,-74.69,10.195
50.36,-74.69,10.181
50.36,-74.69,8.819
50.36,-74.69,9.775
50.36,-74.69,9.894
50.36,-74.69,10.373
50.36,-74.69,9.948
50.36,-74.69,9.783
50.36,-74.69,10.155
50.36,-74.69,9.434
50.36,-74.69,10.044
50.36,-74.69,10.19
50.36,-74.69,9.533
50.36,-74.69,9.529
50.36,-74.69,10.285
50.36,-74.69,9.7
50.36,-74.69,9.984
50.36,-74.69,9.712
50.36,-74.69,9.174
50.36,-74.69,9.689
50.36,-74.69,10.579
50.36,-74.69,10.122
50.36,-74.69,10.354
50.36,-74.69,9.664
50.36,-74.69,9.729
50.36,-74.69,10.036
50.36,-74.69,10.645
50.36,-74.69,9.776
50.36,-74.69,9.751
50.36,-74.69,9.955
50.36,-74.69,10.212
50.36,-74.69,10.198
50.36,-74.69,8.837
50.36,-74.69,9.792
50.36,-74.69,9.911
50.36,-74.69,10.39
50.36,-74.69,9.966
50.36,-74.69,9.801
50.36,-74.69,10.309
50.36,-74.69,9.586
50.36,-74.69,10.196
50.36,-74.69,10.342
50.36,-74.69,9.685
50.36,-74.69,9.681
50.36,-74.69,10.439
50.36,-74.69,9.852
50.36,-74.69,10.137
50.36,-74.69,9.864
50.36,-74.69,9.328
50.36,-74.69,9.842
50.36,-74.69,10.732
50.36,-74.69,10.274
50.36,-74.69,10.508
50.36,-74.69,9.817
50.36,-74.69,9.882
50.36,-74.69,10.189
50.36,-74.69,10.797
50.36,-74.69,9.929
50.36,-74.69,9.904
50.36,-74.69,10.109
50.36,-74.69,10.367
50.36,-74.69,10.351
50.36,-74.69,8.99
50.36,-74.69,9.944
50.36,-74.69,10.064
50.36,-74.69,10.543
50.36,-74.69,10.119
50.36,-74.69,9.953
50.35,-74.67,10.149
50.35,-74.67,9.428
50.35,-74.67,10.038
50.35,-74.67,10.184
50.35,-74.67,9.527
50.35,-74.67,9.523
50.35,-74.67,10.278
50.35,-74.67,9.694
50.35,-74.67,9.978
50.35,-74.67,9.706
50.35,-74.67,9.168
50.35,-74.67,9.683
50.35,-74.67,10.573
50.35,-74.67,10.116
50.35,-74.67,10.348
50.35,-74.67,9.658
50.35,-74.67,9.723
50.35,-74.67,10.03
50.35,-74.67,10.638
50.35,-74.67,9.77
50.35,-74.67,9.745
50.35,-74.67,9.948
50.35,-74.67,10.206
50.35,-74.67,10.192
50.35,-74.67,8.831
50.35,-74.67,9.786
50.35,-74.67,9.905
50.35,-74.67,10.384
50.35,-74.67,9.959
50.35,-74.67,9.795
50.35,-74.67,10.147
50.35,-74.67,9.426
50.35,-74.67,10.036
50.35,-74.67,10.182
50.35,-74.67,9.525
50.35,-74.67,9.521
50.35,-74.67,10.276
50.35,-74.67,9.692
50.35,-74.67,9.976
50.35,-74.67,9.704
50.35,-74.67,9.166
50.35,-74.67,9.681
50.35,-74.67,10.571
50.35,-74.67,10.114
50.35,-74.67,10.346
50.35,-74.67,9.656
50.35,-74.67,9.721
50.35,-74.67,10.028
50.35,-74.67,10.637
50.35,-74.67,9.769
50.35,-74.67,9.743
50.35,-74.67,9.947
50.35,-74.67,10.204
50.35,-74.67,10.19
50.35,-74.67,8.829
50.35,-74.67,9.784
50.35,-74.67,9.903
50.35,-74.67,10.382
50.35,-74.67,9.958
50.35,-74.67,9.793
50.34,-74.67,10.171
50.34,-74.67,9.45
50.34,-74.67,10.06
50.34,-74.67,10.206
50.34,-74.67,9.549
50.34,-74.67,9.546
50.34,-74.67,10.3
50.34,-74.67,9.716
50.34,-74.67,10
50.34,-74.67,9.728
