Latitude,Longitude,TMin 
50.45,-74.43,9.237
50.45,-74.43,9.558
50.45,-74.43,9.085
50.45,-74.43,9.667
50.45,-74.43,8.953
50.45,-74.43,9.077
50.45,-74.43,9.628
50.45,-74.43,9.114
50.45,-74.43,9.205
50.45,-74.43,9.345
50.45,-74.43,9.058
50.45,-74.43,8.841
50.45,-74.43,9.77
50.45,-74.43,9.031
50.45,-74.43,9.443
50.45,-74.43,9.271
50.45,-74.43,9.187
50.45,-74.43,8.951
50.45,-74.43,9.788
50.45,-74.43,9.052
50.45,-74.43,8.958
50.45,-74.43,8.972
50.45,-74.43,9.547
50.45,-74.43,9.317
50.45,-74.43,8.819
50.45,-74.43,9.217
50.45,-74.43,9.456
50.45,-74.43,9.774
50.45,-74.43,9.161
50.45,-74.43,9.261
50.45,-74.43,9.257
50.45,-74.43,9.577
50.45,-74.43,9.105
50.45,-74.43,9.687
50.45,-74.43,8.973
50.45,-74.43,9.097
50.45,-74.43,9.647
50.45,-74.43,9.134
50.45,-74.43,9.224
50.45,-74.43,9.365
50.45,-74.43,9.077
50.45,-74.43,8.86
50.45,-74.43,9.79
50.45,-74.43,9.051
50.45,-74.43,9.462
50.45,-74.43,9.291
50.45,-74.43,9.206
50.45,-74.43,8.971
50.45,-74.43,9.807
50.45,-74.43,9.071
50.45,-74.43,8.978
50.45,-74.43,8.992
50.45,-74.43,9.566
50.45,-74.43,9.337
50.45,-74.43,8.839
50.45,-74.43,9.236
50.45,-74.43,9.475
50.45,-74.43,9.794
50.45,-74.43,9.181
50.45,-74.43,9.28
50.44,-74.43,9.272
50.44,-74.43,9.592
50.44,-74.43,9.12
50.44,-74.43,9.702
50.44,-74.43,8.988
50.44,-74.43,9.112
50.44,-74.43,9.662
50.44,-74.43,9.149
50.44,-74.43,9.239
50.44,-74.43,9.38
50.44,-74.43,9.092
50.44,-74.43,8.875
50.44,-74.43,9.805
50.44,-74.43,9.066
50.44,-74.43,9.477
50.44,-74.43,9.306
50.44,-74.43,9.221
50.44,-74.43,8.986
50.44,-74.43,9.822
50.44,-74.43,9.087
50.44,-74.43,8.993
50.44,-74.43,9.007
50.44,-74.43,9.581
50.44,-74.43,9.352
50.44,-74.43,8.854
50.44,-74.43,9.252
50.44,-74.43,9.49
50.44,-74.43,9.809
50.44,-74.43,9.196
50.44,-74.43,9.295
50.46,-74.43,9.241
50.46,-74.43,9.562
50.46,-74.43,9.09
50.46,-74.43,9.672
50.46,-74.43,8.958
50.46,-74.43,9.082
50.46,-74.43,9.632
50.46,-74.43,9.119
50.46,-74.43,9.209
50.46,-74.43,9.349
50.46,-74.43,9.062
50.46,-74.43,8.845
50.46,-74.43,9.775
50.46,-74.43,9.036
50.46,-74.43,9.447
50.46,-74.43,9.276
50.46,-74.43,9.191
50.46,-74.43,8.955
50.46,-74.43,9.792
50.46,-74.43,9.056
50.46,-74.43,8.963
50.46,-74.43,8.977
50.46,-74.43,9.551
50.46,-74.43,9.322
50.46,-74.43,8.823
50.46,-74.43,9.221
50.46,-74.43,9.46
50.46,-74.43,9.779
50.46,-74.43,9.165
50.46,-74.43,9.265
50.46,-74.42,9.219
50.46,-74.42,9.54
50.46,-74.42,9.068
50.46,-74.42,9.65
50.46,-74.42,8.935
50.46,-74.42,9.059
50.46,-74.42,9.61
50.46,-74.42,9.096
50.46,-74.42,9.187
50.46,-74.42,9.327
50.46,-74.42,9.04
50.46,-74.42,8.823
50.46,-74.42,9.753
