Latitude,Longitude,TotalPrecipitation (mm)
50.45,-74.43,417.263
50.45,-74.43,382.849
50.45,-74.43,399.513
50.45,-74.43,332.881
50.45,-74.43,356.321
50.45,-74.43,368.647
50.45,-74.43,448.125
50.45,-74.43,375.347
50.45,-74.43,401.327
50.45,-74.43,368.56
50.45,-74.43,391.249
50.45,-74.43,378.705
50.45,-74.43,396.794
50.45,-74.43,383.455
50.45,-74.43,420.674
50.45,-74.43,345.347
50.45,-74.43,373.124
50.45,-74.43,408.173
50.45,-74.43,389.546
50.45,-74.43,379.583
50.45,-74.43,374.434
50.45,-74.43,384.407
50.45,-74.43,361.337
50.45,-74.43,406.364
50.45,-74.43,337.602
50.45,-74.43,384.368
50.45,-74.43,384.896
50.45,-74.43,380.378
50.45,-74.43,382.54
50.45,-74.43,397.269
50.45,-74.43,417.258
50.45,-74.43,382.853
50.45,-74.43,399.508
50.45,-74.43,332.874
50.45,-74.43,356.316
50.45,-74.43,368.642
50.45,-74.43,448.121
50.45,-74.43,375.343
50.45,-74.43,401.319
50.45,-74.43,368.555
50.45,-74.43,391.244
50.45,-74.43,378.7
50.45,-74.43,396.79
50.45,-74.43,383.253
50.45,-74.43,420.669
50.45,-74.43,345.343
50.45,-74.43,373.12
50.45,-74.43,408.169
50.45,-74.43,389.542
50.45,-74.43,379.579
50.45,-74.43,374.43
50.45,-74.43,384.36
50.45,-74.43,361.328
50.45,-74.43,406.359
50.45,-74.43,337.598
50.45,-74.43,384.363
50.45,-74.43,384.892
50.45,-74.43,380.373
50.45,-74.43,382.536
50.45,-74.43,397.242
50.44,-74.43,417.337
50.44,-74.43,382.902
50.44,-74.43,399.585
50.44,-74.43,332.954
50.44,-74.43,356.381
50.44,-74.43,368.708
50.44,-74.43,448.174
50.44,-74.43,375.405
50.44,-74.43,401.38
50.44,-74.43,368.632
50.44,-74.43,391.3
50.44,-74.43,378.774
50.44,-74.43,396.856
50.44,-74.43,383.318
50.44,-74.43,420.716
50.44,-74.43,345.404
50.44,-74.43,373.177
