Latitude,Longitude,TMax 
50.45,-74.43,-10.523
50.45,-74.43,-10.734
50.45,-74.43,-10.293
50.45,-74.43,-10.866
50.45,-74.43,-9.946
50.45,-74.43,-9.604
50.45,-74.43,-11.069
50.45,-74.43,-9.846
50.45,-74.43,-10.737
50.45,-74.43,-11.027
50.45,-74.43,-10.404
50.45,-74.43,-10.214
50.45,-74.43,-10.339
50.45,-74.43,-10.178
50.45,-74.43,-10.102
50.45,-74.43,-9.652
50.45,-74.43,-10.759
50.45,-74.43,-11.109
50.45,-74.43,-9.907
50.45,-74.43,-9.274
50.45,-74.43,-12.175
50.45,-74.43,-10.249
50.45,-74.43,-9.576
50.45,-74.43,-11.015
50.45,-74.43,-11.131
50.45,-74.43,-10.496
50.45,-74.43,-10.253
50.45,-74.43,-10.971
50.45,-74.43,-10.498
50.45,-74.43,-11.285
50.45,-74.43,-10.509
50.45,-74.43,-10.72
50.45,-74.43,-10.279
50.45,-74.43,-10.852
50.45,-74.43,-9.933
50.45,-74.43,-9.59
50.45,-74.43,-11.056
50.45,-74.43,-9.832
50.45,-74.43,-10.723
50.45,-74.43,-11.013
50.45,-74.43,-10.391
50.45,-74.43,-10.2
50.45,-74.43,-10.326
50.45,-74.43,-10.165
50.45,-74.43,-10.089
50.45,-74.43,-9.638
50.45,-74.43,-10.745
50.45,-74.43,-11.095
50.45,-74.43,-9.893
50.45,-74.43,-9.261
50.45,-74.43,-12.162
50.45,-74.43,-10.236
50.45,-74.43,-9.562
50.45,-74.43,-11.001
50.45,-74.43,-11.118
50.45,-74.43,-10.483
50.45,-74.43,-10.239
50.45,-74.43,-10.958
50.45,-74.43,-10.484
50.45,-74.43,-11.272
50.44,-74.43,-10.501
50.44,-74.43,-10.711
50.44,-74.43,-10.27
50.44,-74.43,-10.844
50.44,-74.43,-9.923
50.44,-74.43,-9.581
50.44,-74.43,-11.047
50.44,-74.43,-9.823
50.44,-74.43,-10.714
50.44,-74.43,-11.005
50.44,-74.43,-10.382
50.44,-74.43,-10.191
50.44,-74.43,-10.316
50.44,-74.43,-10.155
50.44,-74.43,-10.08
50.44,-74.43,-9.629
50.44,-74.43,-10.736
50.44,-74.43,-11.087
50.44,-74.43,-9.885
50.44,-74.43,-9.251
50.44,-74.43,-12.153
50.44,-74.43,-10.226
50.44,-74.43,-9.553
50.44,-74.43,-10.992
50.44,-74.43,-11.109
50.44,-74.43,-10.474
50.44,-74.43,-10.23
50.44,-74.43,-10.949
50.44,-74.43,-10.475
50.44,-74.43,-11.263
50.46,-74.43,-10.518
50.46,-74.43,-10.729
50.46,-74.43,-10.288
50.46,-74.43,-10.861
50.46,-74.43,-9.942
50.46,-74.43,-9.599
50.46,-74.43,-11.064
50.46,-74.43,-9.841
50.46,-74.43,-10.732
50.46,-74.43,-11.022
50.46,-74.43,-10.399
50.46,-74.43,-10.209
50.46,-74.43,-10.335
50.46,-74.43,-10.174
50.46,-74.43,-10.097
50.46,-74.43,-9.647
50.46,-74.43,-10.755
50.46,-74.43,-11.104
50.46,-74.43,-9.902
50.46,-74.43,-9.27
50.46,-74.43,-12.17
50.46,-74.43,-10.245
50.46,-74.43,-9.571
50.46,-74.43,-11.01
50.46,-74.43,-11.127
50.46,-74.43,-10.492
50.46,-74.43,-10.249
50.46,-74.43,-10.967
50.46,-74.43,-10.493
50.46,-74.43,-11.281
50.46,-74.42,-10.528
50.46,-74.42,-10.74
50.46,-74.42,-10.299
50.46,-74.42,-10.871
50.46,-74.42,-9.953
50.46,-74.42,-9.61
