Latitude,Longitude,TMin 
50.45,-74.43,8.079
50.45,-74.43,8.903
50.45,-74.43,8.812
50.45,-74.43,8.072
50.45,-74.43,9.241
50.45,-74.43,8.584
50.45,-74.43,8.47
50.45,-74.43,8.411
50.45,-74.43,8.203
50.45,-74.43,8.419
50.45,-74.43,8.228
50.45,-74.43,8.451
50.45,-74.43,8.564
50.45,-74.43,8.434
50.45,-74.43,7.948
50.45,-74.43,8.861
50.45,-74.43,8.347
50.45,-74.43,8.101
50.45,-74.43,8.604
50.45,-74.43,8.157
50.45,-74.43,8.162
50.45,-74.43,8.26
50.45,-74.43,8.191
50.45,-74.43,9.08
50.45,-74.43,8.702
50.45,-74.43,8.356
50.45,-74.43,8.243
50.45,-74.43,8.477
50.45,-74.43,7.957
50.45,-74.43,7.756
50.45,-74.43,8.096
50.45,-74.43,8.92
50.45,-74.43,8.829
50.45,-74.43,8.089
50.45,-74.43,9.258
50.45,-74.43,8.602
50.45,-74.43,8.487
50.45,-74.43,8.428
50.45,-74.43,8.22
50.45,-74.43,8.437
50.45,-74.43,8.246
50.45,-74.43,8.468
50.45,-74.43,8.581
50.45,-74.43,8.451
50.45,-74.43,7.965
50.45,-74.43,8.878
50.45,-74.43,8.364
50.45,-74.43,8.118
50.45,-74.43,8.621
50.45,-74.43,8.174
50.45,-74.43,8.179
50.45,-74.43,8.277
50.45,-74.43,8.208
50.45,-74.43,9.098
50.45,-74.43,8.719
50.45,-74.43,8.374
50.45,-74.43,8.26
50.45,-74.43,8.494
50.45,-74.43,7.975
50.45,-74.43,7.773
50.44,-74.43,8.11
50.44,-74.43,8.934
50.44,-74.43,8.843
50.44,-74.43,8.103
50.44,-74.43,9.271
50.44,-74.43,8.615
50.44,-74.43,8.501
50.44,-74.43,8.442
50.44,-74.43,8.234
50.44,-74.43,8.45
50.44,-74.43,8.26
50.44,-74.43,8.482
50.44,-74.43,8.595
50.44,-74.43,8.465
50.44,-74.43,7.979
50.44,-74.43,8.892
50.44,-74.43,8.378
50.44,-74.43,8.132
50.44,-74.43,8.635
50.44,-74.43,8.188
50.44,-74.43,8.193
50.44,-74.43,8.291
50.44,-74.43,8.222
50.44,-74.43,9.111
50.44,-74.43,8.733
50.44,-74.43,8.387
