Latitude,Longitude,Tmin
50.45,-74.43,7.8
50.45,-74.43,8.149
50.45,-74.43,7.984
50.45,-74.43,7.981
50.45,-74.43,8.419
50.45,-74.43,8.163
50.45,-74.43,7.827
50.45,-74.43,8.071
50.45,-74.43,7.911
50.45,-74.43,7.687
50.45,-74.43,7.718
50.45,-74.43,8.129
50.45,-74.43,8.047
50.45,-74.43,8.034
50.45,-74.43,8.097
50.45,-74.43,7.926
50.45,-74.43,7.906
50.45,-74.43,7.938
50.45,-74.43,8.047
50.45,-74.43,7.684
50.45,-74.43,7.545
50.45,-74.43,7.926
50.45,-74.43,7.705
50.45,-74.43,8.136
50.45,-74.43,8.188
50.45,-74.43,7.617
50.45,-74.43,8.099
50.45,-74.43,8.035
50.45,-74.43,7.385
50.45,-74.43,7.647
50.45,-74.43,7.819
50.45,-74.43,8.168
50.45,-74.43,8.003
50.45,-74.43,8
50.45,-74.43,8.438
50.45,-74.43,8.182
50.45,-74.43,7.846
50.45,-74.43,8.09
50.45,-74.43,7.93
50.45,-74.43,7.706
50.45,-74.43,7.737
50.45,-74.43,8.148
50.45,-74.43,8.065
50.45,-74.43,8.053
50.45,-74.43,8.116
50.45,-74.43,7.945
50.45,-74.43,7.925
50.45,-74.43,7.957
50.45,-74.43,8.066
50.45,-74.43,7.703
50.45,-74.43,7.563
50.45,-74.43,7.945
50.45,-74.43,7.724
50.45,-74.43,8.155
50.45,-74.43,8.207
50.45,-74.43,7.636
50.45,-74.43,8.118
50.45,-74.43,8.054
50.45,-74.43,7.403
50.45,-74.43,7.665
50.44,-74.43,7.835
50.44,-74.43,8.183
50.44,-74.43,8.018
50.44,-74.43,8.015
50.44,-74.43,8.453
50.44,-74.43,8.197
50.44,-74.43,7.861
50.44,-74.43,8.105
50.44,-74.43,7.945
50.44,-74.43,7.721
50.44,-74.43,7.752
50.44,-74.43,8.163
50.44,-74.43,8.081
50.44,-74.43,8.068
50.44,-74.43,8.132
50.44,-74.43,7.96
50.44,-74.43,7.94
50.44,-74.43,7.972
50.44,-74.43,8.081
50.44,-74.43,7.718
50.44,-74.43,7.579
50.44,-74.43,7.96
50.44,-74.43,7.739
50.44,-74.43,8.17
50.44,-74.43,8.222
50.44,-74.43,7.651
50.44,-74.43,8.134
50.44,-74.43,8.069
50.44,-74.43,7.419
50.44,-74.43,7.681
50.46,-74.43,7.804
50.46,-74.43,8.153
50.46,-74.43,7.988
50.46,-74.43,7.985
50.46,-74.43,8.423
50.46,-74.43,8.167
50.46,-74.43,7.831
50.46,-74.43,8.075
50.46,-74.43,7.915
50.46,-74.43,7.69
50.46,-74.43,7.722
50.46,-74.43,8.133
50.46,-74.43,8.05
50.46,-74.43,8.037
50.46,-74.43,8.101
50.46,-74.43,7.93
50.46,-74.43,7.91
50.46,-74.43,7.942
50.46,-74.43,8.051
50.46,-74.43,7.688
50.46,-74.43,7.548
50.46,-74.43,7.929
50.46,-74.43,7.709
50.46,-74.43,8.14
50.46,-74.43,8.192
50.46,-74.43,7.62
50.46,-74.43,8.103
50.46,-74.43,8.039
50.46,-74.43,7.388
50.46,-74.43,7.65
50.46,-74.42,7.783
50.46,-74.42,8.132
50.46,-74.42,7.967
50.46,-74.42,7.963
50.46,-74.42,8.402
50.46,-74.42,8.145
50.46,-74.42,7.809
50.46,-74.42,8.054
50.46,-74.42,7.894
50.46,-74.42,7.669
50.46,-74.42,7.701
50.46,-74.42,8.111
50.46,-74.42,8.029
50.46,-74.42,8.016
50.46,-74.42,8.08
50.46,-74.42,7.909
50.46,-74.42,7.888
50.46,-74.42,7.921
50.46,-74.42,8.03
50.46,-74.42,7.666
50.46,-74.42,7.527
50.46,-74.42,7.908
50.46,-74.42,7.687
50.46,-74.42,8.118
50.46,-74.42,8.17
50.46,-74.42,7.599
50.46,-74.42,8.082
50.46,-74.42,8.017
50.46,-74.42,7.367
50.46,-74.42,7.629
50.45,-74.42,7.807
50.45,-74.42,8.156
50.45,-74.42,7.991
50.45,-74.42,7.988
50.45,-74.42,8.426
50.45,-74.42,8.17
50.45,-74.42,7.834
50.45,-74.42,8.078
50.45,-74.42,7.918
50.45,-74.42,7.694
50.45,-74.42,7.725
50.45,-74.42,8.136
50.45,-74.42,8.053
50.45,-74.42,8.04
50.45,-74.42,8.104
50.45,-74.42,7.933
50.45,-74.42,7.913
50.45,-74.42,7.945
50.45,-74.42,8.054
50.45,-74.42,7.691
50.45,-74.42,7.551
50.45,-74.42,7.933
50.45,-74.42,7.712
50.45,-74.42,8.143
50.45,-74.42,8.195
50.45,-74.42,7.623
50.45,-74.42,8.106
50.45,-74.42,8.042
50.45,-74.42,7.391
50.45,-74.42,7.653
50.35,-74.68,8.157
50.35,-74.68,8.536
50.35,-74.68,8.337
50.35,-74.68,8.355
50.35,-74.68,8.793
50.35,-74.68,8.546
50.35,-74.68,8.208
50.35,-74.68,8.441
50.35,-74.68,8.299
50.35,-74.68,8.03
50.35,-74.68,8.075
50.35,-74.68,8.503
50.35,-74.68,8.401
50.35,-74.68,8.433
50.35,-74.68,8.491
50.35,-74.68,8.304
50.35,-74.68,8.278
50.35,-74.68,8.323
50.35,-74.68,8.417
50.35,-74.68,8.054
50.35,-74.68,7.923
50.35,-74.68,8.296
50.35,-74.68,8.052
50.35,-74.68,8.492
50.35,-74.68,8.553
50.35,-74.68,7.975
50.35,-74.68,8.474
50.35,-74.68,8.411
50.35,-74.68,7.748
50.35,-74.68,8.06
50.36,-74.69,8.144
50.36,-74.69,8.523
50.36,-74.69,8.324
50.36,-74.69,8.342
50.36,-74.69,8.78
50.36,-74.69,8.533
50.36,-74.69,8.196
50.36,-74.69,8.428
50.36,-74.69,8.287
50.36,-74.69,8.017
50.36,-74.69,8.062
50.36,-74.69,8.49
50.36,-74.69,8.388
50.36,-74.69,8.42
50.36,-74.69,8.479
50.36,-74.69,8.291
50.36,-74.69,8.265
50.36,-74.69,8.311
50.36,-74.69,8.404
50.36,-74.69,8.041
50.36,-74.69,7.91
50.36,-74.69,8.283
50.36,-74.69,8.039
50.36,-74.69,8.479
50.36,-74.69,8.54
50.36,-74.69,7.962
50.36,-74.69,8.461
50.36,-74.69,8.398
50.36,-74.69,7.735
50.36,-74.69,8.047
50.36,-74.69,8.167
50.36,-74.69,8.545
50.36,-74.69,8.347
50.36,-74.69,8.364
50.36,-74.69,8.803
50.36,-74.69,8.555
50.36,-74.69,8.218
50.36,-74.69,8.451
50.36,-74.69,8.309
50.36,-74.69,8.04
50.36,-74.69,8.085
50.36,-74.69,8.513
50.36,-74.69,8.411
50.36,-74.69,8.443
50.36,-74.69,8.501
50.36,-74.69,8.313
50.36,-74.69,8.287
50.36,-74.69,8.333
50.36,-74.69,8.426
50.36,-74.69,8.063
50.36,-74.69,7.933
50.36,-74.69,8.306
50.36,-74.69,8.061
50.36,-74.69,8.502
50.36,-74.69,8.562
50.36,-74.69,7.985
50.36,-74.69,8.484
50.36,-74.69,8.421
50.36,-74.69,7.757
50.36,-74.69,8.069
50.36,-74.69,8.363
50.36,-74.69,8.742
50.36,-74.69,8.543
50.36,-74.69,8.561
50.36,-74.69,8.999
50.36,-74.69,8.752
50.36,-74.69,8.414
50.36,-74.69,8.647
50.36,-74.69,8.505
50.36,-74.69,8.237
50.36,-74.69,8.281
50.36,-74.69,8.709
50.36,-74.69,8.607
50.36,-74.69,8.639
50.36,-74.69,8.697
50.36,-74.69,8.51
50.36,-74.69,8.483
50.36,-74.69,8.529
50.36,-74.69,8.623
50.36,-74.69,8.259
50.36,-74.69,8.129
50.36,-74.69,8.502
50.36,-74.69,8.257
50.36,-74.69,8.698
50.36,-74.69,8.759
50.36,-74.69,8.181
50.36,-74.69,8.68
50.36,-74.69,8.617
50.36,-74.69,7.954
50.36,-74.69,8.265
50.35,-74.67,8.155
50.35,-74.67,8.534
50.35,-74.67,8.335
50.35,-74.67,8.353
50.35,-74.67,8.791
50.35,-74.67,8.544
50.35,-74.67,8.207
50.35,-74.67,8.439
50.35,-74.67,8.298
50.35,-74.67,8.029
50.35,-74.67,8.073
50.35,-74.67,8.501
50.35,-74.67,8.399
50.35,-74.67,8.431
50.35,-74.67,8.489
50.35,-74.67,8.302
50.35,-74.67,8.276
50.35,-74.67,8.322
50.35,-74.67,8.415
50.35,-74.67,8.052
50.35,-74.67,7.921
50.35,-74.67,8.294
50.35,-74.67,8.05
50.35,-74.67,8.49
50.35,-74.67,8.551
50.35,-74.67,7.974
50.35,-74.67,8.472
50.35,-74.67,8.409
50.35,-74.67,7.746
50.35,-74.67,8.058
50.35,-74.67,8.153
50.35,-74.67,8.531
50.35,-74.67,8.333
50.35,-74.67,8.351
50.35,-74.67,8.789
50.35,-74.67,8.542
50.35,-74.67,8.204
50.35,-74.67,8.437
50.35,-74.67,8.295
50.35,-74.67,8.026
50.35,-74.67,8.071
50.35,-74.67,8.499
50.35,-74.67,8.397
50.35,-74.67,8.429
50.35,-74.67,8.487
50.35,-74.67,8.3
50.35,-74.67,8.274
50.35,-74.67,8.319
50.35,-74.67,8.412
50.35,-74.67,8.05
50.35,-74.67,7.919
50.35,-74.67,8.292
50.35,-74.67,8.048
50.35,-74.67,8.488
50.35,-74.67,8.549
50.35,-74.67,7.971
50.35,-74.67,8.47
50.35,-74.67,8.407
50.35,-74.67,7.744
50.35,-74.67,8.056
50.34,-74.67,8.181
50.34,-74.67,8.559
50.34,-74.67,8.361
50.34,-74.67,8.379
50.34,-74.67,8.817
50.34,-74.67,8.57
50.34,-74.67,8.232
50.34,-74.67,8.465
