Latitude,Longitude,TMean 
50.45,-74.43,-0.84
50.45,-74.43,-0.626
50.45,-74.43,-0.739
50.45,-74.43,-0.695
50.45,-74.43,-0.597
50.45,-74.43,-0.535
50.45,-74.43,-0.876
50.45,-74.43,-0.767
50.45,-74.43,-0.711
50.45,-74.43,-0.742
50.45,-74.43,-0.622
50.45,-74.43,-0.533
50.45,-74.43,-0.696
50.45,-74.43,-1.094
50.45,-74.43,-0.576
50.45,-74.43,-0.78
50.45,-74.43,-0.597
50.45,-74.43,-0.566
50.45,-74.43,-0.683
50.45,-74.43,-0.522
50.45,-74.43,-0.905
50.45,-74.43,-0.79
50.45,-74.43,-0.668
50.45,-74.43,-0.475
50.45,-74.43,-0.677
50.45,-74.43,-0.748
50.45,-74.43,-0.513
50.45,-74.43,-0.702
50.45,-74.43,-0.626
50.45,-74.43,-0.698
50.45,-74.43,-0.812
50.45,-74.43,-0.599
50.45,-74.43,-0.711
50.45,-74.43,-0.668
50.45,-74.43,-0.569
50.45,-74.43,-0.507
50.45,-74.43,-0.849
50.45,-74.43,-0.739
50.45,-74.43,-0.683
50.45,-74.43,-0.715
50.45,-74.43,-0.594
50.45,-74.43,-0.505
50.45,-74.43,-0.668
50.45,-74.43,-1.066
50.45,-74.43,-0.548
50.45,-74.43,-0.753
50.45,-74.43,-0.569
50.45,-74.43,-0.538
50.45,-74.43,-0.655
50.45,-74.43,-0.494
50.45,-74.43,-0.878
50.45,-74.43,-0.762
50.45,-74.43,-0.64
50.45,-74.43,-0.447
50.45,-74.43,-0.649
50.45,-74.43,-0.721
50.45,-74.43,-0.486
50.45,-74.43,-0.674
50.45,-74.43,-0.598
50.45,-74.43,-0.67
50.44,-74.43,-0.8
50.44,-74.43,-0.587
50.44,-74.43,-0.699
50.44,-74.43,-0.656
50.44,-74.43,-0.557
50.44,-74.43,-0.495
50.44,-74.43,-0.837
50.44,-74.43,-0.727
50.44,-74.43,-0.671
50.44,-74.43,-0.703
50.44,-74.43,-0.582
50.44,-74.43,-0.493
50.44,-74.43,-0.656
50.44,-74.43,-1.054
50.44,-74.43,-0.537
50.44,-74.43,-0.741
50.44,-74.43,-0.557
50.44,-74.43,-0.526
50.44,-74.43,-0.643
50.44,-74.43,-0.482
50.44,-74.43,-0.866
50.44,-74.43,-0.751
50.44,-74.43,-0.628
50.44,-74.43,-0.435
50.44,-74.43,-0.637
50.44,-74.43,-0.709
50.44,-74.43,-0.474
50.44,-74.43,-0.662
