Latitude,Longitude,TotalPrecipitation (mm)
50.45,-74.43,103.81
50.45,-74.43,96.162
50.45,-74.43,114.673
50.45,-74.43,99.683
50.45,-74.43,142.181
50.45,-74.43,113.225
50.45,-74.43,122.301
50.45,-74.43,116.42
50.45,-74.43,108.222
50.45,-74.43,132.91
50.45,-74.43,123.175
50.45,-74.43,122.165
50.45,-74.43,138.624
50.45,-74.43,106.107
50.45,-74.43,111.586
50.45,-74.43,104.223
50.45,-74.43,95.816
50.45,-74.43,105.919
50.45,-74.43,108.97
50.45,-74.43,107.871
50.45,-74.43,128.843
50.45,-74.43,118.553
50.45,-74.43,93.176
50.45,-74.43,105.156
50.45,-74.43,133.434
50.45,-74.43,97.083
50.45,-74.43,104.045
50.45,-74.43,121.576
50.45,-74.43,141.692
50.45,-74.43,114.834
50.45,-74.43,103.807
50.45,-74.43,96.159
50.45,-74.43,114.67
50.45,-74.43,99.68
50.45,-74.43,142.176
50.45,-74.43,113.222
50.45,-74.43,122.297
50.45,-74.43,116.417
50.45,-74.43,108.219
50.45,-74.43,132.906
50.45,-74.43,123.171
50.45,-74.43,122.161
50.45,-74.43,138.62
50.45,-74.43,106.104
50.45,-74.43,111.583
50.45,-74.43,104.22
50.45,-74.43,95.813
50.45,-74.43,105.916
50.45,-74.43,108.967
50.45,-74.43,107.868
50.45,-74.43,128.839
50.45,-74.43,118.549
50.45,-74.43,93.174
50.45,-74.43,105.153
50.45,-74.43,133.429
50.45,-74.43,97.08
50.45,-74.43,104.042
50.45,-74.43,121.572
50.45,-74.43,141.687
50.45,-74.43,114.831
50.44,-74.43,103.881
50.44,-74.43,96.224
50.44,-74.43,114.765
50.44,-74.43,99.748
50.44,-74.43,142.335
50.44,-74.43,113.327
50.44,-74.43,122.41
50.44,-74.43,116.521
50.44,-74.43,108.316
50.44,-74.43,133.052
50.44,-74.43,123.288
50.44,-74.43,122.28
50.44,-74.43,138.771
50.44,-74.43,106.18
50.44,-74.43,111.678
50.44,-74.43,104.302
50.44,-74.43,95.873
50.44,-74.43,106.001
50.44,-74.43,109.061
50.44,-74.43,107.95
50.44,-74.43,128.972
50.44,-74.43,118.661
50.44,-74.43,93.226
50.44,-74.43,105.23
50.44,-74.43,133.582
50.44,-74.43,97.154
50.44,-74.43,104.125
50.44,-74.43,121.688
50.44,-74.43,141.853
50.44,-74.43,114.938
50.46,-74.43,103.734
50.46,-74.43,96.095
50.46,-74.43,114.576
50.46,-74.43,99.612
50.46,-74.43,142.018
50.46,-74.43,113.117
50.46,-74.43,122.185
50.46,-74.43,116.313
50.46,-74.43,108.122
50.46,-74.43,132.76
50.46,-74.43,123.056
50.46,-74.43,122.044
50.46,-74.43,138.47
50.46,-74.43,106.029
50.46,-74.43,111.489
50.46,-74.43,104.138
50.46,-74.43,95.754
50.46,-74.43,105.831
50.46,-74.43,108.873
50.46,-74.43,107.786
50.46,-74.43,128.707
50.46,-74.43,118.438
50.46,-74.43,93.122
50.46,-74.43,105.076
50.46,-74.43,133.278
50.46,-74.43,97.007
50.46,-74.43,103.96
50.46,-74.43,121.456
50.46,-74.43,141.522
50.46,-74.43,114.724
50.46,-74.42,102.323
50.46,-74.42,94.682
50.46,-74.42,113.497
50.46,-74.42,98.177
50.46,-74.42,142.181
50.46,-74.42,112.494
50.46,-74.42,121.458
50.46,-74.42,115.521
50.46,-74.42,107.411
50.46,-74.42,132.85
50.46,-74.42,122.432
50.46,-74.42,121.541
50.46,-74.42,138.493
50.46,-74.42,104.614
50.46,-74.42,110.543
50.46,-74.42,103.05
50.46,-74.42,94.166
50.46,-74.42,104.764
50.46,-74.42,108.016
50.46,-74.42,106.534
50.46,-74.42,128.47
50.46,-74.42,117.836
50.46,-74.42,91.348
50.46,-74.42,103.743
50.46,-74.42,133.557
50.46,-74.42,95.874
50.46,-74.42,102.875
50.46,-74.42,120.896
50.46,-74.42,141.973
50.46,-74.42,114.097
50.45,-74.42,102.423
50.45,-74.42,94.774
50.45,-74.42,113.611
50.45,-74.42,98.272
50.45,-74.42,142.334
50.45,-74.42,112.61
50.45,-74.42,121.583
50.45,-74.42,115.639
50.45,-74.42,107.521
50.45,-74.42,132.993
50.45,-74.42,122.559
50.45,-74.42,121.667
50.45,-74.42,138.642
50.45,-74.42,104.715
50.45,-74.42,110.655
50.45,-74.42,103.152
50.45,-74.42,94.255
50.45,-74.42,104.869
50.45,-74.42,108.126
50.45,-74.42,106.639
50.45,-74.42,128.606
50.45,-74.42,117.958
50.45,-74.42,91.433
50.45,-74.42,103.845
50.45,-74.42,133.702
50.45,-74.42,95.967
50.45,-74.42,102.977
50.45,-74.42,121.021
50.45,-74.42,142.128
50.45,-74.42,114.214
50.35,-74.68,105.553
50.35,-74.68,97.735
50.35,-74.68,116.791
50.35,-74.68,101.326
50.35,-74.68,145.395
50.35,-74.68,115.487
50.35,-74.68,124.726
50.35,-74.68,118.687
50.35,-74.68,110.337
50.35,-74.68,135.887
50.35,-74.68,125.659
50.35,-74.68,124.672
50.35,-74.68,141.705
50.35,-74.68,107.902
50.35,-74.68,113.685
50.35,-74.68,106.101
50.35,-74.68,97.313
50.35,-74.68,107.843
50.35,-74.68,111.045
50.35,-74.68,109.768
50.35,-74.68,131.603
50.35,-74.68,120.941
50.35,-74.68,94.542
50.35,-74.68,106.959
50.35,-74.68,136.498
50.35,-74.68,98.785
50.35,-74.68,105.921
50.35,-74.68,124.058
50.35,-74.68,145.005
50.35,-74.68,117.13
50.36,-74.69,105.498
50.36,-74.69,97.687
50.36,-74.69,116.715
50.36,-74.69,101.275
50.36,-74.69,145.255
50.36,-74.69,115.398
50.36,-74.69,124.632
50.36,-74.69,118.6
50.36,-74.69,110.256
50.36,-74.69,135.758
50.36,-74.69,125.561
50.36,-74.69,124.572
50.36,-74.69,141.573
50.36,-74.69,107.845
50.36,-74.69,113.608
50.36,-74.69,106.036
50.36,-74.69,97.271
