Latitude,Longitude,TotalPrecipitation (mm)
50.45,-74.43,426.137
50.45,-74.43,442.965
50.45,-74.43,466.604
50.45,-74.43,423.645
50.45,-74.43,448.039
50.45,-74.43,449.411
50.45,-74.43,470.128
50.45,-74.43,462.684
50.45,-74.43,421.8
50.45,-74.43,455.329
50.45,-74.43,451.67
50.45,-74.43,397.418
50.45,-74.43,443.964
50.45,-74.43,447.632
50.45,-74.43,450.52
50.45,-74.43,467.404
50.45,-74.43,389.158
50.45,-74.43,444.219
50.45,-74.43,478.309
50.45,-74.43,429.03
50.45,-74.43,438.901
50.45,-74.43,401.754
50.45,-74.43,390.912
50.45,-74.43,427.084
50.45,-74.43,409.607
50.45,-74.43,440.44
50.45,-74.43,450.937
50.45,-74.43,405.545
50.45,-74.43,465.833
50.45,-74.43,395.263
50.45,-74.43,426.13
50.45,-74.43,442.957
50.45,-74.43,466.597
50.45,-74.43,423.637
50.45,-74.43,448.033
50.45,-74.43,449.404
50.45,-74.43,470.121
50.45,-74.43,462.539
50.45,-74.43,421.793
50.45,-74.43,455.322
50.45,-74.43,451.663
50.45,-74.43,397.412
50.45,-74.43,443.956
50.45,-74.43,447.625
50.45,-74.43,450.513
50.45,-74.43,467.391
50.45,-74.43,389.148
50.45,-74.43,444.212
50.45,-74.43,478.302
50.45,-74.43,429.022
50.45,-74.43,438.893
50.45,-74.43,401.747
50.45,-74.43,390.905
50.45,-74.43,427.077
50.45,-74.43,409.599
50.45,-74.43,440.432
50.45,-74.43,450.929
50.45,-74.43,405.537
50.45,-74.43,465.826
50.45,-74.43,395.257
50.44,-74.43,426.311
50.44,-74.43,443.144
50.44,-74.43,466.779
50.44,-74.43,423.835
50.44,-74.43,448.175
50.44,-74.43,449.596
50.44,-74.43,470.279
50.44,-74.43,462.722
50.44,-74.43,421.96
50.44,-74.43,455.494
50.44,-74.43,451.865
50.44,-74.43,397.559
50.44,-74.43,444.158
50.44,-74.43,447.811
50.44,-74.43,450.682
50.44,-74.43,467.573
50.44,-74.43,389.303
50.44,-74.43,444.396
50.44,-74.43,478.474
50.44,-74.43,429.185
50.44,-74.43,439.089
50.44,-74.43,401.921
50.44,-74.43,391.078
50.44,-74.43,427.234
50.44,-74.43,409.821
50.44,-74.43,440.64
50.44,-74.43,451.131
50.44,-74.43,405.73
50.44,-74.43,465.99
50.44,-74.43,395.404
50.46,-74.43,425.949
50.46,-74.43,442.771
50.46,-74.43,466.425
50.46,-74.43,423.44
50.46,-74.43,447.891
50.46,-74.43,449.213
50.46,-74.43,469.964
50.46,-74.43,462.356
50.46,-74.43,421.626
50.46,-74.43,455.15
50.46,-74.43,451.462
50.46,-74.43,397.265
50.46,-74.43,443.756
50.46,-74.43,447.44
50.46,-74.43,450.344
50.46,-74.43,467.174
50.46,-74.43,388.993
50.46,-74.43,444.027
50.46,-74.43,478.131
50.46,-74.43,428.859
50.46,-74.43,438.697
50.46,-74.43,401.573
50.46,-74.43,390.732
50.46,-74.43,426.92
50.46,-74.43,409.377
50.46,-74.43,440.225
50.46,-74.43,450.728
50.46,-74.43,405.344
50.46,-74.43,465.663
50.46,-74.43,395.109
50.46,-74.42,424.276
50.46,-74.42,441.481
50.46,-74.42,465.515
50.46,-74.42,421.677
50.46,-74.42,446.8
50.46,-74.42,448.474
50.46,-74.42,469.429
50.46,-74.42,461.386
50.46,-74.42,420.361
50.46,-74.42,453.976
50.46,-74.42,450.362
50.46,-74.42,395.419
50.46,-74.42,442.28
50.46,-74.42,445.731
50.46,-74.42,449.205
50.46,-74.42,465.96
50.46,-74.42,387.186
50.46,-74.42,442.833
50.46,-74.42,478.405
50.46,-74.42,427.267
50.46,-74.42,437.742
50.46,-74.42,399.407
50.46,-74.42,388.649
50.46,-74.42,425.225
50.46,-74.42,407.465
50.46,-74.42,439.067
50.46,-74.42,448.683
50.46,-74.42,403.581
50.46,-74.42,465.083
50.46,-74.42,393.112
50.45,-74.42,424.492
50.45,-74.42,441.695
50.45,-74.42,465.706
50.45,-74.42,421.912
50.45,-74.42,446.964
