Latitude,Longitude,TotalPrecipitation (mm)
50.45,-74.43,125.78
50.45,-74.43,110.712
50.45,-74.43,122.364
50.45,-74.43,97.375
50.45,-74.43,124.748
50.45,-74.43,93.231
50.45,-74.43,89.448
50.45,-74.43,96.241
50.45,-74.43,92.171
50.45,-74.43,101.037
50.45,-74.43,113.583
50.45,-74.43,98.131
50.45,-74.43,111.049
50.45,-74.43,105.255
50.45,-74.43,86.834
50.45,-74.43,95.275
50.45,-74.43,110.409
50.45,-74.43,132.289
50.45,-74.43,103.347
50.45,-74.43,137.34
50.45,-74.43,112.984
50.45,-74.43,123.224
50.45,-74.43,101.926
50.45,-74.43,109.968
50.45,-74.43,105.503
50.45,-74.43,78.934
50.45,-74.43,123.394
50.45,-74.43,115.552
50.45,-74.43,96.753
50.45,-74.43,109.656
50.45,-74.43,125.776
50.45,-74.43,110.71
50.45,-74.43,122.361
50.45,-74.43,97.373
50.45,-74.43,124.745
50.45,-74.43,93.229
50.45,-74.43,89.446
50.45,-74.43,96.239
50.45,-74.43,92.169
50.45,-74.43,101.035
50.45,-74.43,113.581
50.45,-74.43,98.129
50.45,-74.43,111.046
50.45,-74.43,105.253
50.45,-74.43,86.832
50.45,-74.43,95.273
50.45,-74.43,110.407
50.45,-74.43,132.286
50.45,-74.43,103.344
50.45,-74.43,137.336
50.45,-74.43,112.982
50.45,-74.43,123.22
50.45,-74.43,101.924
50.45,-74.43,109.965
50.45,-74.43,105.5
50.45,-74.43,78.933
50.45,-74.43,123.391
50.45,-74.43,115.549
50.45,-74.43,96.751
50.45,-74.43,109.654
50.44,-74.43,125.862
50.44,-74.43,110.767
50.44,-74.43,122.434
50.44,-74.43,97.412
50.44,-74.43,124.827
50.44,-74.43,93.264
50.44,-74.43,89.475
50.44,-74.43,96.273
50.44,-74.43,92.198
50.44,-74.43,101.079
50.44,-74.43,113.649
50.44,-74.43,98.166
50.44,-74.43,111.103
50.44,-74.43,105.296
50.44,-74.43,86.855
50.44,-74.43,95.313
50.44,-74.43,110.465
50.44,-74.43,132.384
50.44,-74.43,103.394
50.44,-74.43,137.449
50.44,-74.43,113.038
50.44,-74.43,123.305
50.44,-74.43,101.97
50.44,-74.43,110.019
50.44,-74.43,105.544
50.44,-74.43,78.961
50.44,-74.43,123.468
50.44,-74.43,115.617
50.44,-74.43,96.783
50.44,-74.43,109.708
50.46,-74.43,125.691
50.46,-74.43,110.653
50.46,-74.43,122.287
50.46,-74.43,97.334
50.46,-74.43,124.664
50.46,-74.43,93.194
50.46,-74.43,89.418
50.46,-74.43,96.205
50.46,-74.43,92.14
50.46,-74.43,100.991
50.46,-74.43,113.513
50.46,-74.43,98.091
50.46,-74.43,110.99
50.46,-74.43,105.21
50.46,-74.43,86.809
50.46,-74.43,95.232
50.46,-74.43,110.348
50.46,-74.43,132.188
50.46,-74.43,103.295
50.46,-74.43,137.223
50.46,-74.43,112.926
50.46,-74.43,123.136
50.46,-74.43,101.877
50.46,-74.43,109.911
50.46,-74.43,105.457
50.46,-74.43,78.904
50.46,-74.43,123.314
50.46,-74.43,115.482
50.46,-74.43,96.719
50.46,-74.43,109.6
50.46,-74.42,125.74
50.46,-74.42,110.003
50.46,-74.42,121.963
50.46,-74.42,96.379
50.46,-74.42,124.563
50.46,-74.42,92.196
50.46,-74.42,88.264
50.46,-74.42,95.086
50.46,-74.42,90.939
50.46,-74.42,100.116
50.46,-74.42,113.203
50.46,-74.42,97.057
50.46,-74.42,110.318
50.46,-74.42,104.187
50.46,-74.42,85.545
50.46,-74.42,94.371
50.46,-74.42,109.774
50.46,-74.42,132.499
50.46,-74.42,102.576
50.46,-74.42,137.974
50.46,-74.42,112.195
50.46,-74.42,123.201
50.46,-74.42,101.071
50.46,-74.42,109.163
50.46,-74.42,104.455
50.46,-74.42,78.029
50.46,-74.42,123.084
50.46,-74.42,115.122
50.46,-74.42,95.502
50.46,-74.42,108.869
50.45,-74.42,125.821
50.45,-74.42,110.069
50.45,-74.42,122.039
50.45,-74.42,96.434
50.45,-74.42,124.642
50.45,-74.42,92.249
50.45,-74.42,88.313
50.45,-74.42,95.139
50.45,-74.42,90.989
50.45,-74.42,100.174
50.45,-74.42,113.274
50.45,-74.42,97.112
50.45,-74.42,110.384
50.45,-74.42,104.247
50.45,-74.42,85.591
50.45,-74.42,94.426
50.45,-74.42,109.84
50.45,-74.42,132.587
50.45,-74.42,102.637
50.45,-74.42,138.068
50.45,-74.42,112.262
50.45,-74.42,123.281
50.45,-74.42,101.13
50.45,-74.42,109.228
50.45,-74.42,104.515
50.45,-74.42,78.073
50.45,-74.42,123.162
50.45,-74.42,115.193
50.45,-74.42,95.554
50.45,-74.42,108.934
50.35,-74.68,127.871
50.35,-74.68,112.277
50.35,-74.68,124.249
50.35,-74.68,98.601
50.35,-74.68,126.759
50.35,-74.68,94.37
50.35,-74.68,90.465
50.35,-74.68,97.383
50.35,-74.68,93.214
50.35,-74.68,102.35
50.35,-74.68,115.326
50.35,-74.68,99.338
50.35,-74.68,112.611
50.35,-74.68,106.589
50.35,-74.68,87.769
50.35,-74.68,96.501
50.35,-74.68,111.991
50.35,-74.68,134.584
50.35,-74.68,104.762
50.35,-74.68,139.888
50.35,-74.68,114.556
50.35,-74.68,125.271
50.35,-74.68,103.284
50.35,-74.68,111.482
50.35,-74.68,106.846
50.35,-74.68,79.882
50.35,-74.68,125.332
50.35,-74.68,117.31
50.35,-74.68,97.87
50.35,-74.68,111.173
50.36,-74.69,127.803
50.36,-74.69,112.238
50.36,-74.69,124.194
50.36,-74.69,98.578
50.36,-74.69,126.695
50.36,-74.69,94.35
50.36,-74.69,90.452
50.36,-74.69,97.366
50.36,-74.69,93.201
50.36,-74.69,102.323
50.36,-74.69,115.275
50.36,-74.69,99.317
50.36,-74.69,112.572
50.36,-74.69,106.564
50.36,-74.69,87.762
50.36,-74.69,96.477
50.36,-74.69,111.95
50.36,-74.69,134.504
50.36,-74.69,104.729
50.36,-74.69,139.793
50.36,-74.69,114.519
50.36,-74.69,125.204
50.36,-74.69,103.254
50.36,-74.69,111.447
50.36,-74.69,106.82
50.36,-74.69,79.867
50.36,-74.69,125.273
50.36,-74.69,117.26
50.36,-74.69,97.855
50.36,-74.69,111.136
50.36,-74.69,127.797
50.36,-74.69,112.234
50.36,-74.69,124.188
50.36,-74.69,98.575
50.36,-74.69,126.69
50.36,-74.69,94.347
50.36,-74.69,90.449
50.36,-74.69,97.363
50.36,-74.69,93.198
50.36,-74.69,102.323
50.36,-74.69,115.271
50.36,-74.69,99.313
50.36,-74.69,112.568
50.36,-74.69,106.56
50.36,-74.69,87.759
50.36,-74.69,96.473
50.36,-74.69,111.945
50.36,-74.69,134.498
50.36,-74.69,104.725
50.36,-74.69,139.786
50.36,-74.69,114.514
50.36,-74.69,125.198
50.36,-74.69,103.25
50.36,-74.69,111.442
50.36,-74.69,106.816
50.36,-74.69,79.864
50.36,-74.69,125.268
50.36,-74.69,117.255
50.36,-74.69,97.852
50.36,-74.69,111.132
50.36,-74.69,127.669
50.36,-74.69,112.142
50.36,-74.69,124.075
50.36,-74.69,98.506
50.36,-74.69,126.567
50.36,-74.69,94.284
50.36,-74.69,90.395
50.36,-74.69,97.3
50.36,-74.69,93.142
50.36,-74.69,102.248
50.36,-74.69,115.165
50.36,-74.69,99.246
50.36,-74.69,112.476
50.36,-74.69,106.485
50.36,-74.69,87.711
50.36,-74.69,96.404
50.36,-74.69,111.859
50.36,-74.69,134.354
50.36,-74.69,104.643
50.36,-74.69,139.632
50.36,-74.69,114.423
50.36,-74.69,125.072
50.36,-74.69,103.172
50.36,-74.69,111.354
50.36,-74.69,106.74
50.36,-74.69,79.812
50.36,-74.69,125.151
50.36,-74.69,117.149
50.36,-74.69,97.792
50.36,-74.69,111.044
50.35,-74.67,127.832
50.35,-74.67,112.243
50.35,-74.67,124.211
50.35,-74.67,98.571
50.35,-74.67,126.72
50.35,-74.67,94.341
50.35,-74.67,90.438
50.35,-74.67,97.354
50.35,-74.67,93.186
50.35,-74.67,102.32
50.35,-74.67,115.291
50.35,-74.67,99.308
50.35,-74.67,112.577
50.35,-74.67,106.558
50.35,-74.67,87.743
50.35,-74.67,96.472
50.35,-74.67,111.957
50.35,-74.67,134.542
50.35,-74.67,104.73
50.35,-74.67,139.845
50.35,-74.67,114.522
50.35,-74.67,125.233
50.35,-74.67,103.253
50.35,-74.67,111.449
50.35,-74.67,106.814
50.35,-74.67,79.858
50.35,-74.67,125.294
50.35,-74.67,117.275
50.35,-74.67,97.841
50.35,-74.67,111.139
50.35,-74.67,127.832
50.35,-74.67,112.243
50.35,-74.67,124.211
50.35,-74.67,98.572
50.35,-74.67,126.72
50.35,-74.67,94.342
50.35,-74.67,90.438
50.35,-74.67,97.354
50.35,-74.67,93.186
50.35,-74.67,102.32
50.35,-74.67,115.292
50.35,-74.67,99.308
50.35,-74.67,112.577
50.35,-74.67,106.558
50.35,-74.67,87.744
50.35,-74.67,96.473
50.35,-74.67,111.958
50.35,-74.67,134.543
50.35,-74.67,104.731
50.35,-74.67,139.845
50.35,-74.67,114.522
50.35,-74.67,125.233
50.35,-74.67,103.253
50.35,-74.67,111.449
50.35,-74.67,106.814
50.35,-74.67,79.858
50.35,-74.67,125.294
50.35,-74.67,117.275
50.35,-74.67,97.841
50.35,-74.67,111.139
50.34,-74.67,127.935
50.34,-74.67,112.313
50.34,-74.67,124.3
50.34,-74.67,98.621
50.34,-74.67,126.818
50.34,-74.67,94.386
50.34,-74.67,90.475
50.34,-74.67,97.398
50.34,-74.67,93.224
50.34,-74.67,102.379
50.34,-74.67,115.373
50.34,-74.67,99.356
50.34,-74.67,112.646
50.34,-74.67,106.612
50.34,-74.67,87.775
50.34,-74.67,96.523
50.34,-74.67,112.029
50.34,-74.67,134.659
50.34,-74.67,104.792
50.34,-74.67,139.979
50.34,-74.67,114.591
50.34,-74.67,125.334
50.34,-74.67,103.31
50.34,-74.67,111.515
50.34,-74.67,106.868
50.34,-74.67,79.895
50.34,-74.67,125.386
50.34,-74.67,117.357
50.34,-74.67,97.882
50.34,-74.67,111.205
50.34,-74.67,127.931
50.34,-74.67,112.31
50.34,-74.67,124.297
50.34,-74.67,98.619
50.34,-74.67,126.815
50.34,-74.67,94.385
50.34,-74.67,90.473
50.34,-74.67,97.396
50.34,-74.67,93.222
50.34,-74.67,102.377
50.34,-74.67,115.371
50.34,-74.67,99.354
50.34,-74.67,112.644
50.34,-74.67,106.61
50.34,-74.67,87.773
50.34,-74.67,96.521
50.34,-74.67,112.026
50.34,-74.67,134.655
50.34,-74.67,104.79
50.34,-74.67,139.975
50.34,-74.67,114.589
50.34,-74.67,125.331
50.34,-74.67,103.308
50.34,-74.67,111.513
50.34,-74.67,106.866
50.34,-74.67,79.894
50.34,-74.67,125.383
50.34,-74.67,117.354
50.34,-74.67,97.881
50.34,-74.67,111.203
50.34,-74.67,127.928
50.34,-74.67,112.308
50.34,-74.67,124.294
50.34,-74.67,98.617
50.34,-74.67,126.811
50.34,-74.67,94.383
50.34,-74.67,90.472
50.34,-74.67,97.394
50.34,-74.67,93.221
50.34,-74.67,102.374
50.34,-74.67,115.368
50.34,-74.67,99.352
50.34,-74.67,112.641
50.34,-74.67,106.607
50.34,-74.67,87.772
50.34,-74.67,96.519
50.34,-74.67,112.024
50.34,-74.67,134.651
50.34,-74.67,104.787
50.34,-74.67,139.97
50.34,-74.67,114.586
50.34,-74.67,125.328
50.34,-74.67,103.306
50.34,-74.67,111.51
50.34,-74.67,106.864
50.34,-74.67,79.892
50.34,-74.67,125.38
50.34,-74.67,117.351
