Latitude,Longitude,TMax 
50.45,-74.43,-6.742
50.45,-74.43,-5.482
50.45,-74.43,-6.508
50.45,-74.43,-6.378
50.45,-74.43,-7.156
50.45,-74.43,-5.167
50.45,-74.43,-6.467
50.45,-74.43,-6.47
50.45,-74.43,-5.041
50.45,-74.43,-6.294
50.45,-74.43,-5.844
50.45,-74.43,-4.888
50.45,-74.43,-5.145
50.45,-74.43,-5.661
50.45,-74.43,-6.683
50.45,-74.43,-4.605
50.45,-74.43,-7.6
50.45,-74.43,-6.318
50.45,-74.43,-6.402
50.45,-74.43,-5.819
50.45,-74.43,-6.044
50.45,-74.43,-6.436
50.45,-74.43,-6.994
50.45,-74.43,-7.014
50.45,-74.43,-6.446
50.45,-74.43,-5.71
50.45,-74.43,-6.01
50.45,-74.43,-5.501
50.45,-74.43,-5.219
50.45,-74.43,-4.894
50.45,-74.43,-6.716
50.45,-74.43,-5.457
50.45,-74.43,-6.482
50.45,-74.43,-6.352
50.45,-74.43,-7.13
50.45,-74.43,-5.142
50.45,-74.43,-6.441
50.45,-74.43,-6.445
50.45,-74.43,-5.016
50.45,-74.43,-6.268
50.45,-74.43,-5.818
50.45,-74.43,-4.862
50.45,-74.43,-5.12
50.45,-74.43,-5.635
50.45,-74.43,-6.657
50.45,-74.43,-4.579
50.45,-74.43,-7.574
50.45,-74.43,-6.292
50.45,-74.43,-6.376
50.45,-74.43,-5.793
50.45,-74.43,-6.018
50.45,-74.43,-6.411
50.45,-74.43,-6.968
50.45,-74.43,-6.988
50.45,-74.43,-6.42
50.45,-74.43,-5.684
50.45,-74.43,-5.985
50.45,-74.43,-5.476
50.45,-74.43,-5.193
50.45,-74.43,-4.868
50.44,-74.43,-6.709
50.44,-74.43,-5.449
50.44,-74.43,-6.476
50.44,-74.43,-6.346
50.44,-74.43,-7.124
50.44,-74.43,-5.135
50.44,-74.43,-6.434
50.44,-74.43,-6.438
50.44,-74.43,-5.01
50.44,-74.43,-6.262
50.44,-74.43,-5.812
50.44,-74.43,-4.856
50.44,-74.43,-5.113
50.44,-74.43,-5.629
50.44,-74.43,-6.652
50.44,-74.43,-4.573
50.44,-74.43,-7.568
50.44,-74.43,-6.286
50.44,-74.43,-6.37
50.44,-74.43,-5.787
50.44,-74.43,-6.012
50.44,-74.43,-6.404
50.44,-74.43,-6.962
50.44,-74.43,-6.982
50.44,-74.43,-6.414
50.44,-74.43,-5.678
50.44,-74.43,-5.979
50.44,-74.43,-5.469
50.44,-74.43,-5.187
50.44,-74.43,-4.862
50.46,-74.43,-6.723
50.46,-74.43,-5.464
50.46,-74.43,-6.488
50.46,-74.43,-6.358
50.46,-74.43,-7.136
50.46,-74.43,-5.148
50.46,-74.43,-6.448
50.46,-74.43,-6.451
50.46,-74.43,-5.022
50.46,-74.43,-6.275
50.46,-74.43,-5.824
50.46,-74.43,-4.869
50.46,-74.43,-5.126
50.46,-74.43,-5.641
50.46,-74.43,-6.663
50.46,-74.43,-4.586
50.46,-74.43,-7.58
50.46,-74.43,-6.299
50.46,-74.43,-6.383
50.46,-74.43,-5.8
50.46,-74.43,-6.024
50.46,-74.43,-6.417
50.46,-74.43,-6.974
50.46,-74.43,-6.994
50.46,-74.43,-6.426
50.46,-74.43,-5.691
50.46,-74.43,-5.991
50.46,-74.43,-5.483
50.46,-74.43,-5.199
50.46,-74.43,-4.875
50.46,-74.42,-6.746
50.46,-74.42,-5.487
50.46,-74.42,-6.511
50.46,-74.42,-6.381
50.46,-74.42,-7.159
50.46,-74.42,-5.171
50.46,-74.42,-6.471
50.46,-74.42,-6.474
50.46,-74.42,-5.045
50.46,-74.42,-6.298
50.46,-74.42,-5.848
50.46,-74.42,-4.892
50.46,-74.42,-5.15
50.46,-74.42,-5.664
50.46,-74.42,-6.686
50.46,-74.42,-4.609
50.46,-74.42,-7.604
50.46,-74.42,-6.322
50.46,-74.42,-6.406
50.46,-74.42,-5.823
50.46,-74.42,-6.047
50.46,-74.42,-6.44
50.46,-74.42,-6.998
50.46,-74.42,-7.017
50.46,-74.42,-6.45
50.46,-74.42,-5.714
50.46,-74.42,-6.014
50.46,-74.42,-5.506
50.46,-74.42,-5.223
50.46,-74.42,-4.898
50.45,-74.42,-6.727
50.45,-74.42,-5.467
50.45,-74.42,-6.492
50.45,-74.42,-6.362
50.45,-74.42,-7.14
50.45,-74.42,-5.152
50.45,-74.42,-6.451
50.45,-74.42,-6.455
50.45,-74.42,-5.026
50.45,-74.42,-6.279
50.45,-74.42,-5.828
50.45,-74.42,-4.873
50.45,-74.42,-5.13
50.45,-74.42,-5.645
50.45,-74.42,-6.668
50.45,-74.42,-4.59
50.45,-74.42,-7.585
50.45,-74.42,-6.303
50.45,-74.42,-6.387
50.45,-74.42,-5.804
50.45,-74.42,-6.028
50.45,-74.42,-6.421
50.45,-74.42,-6.978
50.45,-74.42,-6.998
50.45,-74.42,-6.43
50.45,-74.42,-5.695
50.45,-74.42,-5.995
50.45,-74.42,-5.486
50.45,-74.42,-5.204
50.45,-74.42,-4.879
50.35,-74.68,-6.787
50.35,-74.68,-5.477
50.35,-74.68,-6.546
50.35,-74.68,-6.411
50.35,-74.68,-7.196
50.35,-74.68,-5.171
50.35,-74.68,-6.483
50.35,-74.68,-6.496
50.35,-74.68,-5.036
50.35,-74.68,-6.329
50.35,-74.68,-5.874
50.35,-74.68,-4.882
50.35,-74.68,-5.159
50.35,-74.68,-5.684
50.35,-74.68,-6.732
50.35,-74.68,-4.602
50.35,-74.68,-7.667
50.35,-74.68,-6.343
50.35,-74.68,-6.435
50.35,-74.68,-5.831
50.35,-74.68,-6.07
50.35,-74.68,-6.465
50.35,-74.68,-7.05
50.35,-74.68,-7.049
50.35,-74.68,-6.493
50.35,-74.68,-5.721
50.35,-74.68,-6.03
50.35,-74.68,-5.507
50.35,-74.68,-5.246
50.35,-74.68,-4.885
50.36,-74.69,-6.796
50.36,-74.69,-5.487
50.36,-74.69,-6.555
50.36,-74.69,-6.42
50.36,-74.69,-7.205
50.36,-74.69,-5.18
50.36,-74.69,-6.493
50.36,-74.69,-6.505
50.36,-74.69,-5.045
50.36,-74.69,-6.338
50.36,-74.69,-5.883
50.36,-74.69,-4.891
50.36,-74.69,-5.168
50.36,-74.69,-5.693
50.36,-74.69,-6.741
50.36,-74.69,-4.611
50.36,-74.69,-7.676
50.36,-74.69,-6.353
50.36,-74.69,-6.444
50.36,-74.69,-5.84
50.36,-74.69,-6.079
50.36,-74.69,-6.474
50.36,-74.69,-7.059
50.36,-74.69,-7.057
50.36,-74.69,-6.502
50.36,-74.69,-5.731
50.36,-74.69,-6.039
50.36,-74.69,-5.516
50.36,-74.69,-5.254
50.36,-74.69,-4.894
50.36,-74.69,-6.771
50.36,-74.69,-5.462
50.36,-74.69,-6.53
50.36,-74.69,-6.395
50.36,-74.69,-7.18
50.36,-74.69,-5.155
50.36,-74.69,-6.468
50.36,-74.69,-6.48
50.36,-74.69,-5.02
50.36,-74.69,-6.313
50.36,-74.69,-5.858
50.36,-74.69,-4.867
50.36,-74.69,-5.144
50.36,-74.69,-5.669
50.36,-74.69,-6.716
50.36,-74.69,-4.587
50.36,-74.69,-7.651
50.36,-74.69,-6.328
50.36,-74.69,-6.419
50.36,-74.69,-5.816
50.36,-74.69,-6.054
50.36,-74.69,-6.45
50.36,-74.69,-7.035
50.36,-74.69,-7.033
50.36,-74.69,-6.477
