Latitude,Longitude,TMin 
50.45,-74.43,12.338
50.45,-74.43,11.801
50.45,-74.43,11.155
50.45,-74.43,11.308
50.45,-74.43,11.298
50.45,-74.43,11.26
50.45,-74.43,11.754
50.45,-74.43,11.476
50.45,-74.43,11.733
50.45,-74.43,11.033
50.45,-74.43,10.733
50.45,-74.43,11.909
50.45,-74.43,11.853
50.45,-74.43,11.554
50.45,-74.43,11.64
50.45,-74.43,11.014
50.45,-74.43,10.927
50.45,-74.43,11.56
50.45,-74.43,11.696
50.45,-74.43,10.588
50.45,-74.43,12.007
50.45,-74.43,10.793
50.45,-74.43,11.053
50.45,-74.43,11.465
50.45,-74.43,11.336
50.45,-74.43,11.882
50.45,-74.43,10.845
50.45,-74.43,12.043
50.45,-74.43,11.016
50.45,-74.43,11.358
50.45,-74.43,12.352
50.45,-74.43,11.815
50.45,-74.43,11.169
50.45,-74.43,11.322
50.45,-74.43,11.312
50.45,-74.43,11.274
50.45,-74.43,11.768
50.45,-74.43,11.49
50.45,-74.43,11.747
50.45,-74.43,11.047
50.45,-74.43,10.747
50.45,-74.43,11.923
50.45,-74.43,11.867
50.45,-74.43,11.568
50.45,-74.43,11.654
50.45,-74.43,11.028
50.45,-74.43,10.942
50.45,-74.43,11.575
50.45,-74.43,11.71
50.45,-74.43,10.602
50.45,-74.43,12.021
50.45,-74.43,10.807
50.45,-74.43,11.067
50.45,-74.43,11.48
50.45,-74.43,11.35
50.45,-74.43,11.896
50.45,-74.43,10.86
50.45,-74.43,12.057
50.45,-74.43,11.031
50.45,-74.43,11.373
50.44,-74.43,12.366
50.44,-74.43,11.83
50.44,-74.43,11.184
50.44,-74.43,11.337
50.44,-74.43,11.327
50.44,-74.43,11.289
50.44,-74.43,11.783
50.44,-74.43,11.504
50.44,-74.43,11.762
50.44,-74.43,11.062
50.44,-74.43,10.762
50.44,-74.43,11.937
50.44,-74.43,11.882
50.44,-74.43,11.583
50.44,-74.43,11.669
50.44,-74.43,11.043
50.44,-74.43,10.956
50.44,-74.43,11.589
50.44,-74.43,11.725
50.44,-74.43,10.617
50.44,-74.43,12.036
50.44,-74.43,10.822
50.44,-74.43,11.082
50.44,-74.43,11.494
50.44,-74.43,11.364
50.44,-74.43,11.911
50.44,-74.43,10.874
50.44,-74.43,12.071
50.44,-74.43,11.046
50.44,-74.43,11.387
50.46,-74.43,12.338
50.46,-74.43,11.801
50.46,-74.43,11.154
50.46,-74.43,11.307
50.46,-74.43,11.297
50.46,-74.43,11.26
50.46,-74.43,11.754
50.46,-74.43,11.475
50.46,-74.43,11.733
50.46,-74.43,11.033
50.46,-74.43,10.732
50.46,-74.43,11.909
