Latitude,Longitude,TMin 
50.45,-74.43,11.999
50.45,-74.43,11.234
50.45,-74.43,11.22
50.45,-74.43,11.61
50.45,-74.43,11.477
50.45,-74.43,11.095
50.45,-74.43,11.216
50.45,-74.43,11.117
50.45,-74.43,11.67
50.45,-74.43,11.095
50.45,-74.43,10.988
50.45,-74.43,11.217
50.45,-74.43,11.557
50.45,-74.43,11.096
50.45,-74.43,11.398
50.45,-74.43,11.092
50.45,-74.43,11.226
50.45,-74.43,11.361
50.45,-74.43,11.233
50.45,-74.43,11.172
50.45,-74.43,11.278
50.45,-74.43,11.124
50.45,-74.43,11.382
50.45,-74.43,11.19
50.45,-74.43,11.247
50.45,-74.43,11.849
50.45,-74.43,10.82
50.45,-74.43,11.507
50.45,-74.43,11.272
50.45,-74.43,11.169
50.45,-74.43,12.019
50.45,-74.43,11.253
50.45,-74.43,11.239
50.45,-74.43,11.629
50.45,-74.43,11.496
50.45,-74.43,11.114
50.45,-74.43,11.235
50.45,-74.43,11.136
50.45,-74.43,11.689
50.45,-74.43,11.114
50.45,-74.43,11.007
50.45,-74.43,11.236
50.45,-74.43,11.576
50.45,-74.43,11.116
50.45,-74.43,11.417
50.45,-74.43,11.112
50.45,-74.43,11.245
50.45,-74.43,11.38
50.45,-74.43,11.252
50.45,-74.43,11.191
50.45,-74.43,11.297
50.45,-74.43,11.143
50.45,-74.43,11.401
50.45,-74.43,11.209
50.45,-74.43,11.266
50.45,-74.43,11.868
50.45,-74.43,10.839
50.45,-74.43,11.526
50.45,-74.43,11.291
50.45,-74.43,11.188
50.44,-74.43,12.034
50.44,-74.43,11.269
50.44,-74.43,11.255
50.44,-74.43,11.645
50.44,-74.43,11.511
50.44,-74.43,11.13
50.44,-74.43,11.251
50.44,-74.43,11.152
50.44,-74.43,11.704
50.44,-74.43,11.129
50.44,-74.43,11.022
50.44,-74.43,11.252
50.44,-74.43,11.591
50.44,-74.43,11.131
50.44,-74.43,11.432
50.44,-74.43,11.127
50.44,-74.43,11.261
50.44,-74.43,11.395
50.44,-74.43,11.267
50.44,-74.43,11.207
50.44,-74.43,11.312
50.44,-74.43,11.159
50.44,-74.43,11.416
50.44,-74.43,11.224
50.44,-74.43,11.282
50.44,-74.43,11.884
50.44,-74.43,10.854
50.44,-74.43,11.541
50.44,-74.43,11.306
50.44,-74.43,11.203
50.46,-74.43,12.004
50.46,-74.43,11.238
50.46,-74.43,11.224
50.46,-74.43,11.614
50.46,-74.43,11.48
50.46,-74.43,11.099
50.46,-74.43,11.22
50.46,-74.43,11.121
50.46,-74.43,11.674
50.46,-74.43,11.098
50.46,-74.43,10.992
50.46,-74.43,11.221
50.46,-74.43,11.561
50.46,-74.43,11.1
50.46,-74.43,11.402
50.46,-74.43,11.096
50.46,-74.43,11.23
50.46,-74.43,11.365
50.46,-74.43,11.237
50.46,-74.43,11.176
50.46,-74.43,11.282
50.46,-74.43,11.128
50.46,-74.43,11.385
50.46,-74.43,11.194
50.46,-74.43,11.251
50.46,-74.43,11.853
50.46,-74.43,10.823
50.46,-74.43,11.511
50.46,-74.43,11.275
50.46,-74.43,11.172
50.46,-74.42,11.982
50.46,-74.42,11.216
50.46,-74.42,11.202
50.46,-74.42,11.592
50.46,-74.42,11.459
50.46,-74.42,11.077
50.46,-74.42,11.198
50.46,-74.42,11.099
50.46,-74.42,11.652
50.46,-74.42,11.076
50.46,-74.42,10.97
50.46,-74.42,11.199
50.46,-74.42,11.539
50.46,-74.42,11.079
50.46,-74.42,11.38
50.46,-74.42,11.074
50.46,-74.42,11.208
50.46,-74.42,11.343
50.46,-74.42,11.215
50.46,-74.42,11.154
50.46,-74.42,11.26
50.46,-74.42,11.106
50.46,-74.42,11.364
50.46,-74.42,11.172
50.46,-74.42,11.229
50.46,-74.42,11.831
50.46,-74.42,10.802
50.46,-74.42,11.489
50.46,-74.42,11.254
50.46,-74.42,11.151
50.45,-74.42,12.006
50.45,-74.42,11.241
50.45,-74.42,11.227
50.45,-74.42,11.617
50.45,-74.42,11.483
50.45,-74.42,11.102
50.45,-74.42,11.223
50.45,-74.42,11.124
50.45,-74.42,11.677
50.45,-74.42,11.101
50.45,-74.42,10.995
50.45,-74.42,11.224
50.45,-74.42,11.564
50.45,-74.42,11.103
50.45,-74.42,11.405
50.45,-74.42,11.099
50.45,-74.42,11.233
50.45,-74.42,11.368
50.45,-74.42,11.24
50.45,-74.42,11.179
50.45,-74.42,11.285
50.45,-74.42,11.131
50.45,-74.42,11.388
50.45,-74.42,11.197
50.45,-74.42,11.254
50.45,-74.42,11.856
50.45,-74.42,10.827
50.45,-74.42,11.514
50.45,-74.42,11.278
50.45,-74.42,11.175
50.35,-74.68,12.375
50.35,-74.68,11.612
50.35,-74.68,11.595
50.35,-74.68,12.002
50.35,-74.68,11.86
50.35,-74.68,11.468
50.35,-74.68,11.574
50.35,-74.68,11.507
50.35,-74.68,12.044
50.35,-74.68,11.46
50.35,-74.68,11.371
50.35,-74.68,11.591
50.35,-74.68,11.928
50.35,-74.68,11.477
50.35,-74.68,11.792
50.35,-74.68,11.484
50.35,-74.68,11.62
50.35,-74.68,11.763
50.35,-74.68,11.628
50.35,-74.68,11.556
50.35,-74.68,11.65
50.35,-74.68,11.516
50.35,-74.68,11.776
50.35,-74.68,11.578
50.35,-74.68,11.622
50.35,-74.68,12.223
50.35,-74.68,11.226
50.35,-74.68,11.875
50.35,-74.68,11.661
50.35,-74.68,11.557
50.36,-74.69,12.363
50.36,-74.69,11.599
50.36,-74.69,11.582
50.36,-74.69,11.99
50.36,-74.69,11.847
50.36,-74.69,11.455
50.36,-74.69,11.561
50.36,-74.69,11.494
50.36,-74.69,12.031
50.36,-74.69,11.447
50.36,-74.69,11.358
50.36,-74.69,11.578
50.36,-74.69,11.916
50.36,-74.69,11.464
50.36,-74.69,11.779
50.36,-74.69,11.471
50.36,-74.69,11.607
50.36,-74.69,11.75
50.36,-74.69,11.615
50.36,-74.69,11.543
50.36,-74.69,11.638
50.36,-74.69,11.503
50.36,-74.69,11.763
50.36,-74.69,11.565
50.36,-74.69,11.609
50.36,-74.69,12.21
50.36,-74.69,11.213
50.36,-74.69,11.863
50.36,-74.69,11.648
50.36,-74.69,11.544
50.36,-74.69,12.385
50.36,-74.69,11.622
50.36,-74.69,11.605
50.36,-74.69,12.012
50.36,-74.69,11.869
50.36,-74.69,11.478
50.36,-74.69,11.584
50.36,-74.69,11.517
50.36,-74.69,12.054
50.36,-74.69,11.47
50.36,-74.69,11.381
50.36,-74.69,11.601
50.36,-74.69,11.938
50.36,-74.69,11.487
50.36,-74.69,11.801
50.36,-74.69,11.493
50.36,-74.69,11.63
50.36,-74.69,11.773
50.36,-74.69,11.638
50.36,-74.69,11.566
50.36,-74.69,11.66
50.36,-74.69,11.525
50.36,-74.69,11.786
50.36,-74.69,11.587
50.36,-74.69,11.632
50.36,-74.69,12.233
50.36,-74.69,11.236
50.36,-74.69,11.885
50.36,-74.69,11.67
50.36,-74.69,11.567
50.36,-74.69,12.586
50.36,-74.69,11.821
50.36,-74.69,11.804
50.36,-74.69,12.211
50.36,-74.69,12.069
50.36,-74.69,11.677
50.36,-74.69,11.783
50.36,-74.69,11.716
50.36,-74.69,12.253
50.36,-74.69,11.669
50.36,-74.69,11.58
50.36,-74.69,11.8
50.36,-74.69,12.137
50.36,-74.69,11.686
50.36,-74.69,12.001
50.36,-74.69,11.692
50.36,-74.69,11.829
50.36,-74.69,11.972
50.36,-74.69,11.838
50.36,-74.69,11.765
50.36,-74.69,11.859
50.36,-74.69,11.724
50.36,-74.69,11.985
