Latitude,Longitude,TotalPrecipitation (mm)
50.45,-74.43,419.491
50.45,-74.43,455.101
50.45,-74.43,469.522
50.45,-74.43,429.804
50.45,-74.43,491.647
50.45,-74.43,465.518
50.45,-74.43,449.188
50.45,-74.43,439.591
50.45,-74.43,490.954
50.45,-74.43,456.321
50.45,-74.43,464.049
50.45,-74.43,455.681
50.45,-74.43,462.385
50.45,-74.43,489.024
50.45,-74.43,472.815
50.45,-74.43,430.042
50.45,-74.43,455.975
50.45,-74.43,507.456
50.45,-74.43,432.404
50.45,-74.43,439.573
50.45,-74.43,459.591
50.45,-74.43,438.35
50.45,-74.43,425.641
50.45,-74.43,458.947
50.45,-74.43,427.585
50.45,-74.43,455.147
50.45,-74.43,475.724
50.45,-74.43,439.311
50.45,-74.43,411.993
50.45,-74.43,438.99
50.45,-74.43,419.489
50.45,-74.43,455.104
50.45,-74.43,469.52
50.45,-74.43,429.803
50.45,-74.43,491.647
50.45,-74.43,465.517
50.45,-74.43,449.165
50.45,-74.43,439.589
50.45,-74.43,490.953
50.45,-74.43,456.319
50.45,-74.43,464.044
50.45,-74.43,455.679
50.45,-74.43,462.383
50.45,-74.43,489.023
50.45,-74.43,472.813
50.45,-74.43,430.04
50.45,-74.43,455.974
50.45,-74.43,507.455
50.45,-74.43,432.399
50.45,-74.43,439.566
50.45,-74.43,459.589
50.45,-74.43,438.348
50.45,-74.43,425.64
50.45,-74.43,458.945
50.45,-74.43,427.583
50.45,-74.43,455.146
50.45,-74.43,475.723
50.45,-74.43,439.309
50.45,-74.43,411.991
50.45,-74.43,438.989
50.44,-74.43,419.452
50.44,-74.43,455.048
50.44,-74.43,469.468
50.44,-74.43,429.759
50.44,-74.43,491.564
50.44,-74.43,465.443
50.44,-74.43,449.138
50.44,-74.43,439.541
50.44,-74.43,490.894
50.44,-74.43,456.26
50.44,-74.43,463.988
50.44,-74.43,455.622
50.44,-74.43,462.319
50.44,-74.43,488.95
50.44,-74.43,472.757
50.44,-74.43,429.989
50.44,-74.43,455.914
50.44,-74.43,507.38
50.44,-74.43,432.35
50.44,-74.43,439.525
50.44,-74.43,459.527
50.44,-74.43,438.294
50.44,-74.43,425.589
50.44,-74.43,458.893
50.44,-74.43,427.539
50.44,-74.43,455.083
50.44,-74.43,475.661
50.44,-74.43,439.252
50.44,-74.43,411.949
50.44,-74.43,438.926
50.46,-74.43,419.525
50.46,-74.43,455.158
50.46,-74.43,469.572
50.46,-74.43,429.845
50.46,-74.43,491.728
50.46,-74.43,465.589
50.46,-74.43,449.213
50.46,-74.43,439.637
50.46,-74.43,491.011
50.46,-74.43,456.377
50.46,-74.43,464.102
50.46,-74.43,455.735
50.46,-74.43,462.449
50.46,-74.43,489.094
50.46,-74.43,472.868
50.46,-74.43,430.089
50.46,-74.43,456.031
50.46,-74.43,507.528
50.46,-74.43,432.45
50.46,-74.43,439.606
50.46,-74.43,459.651
50.46,-74.43,438.401
50.46,-74.43,425.689
50.46,-74.43,458.995
50.46,-74.43,427.626
50.46,-74.43,455.207
50.46,-74.43,475.783
50.46,-74.43,439.366
50.46,-74.43,412.04
50.46,-74.43,439.05
50.46,-74.42,416.62
50.46,-74.42,453.176
50.46,-74.42,467.461
50.46,-74.42,426.981
50.46,-74.42,491.004
50.46,-74.42,463.959
50.46,-74.42,447.148
50.46,-74.42,436.968
50.46,-74.42,488.971
50.46,-74.42,455.358
50.46,-74.42,461.917
50.46,-74.42,453.329
50.46,-74.42,460.509
50.46,-74.42,487.43
50.46,-74.42,470.937
50.46,-74.42,427.551
50.46,-74.42,453.778
50.46,-74.42,506.081
50.46,-74.42,430.074
50.46,-74.42,436.778
50.46,-74.42,457.502
