Latitude,Longitude,TotalPrecipitation (mm)
50.45,-74.43,135.427
50.45,-74.43,159.205
50.45,-74.43,130.719
50.45,-74.43,141.092
50.45,-74.43,127.683
50.45,-74.43,130.063
50.45,-74.43,128.802
50.45,-74.43,98.634
50.45,-74.43,155.07
50.45,-74.43,145.892
50.45,-74.43,105.214
50.45,-74.43,146.166
50.45,-74.43,131.654
50.45,-74.43,152.44
50.45,-74.43,141.572
50.45,-74.43,116.194
50.45,-74.43,144.186
50.45,-74.43,136.908
50.45,-74.43,162.677
50.45,-74.43,137.013
50.45,-74.43,126.972
50.45,-74.43,157.032
50.45,-74.43,149.123
50.45,-74.43,143.891
50.45,-74.43,164.53
50.45,-74.43,151.17
50.45,-74.43,144.115
50.45,-74.43,164.518
50.45,-74.43,124.884
50.45,-74.43,143.739
50.45,-74.43,135.425
50.45,-74.43,159.202
50.45,-74.43,130.716
50.45,-74.43,141.089
50.45,-74.43,127.681
50.45,-74.43,130.061
50.45,-74.43,128.8
50.45,-74.43,98.632
50.45,-74.43,155.067
50.45,-74.43,145.889
50.45,-74.43,105.213
50.45,-74.43,146.163
50.45,-74.43,131.652
50.45,-74.43,152.437
50.45,-74.43,141.569
50.45,-74.43,116.192
50.45,-74.43,144.183
50.45,-74.43,136.906
50.45,-74.43,162.674
50.45,-74.43,137.01
50.45,-74.43,126.97
50.45,-74.43,157.029
50.45,-74.43,149.12
50.45,-74.43,143.889
50.45,-74.43,164.526
50.45,-74.43,151.167
50.45,-74.43,144.112
50.45,-74.43,164.515
50.45,-74.43,124.881
50.45,-74.43,143.736
50.44,-74.43,135.477
50.44,-74.43,159.289
50.44,-74.43,130.751
50.44,-74.43,141.153
50.44,-74.43,127.717
50.44,-74.43,130.099
50.44,-74.43,128.832
50.44,-74.43,98.629
50.44,-74.43,155.144
50.44,-74.43,145.952
50.44,-74.43,105.221
50.44,-74.43,146.228
50.44,-74.43,131.689
50.44,-74.43,152.512
50.44,-74.43,141.626
50.44,-74.43,116.21
50.44,-74.43,144.239
50.44,-74.43,136.959
50.44,-74.43,162.763
50.44,-74.43,137.06
50.44,-74.43,127.001
50.44,-74.43,157.115
50.44,-74.43,149.2
50.44,-74.43,143.953
50.44,-74.43,164.623
50.44,-74.43,151.245
50.44,-74.43,144.179
50.44,-74.43,164.611
50.44,-74.43,124.91
50.44,-74.43,143.797
50.46,-74.43,135.372
50.46,-74.43,159.115
50.46,-74.43,130.682
50.46,-74.43,141.026
50.46,-74.43,127.645
50.46,-74.43,130.022
50.46,-74.43,128.768
50.46,-74.43,98.636
50.46,-74.43,154.991
50.46,-74.43,145.826
50.46,-74.43,105.204
50.46,-74.43,146.098
50.46,-74.43,131.615
50.46,-74.43,152.362
50.46,-74.43,141.513
50.46,-74.43,116.173
50.46,-74.43,144.127
50.46,-74.43,136.853
50.46,-74.43,162.585
50.46,-74.43,136.961
50.46,-74.43,126.939
50.46,-74.43,156.943
50.46,-74.43,149.041
50.46,-74.43,143.824
50.46,-74.43,164.43
50.46,-74.43,151.089
50.46,-74.43,144.046
50.46,-74.43,164.419
50.46,-74.43,124.853
50.46,-74.43,143.676
50.46,-74.42,134.167
50.46,-74.42,158.617
50.46,-74.42,128.909
50.46,-74.42,140.083
50.46,-74.42,125.992
50.46,-74.42,128.41
50.46,-74.42,126.947
50.46,-74.42,96.213
50.46,-74.42,154.195
50.46,-74.42,144.766
50.46,-74.42,103.08
50.46,-74.42,145.083
50.46,-74.42,129.919
50.46,-74.42,151.571
50.46,-74.42,140.295
50.46,-74.42,114.146
50.46,-74.42,142.839
50.46,-74.42,135.615
50.46,-74.42,162.096
50.46,-74.42,135.612
50.46,-74.42,125.111
50.46,-74.42,156.46
50.46,-74.42,148.515
50.46,-74.42,142.857
50.46,-74.42,164.176
50.46,-74.42,150.459
50.46,-74.42,143.153
