Latitude,Longitude,TMax 
50.45,-74.43,-2.95
50.45,-74.43,-1.399
50.45,-74.43,-3.235
50.45,-74.43,-2.881
50.45,-74.43,-3.277
50.45,-74.43,-1.584
50.45,-74.43,-3.534
50.45,-74.43,-2.64
50.45,-74.43,-3.391
50.45,-74.43,-3.569
50.45,-74.43,-3.589
50.45,-74.43,-1.913
50.45,-74.43,-2.846
50.45,-74.43,-2.877
50.45,-74.43,-2.449
50.45,-74.43,-1.786
50.45,-74.43,-2.962
50.45,-74.43,-2.836
50.45,-74.43,-2.28
50.45,-74.43,-2.632
50.45,-74.43,-1.391
50.45,-74.43,-3.094
50.45,-74.43,-4.024
50.45,-74.43,-1.625
50.45,-74.43,-3.968
50.45,-74.43,-3.136
50.45,-74.43,-2.311
50.45,-74.43,-3.528
50.45,-74.43,-2.295
50.45,-74.43,-3.09
50.45,-74.43,-2.914
50.45,-74.43,-1.362
50.45,-74.43,-3.198
50.45,-74.43,-2.844
50.45,-74.43,-3.239
50.45,-74.43,-1.547
50.45,-74.43,-3.497
50.45,-74.43,-2.603
50.45,-74.43,-3.354
50.45,-74.43,-3.532
50.45,-74.43,-3.553
50.45,-74.43,-1.876
50.45,-74.43,-2.81
50.45,-74.43,-2.84
50.45,-74.43,-2.412
50.45,-74.43,-1.749
50.45,-74.43,-2.925
50.45,-74.43,-2.799
50.45,-74.43,-2.242
50.45,-74.43,-2.595
50.45,-74.43,-1.354
50.45,-74.43,-3.057
50.45,-74.43,-3.987
50.45,-74.43,-1.588
50.45,-74.43,-3.931
50.45,-74.43,-3.099
50.45,-74.43,-2.275
50.45,-74.43,-3.491
50.45,-74.43,-2.258
50.45,-74.43,-3.053
50.44,-74.43,-2.91
50.44,-74.43,-1.359
50.44,-74.43,-3.194
50.44,-74.43,-2.84
50.44,-74.43,-3.235
50.44,-74.43,-1.543
50.44,-74.43,-3.493
50.44,-74.43,-2.599
50.44,-74.43,-3.351
50.44,-74.43,-3.528
50.44,-74.43,-3.549
50.44,-74.43,-1.872
50.44,-74.43,-2.806
50.44,-74.43,-2.837
50.44,-74.43,-2.408
50.44,-74.43,-1.745
50.44,-74.43,-2.921
50.44,-74.43,-2.795
50.44,-74.43,-2.238
50.44,-74.43,-2.591
50.44,-74.43,-1.35
50.44,-74.43,-3.054
50.44,-74.43,-3.983
50.44,-74.43,-1.584
50.44,-74.43,-3.927
50.44,-74.43,-3.096
50.44,-74.43,-2.271
50.44,-74.43,-3.488
50.44,-74.43,-2.254
50.44,-74.43,-3.05
50.46,-74.43,-2.917
50.46,-74.43,-1.366
50.46,-74.43,-3.202
50.46,-74.43,-2.848
50.46,-74.43,-3.244
50.46,-74.43,-1.551
50.46,-74.43,-3.5
50.46,-74.43,-2.607
50.46,-74.43,-3.358
50.46,-74.43,-3.536
50.46,-74.43,-3.556
