Latitude,Longitude,Tmin
50.45,-74.43,14.132
50.45,-74.43,14.374
50.45,-74.43,14.045
50.45,-74.43,14.005
50.45,-74.43,14.214
50.45,-74.43,13.948
50.45,-74.43,14.192
50.45,-74.43,13.645
50.45,-74.43,14.035
50.45,-74.43,13.374
50.45,-74.43,13.966
50.45,-74.43,13.827
50.45,-74.43,14.572
50.45,-74.43,14.703
50.45,-74.43,14.192
50.45,-74.43,14.37
50.45,-74.43,14.538
50.45,-74.43,13.877
50.45,-74.43,14.461
50.45,-74.43,13.775
50.45,-74.43,14.882
50.45,-74.43,14.66
50.45,-74.43,14.596
50.45,-74.43,15.021
50.45,-74.43,14.309
50.45,-74.43,14.28
50.45,-74.43,14.359
50.45,-74.43,14.33
50.45,-74.43,14.087
50.45,-74.43,14.115
50.45,-74.43,14.147
50.45,-74.43,14.389
50.45,-74.43,14.059
50.45,-74.43,14.02
50.45,-74.43,14.229
50.45,-74.43,13.963
50.45,-74.43,14.207
50.45,-74.43,13.659
50.45,-74.43,14.049
50.45,-74.43,13.389
50.45,-74.43,13.981
50.45,-74.43,13.841
50.45,-74.43,14.587
50.45,-74.43,14.717
50.45,-74.43,14.206
50.45,-74.43,14.385
50.45,-74.43,14.553
50.45,-74.43,13.892
50.45,-74.43,14.475
50.45,-74.43,13.79
50.45,-74.43,14.897
50.45,-74.43,14.675
50.45,-74.43,14.61
50.45,-74.43,15.035
50.45,-74.43,14.324
50.45,-74.43,14.295
50.45,-74.43,14.374
50.45,-74.43,14.345
50.45,-74.43,14.102
50.45,-74.43,14.13
50.44,-74.43,14.162
50.44,-74.43,14.404
50.44,-74.43,14.075
50.44,-74.43,14.035
50.44,-74.43,14.244
50.44,-74.43,13.978
50.44,-74.43,14.222
50.44,-74.43,13.675
50.44,-74.43,14.065
50.44,-74.43,13.404
50.44,-74.43,13.996
50.44,-74.43,13.857
50.44,-74.43,14.602
50.44,-74.43,14.732
50.44,-74.43,14.221
50.44,-74.43,14.4
50.44,-74.43,14.568
50.44,-74.43,13.907
50.44,-74.43,14.491
50.44,-74.43,13.806
50.44,-74.43,14.912
50.44,-74.43,14.69
50.44,-74.43,14.625
50.44,-74.43,15.05
50.44,-74.43,14.339
50.44,-74.43,14.31
50.44,-74.43,14.389
50.44,-74.43,14.36
50.44,-74.43,14.117
50.44,-74.43,14.145
50.46,-74.43,14.132
50.46,-74.43,14.374
50.46,-74.43,14.044
50.46,-74.43,14.004
50.46,-74.43,14.214
50.46,-74.43,13.947
50.46,-74.43,14.192
50.46,-74.43,13.644
50.46,-74.43,14.034
50.46,-74.43,13.373
50.46,-74.43,13.966
50.46,-74.43,13.826
50.46,-74.43,14.572
50.46,-74.43,14.703
50.46,-74.43,14.191
50.46,-74.43,14.37
50.46,-74.43,14.538
50.46,-74.43,13.876
50.46,-74.43,14.46
50.46,-74.43,13.775
50.46,-74.43,14.882
50.46,-74.43,14.66
50.46,-74.43,14.595
50.46,-74.43,15.021
50.46,-74.43,14.309
50.46,-74.43,14.28
50.46,-74.43,14.359
50.46,-74.43,14.33
50.46,-74.43,14.087
50.46,-74.43,14.114
50.46,-74.42,14.115
50.46,-74.42,14.357
50.46,-74.42,14.028
50.46,-74.42,13.988
50.46,-74.42,14.197
50.46,-74.42,13.931
50.46,-74.42,14.175
50.46,-74.42,13.627
50.46,-74.42,14.018
50.46,-74.42,13.357
50.46,-74.42,13.949
50.46,-74.42,13.81
50.46,-74.42,14.556
50.46,-74.42,14.686
50.46,-74.42,14.175
50.46,-74.42,14.353
50.46,-74.42,14.522
50.46,-74.42,13.86
50.46,-74.42,14.444
50.46,-74.42,13.758
50.46,-74.42,14.866
50.46,-74.42,14.644
50.46,-74.42,14.579
50.46,-74.42,15.004
50.46,-74.42,14.293
50.46,-74.42,14.263
50.46,-74.42,14.342
50.46,-74.42,14.313
50.46,-74.42,14.07
50.46,-74.42,14.098
50.45,-74.42,14.138
50.45,-74.42,14.38
50.45,-74.42,14.05
50.45,-74.42,14.011
50.45,-74.42,14.22
50.45,-74.42,13.954
50.45,-74.42,14.198
50.45,-74.42,13.65
50.45,-74.42,14.04
50.45,-74.42,13.38
50.45,-74.42,13.972
50.45,-74.42,13.832
50.45,-74.42,14.578
50.45,-74.42,14.708
50.45,-74.42,14.197
50.45,-74.42,14.376
50.45,-74.42,14.544
50.45,-74.42,13.883
50.45,-74.42,14.466
50.45,-74.42,13.781
50.45,-74.42,14.888
50.45,-74.42,14.666
50.45,-74.42,14.601
50.45,-74.42,15.026
50.45,-74.42,14.315
50.45,-74.42,14.286
50.45,-74.42,14.365
50.45,-74.42,14.336
50.45,-74.42,14.093
50.45,-74.42,14.12
50.35,-74.68,14.462
50.35,-74.68,14.695
50.35,-74.68,14.403
50.35,-74.68,14.356
50.35,-74.68,14.557
50.35,-74.68,14.307
50.35,-74.68,14.538
50.35,-74.68,14.019
50.35,-74.68,14.39
50.35,-74.68,13.776
50.35,-74.68,14.316
50.35,-74.68,14.199
50.35,-74.68,14.909
50.35,-74.68,15.017
50.35,-74.68,14.54
50.35,-74.68,14.702
50.35,-74.68,14.868
50.35,-74.68,14.234
50.35,-74.68,14.797
50.35,-74.68,14.142
50.35,-74.68,15.206
50.35,-74.68,14.985
50.35,-74.68,14.909
50.35,-74.68,15.326
50.35,-74.68,14.65
50.35,-74.68,14.634
50.35,-74.68,14.691
50.35,-74.68,14.673
50.35,-74.68,14.446
50.35,-74.68,14.464
50.36,-74.69,14.449
50.36,-74.69,14.681
50.36,-74.69,14.39
50.36,-74.69,14.342
50.36,-74.69,14.544
50.36,-74.69,14.294
50.36,-74.69,14.525
50.36,-74.69,14.005
50.36,-74.69,14.377
50.36,-74.69,13.762
50.36,-74.69,14.303
50.36,-74.69,14.186
50.36,-74.69,14.896
50.36,-74.69,15.003
50.36,-74.69,14.526
50.36,-74.69,14.689
50.36,-74.69,14.855
50.36,-74.69,14.22
50.36,-74.69,14.783
50.36,-74.69,14.129
50.36,-74.69,15.193
50.36,-74.69,14.972
50.36,-74.69,14.896
50.36,-74.69,15.313
50.36,-74.69,14.637
50.36,-74.69,14.62
50.36,-74.69,14.677
50.36,-74.69,14.659
50.36,-74.69,14.433
50.36,-74.69,14.45
50.36,-74.69,14.465
50.36,-74.69,14.697
50.36,-74.69,14.406
50.36,-74.69,14.358
50.36,-74.69,14.56
50.36,-74.69,14.31
50.36,-74.69,14.541
50.36,-74.69,14.021
50.36,-74.69,14.393
50.36,-74.69,13.778
50.36,-74.69,14.319
50.36,-74.69,14.202
50.36,-74.69,14.912
50.36,-74.69,15.019
50.36,-74.69,14.542
50.36,-74.69,14.705
50.36,-74.69,14.871
50.36,-74.69,14.236
50.36,-74.69,14.799
50.36,-74.69,14.145
50.36,-74.69,15.209
50.36,-74.69,14.988
50.36,-74.69,14.912
50.36,-74.69,15.329
50.36,-74.69,14.653
50.36,-74.69,14.636
50.36,-74.69,14.693
50.36,-74.69,14.676
50.36,-74.69,14.449
50.36,-74.69,14.467
50.36,-74.69,14.605
50.36,-74.69,14.839
50.36,-74.69,14.547
50.36,-74.69,14.498
50.36,-74.69,14.7
50.36,-74.69,14.45
50.36,-74.69,14.681
50.36,-74.69,14.161
50.36,-74.69,14.533
50.36,-74.69,13.918
50.36,-74.69,14.459
50.36,-74.69,14.344
50.36,-74.69,15.055
50.36,-74.69,15.16
50.36,-74.69,14.682
50.36,-74.69,14.845
50.36,-74.69,15.011
50.36,-74.69,14.376
50.36,-74.69,14.94
50.36,-74.69,14.286
50.36,-74.69,15.349
50.36,-74.69,15.128
50.36,-74.69,15.054
50.36,-74.69,15.471
50.36,-74.69,14.793
50.36,-74.69,14.776
50.36,-74.69,14.833
50.36,-74.69,14.816
50.36,-74.69,14.589
50.36,-74.69,14.608
50.35,-74.67,14.461
50.35,-74.67,14.694
50.35,-74.67,14.402
50.35,-74.67,14.355
50.35,-74.67,14.556
50.35,-74.67,14.306
50.35,-74.67,14.537
50.35,-74.67,14.018
50.35,-74.67,14.389
50.35,-74.67,13.775
50.35,-74.67,14.315
50.35,-74.67,14.198
50.35,-74.67,14.908
50.35,-74.67,15.016
50.35,-74.67,14.539
50.35,-74.67,14.701
50.35,-74.67,14.867
50.35,-74.67,14.233
50.35,-74.67,14.796
50.35,-74.67,14.141
50.35,-74.67,15.205
50.35,-74.67,14.984
50.35,-74.67,14.908
50.35,-74.67,15.325
50.35,-74.67,14.649
50.35,-74.67,14.632
50.35,-74.67,14.69
50.35,-74.67,14.672
50.35,-74.67,14.445
50.35,-74.67,14.463
50.35,-74.67,14.46
50.35,-74.67,14.692
50.35,-74.67,14.401
50.35,-74.67,14.353
50.35,-74.67,14.555
50.35,-74.67,14.305
50.35,-74.67,14.536
50.35,-74.67,14.016
50.35,-74.67,14.388
50.35,-74.67,13.773
50.35,-74.67,14.314
50.35,-74.67,14.197
50.35,-74.67,14.907
50.35,-74.67,15.014
50.35,-74.67,14.537
50.35,-74.67,14.7
50.35,-74.67,14.866
50.35,-74.67,14.231
50.35,-74.67,14.794
50.35,-74.67,14.14
50.35,-74.67,15.204
50.35,-74.67,14.982
50.35,-74.67,14.907
50.35,-74.67,15.323
50.35,-74.67,14.648
50.35,-74.67,14.631
50.35,-74.67,14.688
50.35,-74.67,14.67
50.35,-74.67,14.444
50.35,-74.67,14.461
50.34,-74.67,14.484
50.34,-74.67,14.716
50.34,-74.67,14.425
50.34,-74.67,14.377
50.34,-74.67,14.579
50.34,-74.67,14.329
50.34,-74.67,14.56
50.34,-74.67,14.041
50.34,-74.67,14.412
50.34,-74.67,13.797
50.34,-74.67,14.338
50.34,-74.67,14.221
50.34,-74.67,14.931
50.34,-74.67,15.038
50.34,-74.67,14.561
50.34,-74.67,14.724
50.34,-74.67,14.89
50.34,-74.67,14.255
50.34,-74.67,14.818
50.34,-74.67,14.164
50.34,-74.67,15.227
50.34,-74.67,15.006
50.34,-74.67,14.931
50.34,-74.67,15.347
50.34,-74.67,14.672
50.34,-74.67,14.655
50.34,-74.67,14.712
50.34,-74.67,14.694
50.34,-74.67,14.468
50.34,-74.67,14.485
50.34,-74.67,14.492
50.34,-74.67,14.724
50.34,-74.67,14.433
50.34,-74.67,14.385
50.34,-74.67,14.587
50.34,-74.67,14.337
50.34,-74.67,14.568
50.34,-74.67,14.049
50.34,-74.67,14.42
50.34,-74.67,13.805
50.34,-74.67,14.346
50.34,-74.67,14.229
50.34,-74.67,14.939
50.34,-74.67,15.046
50.34,-74.67,14.569
50.34,-74.67,14.732
50.34,-74.67,14.898
50.34,-74.67,14.263
50.34,-74.67,14.826
50.34,-74.67,14.172
50.34,-74.67,15.235
50.34,-74.67,15.014
50.34,-74.67,14.939
50.34,-74.67,15.355
50.34,-74.67,14.68
50.34,-74.67,14.663
50.34,-74.67,14.72
50.34,-74.67,14.702
50.34,-74.67,14.476
50.34,-74.67,14.493
50.34,-74.67,14.5
50.34,-74.67,14.732
50.34,-74.67,14.441
50.34,-74.67,14.393
50.34,-74.67,14.595
50.34,-74.67,14.345
50.34,-74.67,14.576
50.34,-74.67,14.057
50.34,-74.67,14.428
50.34,-74.67,13.813
50.34,-74.67,14.354
50.34,-74.67,14.237
50.34,-74.67,14.947
50.34,-74.67,15.054
50.34,-74.67,14.577
50.34,-74.67,14.74
50.34,-74.67,14.906
50.34,-74.67,14.271
50.34,-74.67,14.834
50.34,-74.67,14.18
50.34,-74.67,15.243
50.34,-74.67,15.022
50.34,-74.67,14.947
50.34,-74.67,15.363
50.34,-74.67,14.688
50.34,-74.67,14.671
50.34,-74.67,14.728
50.34,-74.67,14.71
50.34,-74.67,14.484
50.34,-74.67,14.501
50.32,-74.59,14.522
50.32,-74.59,14.762
50.32,-74.59,14.435
50.32,-74.59,14.395
50.32,-74.59,14.603
50.32,-74.59,14.338
50.32,-74.59,14.581
50.32,-74.59,14.037
50.32,-74.59,14.424
50.32,-74.59,13.769
50.32,-74.59,14.357
50.32,-74.59,14.218
50.32,-74.59,14.958
50.32,-74.59,15.088
50.32,-74.59,14.58
50.32,-74.59,14.758
50.32,-74.59,14.925
50.32,-74.59,14.268
50.32,-74.59,14.848
50.32,-74.59,14.167
50.32,-74.59,15.266
50.32,-74.59,15.046
50.32,-74.59,14.982
50.32,-74.59,15.404
50.32,-74.59,14.697
50.32,-74.59,14.668
50.32,-74.59,14.747
50.32,-74.59,14.718
50.32,-74.59,14.476
50.32,-74.59,14.503
50.32,-74.6,14.483
50.32,-74.6,14.723
50.32,-74.6,14.396
50.32,-74.6,14.356
50.32,-74.6,14.564
50.32,-74.6,14.3
50.32,-74.6,14.542
50.32,-74.6,13.999
50.32,-74.6,14.386
50.32,-74.6,13.73
50.32,-74.6,14.318
50.32,-74.6,14.179
50.32,-74.6,14.919
50.32,-74.6,15.05
50.32,-74.6,14.542
50.32,-74.6,14.719
50.32,-74.6,14.886
50.32,-74.6,14.229
50.32,-74.6,14.809
50.32,-74.6,14.128
50.32,-74.6,15.227
50.32,-74.6,15.007
50.32,-74.6,14.943
50.32,-74.6,15.365
50.32,-74.6,14.659
50.32,-74.6,14.629
50.32,-74.6,14.708
50.32,-74.6,14.679
50.32,-74.6,14.438
50.32,-74.6,14.464
50.31,-74.6,14.489
50.31,-74.6,14.729
50.31,-74.6,14.402
50.31,-74.6,14.363
50.31,-74.6,14.57
50.31,-74.6,14.306
50.31,-74.6,14.548
50.31,-74.6,14.005
50.31,-74.6,14.392
50.31,-74.6,13.737
50.31,-74.6,14.325
50.31,-74.6,14.185
50.31,-74.6,14.925
50.31,-74.6,15.055
50.31,-74.6,14.548
50.31,-74.6,14.725
50.31,-74.6,14.892
50.31,-74.6,14.236
50.31,-74.6,14.815
50.31,-74.6,14.134
50.31,-74.6,15.233
50.31,-74.6,15.013
50.31,-74.6,14.948
50.31,-74.6,15.37
50.31,-74.6,14.665
50.31,-74.6,14.635
50.31,-74.6,14.714
50.31,-74.6,14.685
50.31,-74.6,14.444
50.31,-74.6,14.47
50.31,-74.61,14.523
50.31,-74.61,14.763
50.31,-74.61,14.436
50.31,-74.61,14.396
50.31,-74.61,14.604
50.31,-74.61,14.34
50.31,-74.61,14.582
50.31,-74.61,14.039
50.31,-74.61,14.426
50.31,-74.61,13.77
50.31,-74.61,14.358
50.31,-74.61,14.219
50.31,-74.61,14.959
50.31,-74.61,15.089
50.31,-74.61,14.582
50.31,-74.61,14.759
50.31,-74.61,14.926
50.31,-74.61,14.269
50.31,-74.61,14.849
50.31,-74.61,14.168
50.31,-74.61,15.267
50.31,-74.61,15.047
50.31,-74.61,14.983
50.31,-74.61,15.404
50.31,-74.61,14.699
50.31,-74.61,14.669
50.31,-74.61,14.748
50.31,-74.61,14.719
50.31,-74.61,14.478
50.31,-74.61,14.504
50.36,-74.46,14.335
50.36,-74.46,14.576
50.36,-74.46,14.248
50.36,-74.46,14.208
50.36,-74.46,14.416
50.36,-74.46,14.151
50.36,-74.46,14.394
50.36,-74.46,13.849
50.36,-74.46,14.238
50.36,-74.46,13.58
50.36,-74.46,14.17
50.36,-74.46,14.031
50.36,-74.46,14.775
50.36,-74.46,14.903
50.36,-74.46,14.394
50.36,-74.46,14.572
50.36,-74.46,14.739
50.36,-74.46,14.081
50.36,-74.46,14.662
50.36,-74.46,13.98
50.36,-74.46,15.082
50.36,-74.46,14.861
50.36,-74.46,14.797
50.36,-74.46,15.22
50.36,-74.46,14.511
50.36,-74.46,14.482
50.36,-74.46,14.561
50.36,-74.46,14.532
50.36,-74.46,14.29
50.36,-74.46,14.317
50.36,-74.46,14.328
50.36,-74.46,14.569
50.36,-74.46,14.241
50.36,-74.46,14.201
50.36,-74.46,14.409
50.36,-74.46,14.144
50.36,-74.46,14.387
50.36,-74.46,13.842
50.36,-74.46,14.23
50.36,-74.46,13.573
50.36,-74.46,14.162
50.36,-74.46,14.024
50.36,-74.46,14.768
50.36,-74.46,14.896
50.36,-74.46,14.387
50.36,-74.46,14.565
50.36,-74.46,14.732
50.36,-74.46,14.073
50.36,-74.46,14.655
50.36,-74.46,13.973
50.36,-74.46,15.075
50.36,-74.46,14.854
50.36,-74.46,14.79
50.36,-74.46,15.213
50.36,-74.46,14.504
50.36,-74.46,14.475
50.36,-74.46,14.554
50.36,-74.46,14.525
50.36,-74.46,14.283
50.36,-74.46,14.31
50.36,-74.46,14.32
50.36,-74.46,14.562
50.36,-74.46,14.234
50.36,-74.46,14.194
50.36,-74.46,14.402
50.36,-74.46,14.137
50.36,-74.46,14.38
50.36,-74.46,13.835
50.36,-74.46,14.223
50.36,-74.46,13.565
50.36,-74.46,14.155
50.36,-74.46,14.017
50.36,-74.46,14.76
50.36,-74.46,14.889
50.36,-74.46,14.379
50.36,-74.46,14.557
50.36,-74.46,14.725
50.36,-74.46,14.066
50.36,-74.46,14.648
50.36,-74.46,13.966
50.36,-74.46,15.067
50.36,-74.46,14.846
50.36,-74.46,14.782
50.36,-74.46,15.206
50.36,-74.46,14.497
50.36,-74.46,14.468
50.36,-74.46,14.546
50.36,-74.46,14.518
50.36,-74.46,14.276
50.36,-74.46,14.303
50.35,-74.46,14.314
50.35,-74.46,14.555
50.35,-74.46,14.227
50.35,-74.46,14.188
50.35,-74.46,14.396
50.35,-74.46,14.131
50.35,-74.46,14.374
50.35,-74.46,13.829
50.35,-74.46,14.217
50.35,-74.46,13.56
50.35,-74.46,14.149
50.35,-74.46,14.011
50.35,-74.46,14.753
50.35,-74.46,14.882
50.35,-74.46,14.373
50.35,-74.46,14.551
50.35,-74.46,14.719
50.35,-74.46,14.06
50.35,-74.46,14.642
50.35,-74.46,13.959
50.35,-74.46,15.061
50.35,-74.46,14.84
50.35,-74.46,14.776
50.35,-74.46,15.199
50.35,-74.46,14.491
50.35,-74.46,14.462
50.35,-74.46,14.54
50.35,-74.46,14.511
50.35,-74.46,14.27
50.35,-74.46,14.297
50.35,-74.46,14.307
50.35,-74.46,14.548
50.35,-74.46,14.22
50.35,-74.46,14.18
50.35,-74.46,14.389
50.35,-74.46,14.124
50.35,-74.46,14.367
50.35,-74.46,13.822
50.35,-74.46,14.21
50.35,-74.46,13.552
50.35,-74.46,14.142
50.35,-74.46,14.003
50.35,-74.46,14.746
50.35,-74.46,14.875
50.35,-74.46,14.366
50.35,-74.46,14.544
50.35,-74.46,14.711
50.35,-74.46,14.053
50.35,-74.46,14.634
50.35,-74.46,13.952
50.35,-74.46,15.054
50.35,-74.46,14.833
50.35,-74.46,14.768
50.35,-74.46,15.192
50.35,-74.46,14.483
50.35,-74.46,14.454
50.35,-74.46,14.533
50.35,-74.46,14.504
50.35,-74.46,14.262
50.35,-74.46,14.289
50.24,-75.33,14.789
50.24,-75.33,15.022
50.24,-75.33,14.729
50.24,-75.33,14.681
50.24,-75.33,14.884
50.24,-75.33,14.632
50.24,-75.33,14.865
50.24,-75.33,14.342
50.24,-75.33,14.716
50.24,-75.33,14.097
50.24,-75.33,14.642
50.24,-75.33,14.522
50.24,-75.33,15.238
50.24,-75.33,15.347
50.24,-75.33,14.867
50.24,-75.33,15.031
50.24,-75.33,15.198
50.24,-75.33,14.558
50.24,-75.33,15.126
50.24,-75.33,14.466
50.24,-75.33,15.538
50.24,-75.33,15.315
50.24,-75.33,15.238
50.24,-75.33,15.658
50.24,-75.33,14.978
50.24,-75.33,14.961
50.24,-75.33,15.018
50.24,-75.33,15.001
50.24,-75.33,14.772
50.24,-75.33,14.788
50.23,-75.33,14.799
50.23,-75.33,15.032
50.23,-75.33,14.739
50.23,-75.33,14.692
50.23,-75.33,14.895
50.23,-75.33,14.643
50.23,-75.33,14.875
50.23,-75.33,14.353
50.23,-75.33,14.726
50.23,-75.33,14.107
50.23,-75.33,14.652
50.23,-75.33,14.533
50.23,-75.33,15.248
50.23,-75.33,15.357
50.23,-75.33,14.877
50.23,-75.33,15.041
50.23,-75.33,15.208
50.23,-75.33,14.569
50.23,-75.33,15.136
50.23,-75.33,14.476
50.23,-75.33,15.548
50.23,-75.33,15.325
50.23,-75.33,15.249
50.23,-75.33,15.668
50.23,-75.33,14.988
50.23,-75.33,14.971
50.23,-75.33,15.029
50.23,-75.33,15.011
50.23,-75.33,14.783
50.23,-75.33,14.799
50.23,-75.33,14.799
50.23,-75.33,15.032
50.23,-75.33,14.739
50.23,-75.33,14.692
50.23,-75.33,14.895
50.23,-75.33,14.643
50.23,-75.33,14.875
50.23,-75.33,14.353
50.23,-75.33,14.726
50.23,-75.33,14.107
50.23,-75.33,14.652
50.23,-75.33,14.533
50.23,-75.33,15.248
50.23,-75.33,15.357
50.23,-75.33,14.877
50.23,-75.33,15.041
50.23,-75.33,15.208
50.23,-75.33,14.569
50.23,-75.33,15.136
50.23,-75.33,14.476
50.23,-75.33,15.548
50.23,-75.33,15.325
50.23,-75.33,15.249
50.23,-75.33,15.668
50.23,-75.33,14.988
50.23,-75.33,14.971
50.23,-75.33,15.029
50.23,-75.33,15.011
50.23,-75.33,14.783
50.23,-75.33,14.799
50.23,-75.33,14.79
50.23,-75.33,15.023
50.23,-75.33,14.73
50.23,-75.33,14.683
50.23,-75.33,14.885
50.23,-75.33,14.633
50.23,-75.33,14.866
50.23,-75.33,14.343
50.23,-75.33,14.717
50.23,-75.33,14.098
50.23,-75.33,14.643
50.23,-75.33,14.523
50.23,-75.33,15.239
50.23,-75.33,15.348
50.23,-75.33,14.868
50.23,-75.33,15.032
50.23,-75.33,15.199
50.23,-75.33,14.56
50.23,-75.33,15.127
50.23,-75.33,14.467
50.23,-75.33,15.539
50.23,-75.33,15.316
50.23,-75.33,15.239
50.23,-75.33,15.659
50.23,-75.33,14.979
50.23,-75.33,14.962
50.23,-75.33,15.02
50.23,-75.33,15.002
50.23,-75.33,14.773
50.23,-75.33,14.79
50.17,-75.35,14.845
50.17,-75.35,15.078
50.17,-75.35,14.785
50.17,-75.35,14.737
50.17,-75.35,14.94
50.17,-75.35,14.688
50.17,-75.35,14.921
50.17,-75.35,14.399
50.17,-75.35,14.772
50.17,-75.35,14.154
50.17,-75.35,14.698
50.17,-75.35,14.578
50.17,-75.35,15.293
50.17,-75.35,15.403
50.17,-75.35,14.923
50.17,-75.35,15.086
50.17,-75.35,15.254
50.17,-75.35,14.615
50.17,-75.35,15.181
50.17,-75.35,14.522
50.17,-75.35,15.593
50.17,-75.35,15.37
50.17,-75.35,15.294
50.17,-75.35,15.713
50.17,-75.35,15.034
50.17,-75.35,15.017
50.17,-75.35,15.074
50.17,-75.35,15.057
50.17,-75.35,14.828
50.17,-75.35,14.844
50.17,-75.34,14.808
50.17,-75.34,15.041
50.17,-75.34,14.747
50.17,-75.34,14.7
50.17,-75.34,14.903
50.17,-75.34,14.651
50.17,-75.34,14.884
50.17,-75.34,14.361
50.17,-75.34,14.735
50.17,-75.34,14.116
50.17,-75.34,14.661
50.17,-75.34,14.541
50.17,-75.34,15.256
50.17,-75.34,15.365
50.17,-75.34,14.885
50.17,-75.34,15.049
50.17,-75.34,15.216
50.17,-75.34,14.577
50.17,-75.34,15.144
50.17,-75.34,14.485
50.17,-75.34,15.556
50.17,-75.34,15.333
50.17,-75.34,15.256
50.17,-75.34,15.676
50.17,-75.34,14.997
50.17,-75.34,14.979
50.17,-75.34,15.037
50.17,-75.34,15.019
50.17,-75.34,14.791
50.17,-75.34,14.807
50.17,-75.14,14.869
50.17,-75.14,15.102
50.17,-75.14,14.809
50.17,-75.14,14.762
50.17,-75.14,14.965
50.17,-75.14,14.714
50.17,-75.14,14.946
50.17,-75.14,14.424
50.17,-75.14,14.797
50.17,-75.14,14.18
50.17,-75.14,14.723
50.17,-75.14,14.604
50.17,-75.14,15.317
50.17,-75.14,15.426
50.17,-75.14,14.947
50.17,-75.14,15.11
50.17,-75.14,15.277
50.17,-75.14,14.64
50.17,-75.14,15.205
50.17,-75.14,14.547
50.17,-75.14,15.616
50.17,-75.14,15.393
50.17,-75.14,15.317
50.17,-75.14,15.736
50.17,-75.14,15.058
50.17,-75.14,15.041
50.17,-75.14,15.098
50.17,-75.14,15.081
50.17,-75.14,14.853
50.17,-75.14,14.869
50.18,-74.99,14.884
50.18,-74.99,15.116
50.18,-74.99,14.825
50.18,-74.99,14.778
50.18,-74.99,14.979
50.18,-74.99,14.729
50.18,-74.99,14.96
50.18,-74.99,14.441
50.18,-74.99,14.812
50.18,-74.99,14.197
50.18,-74.99,14.738
50.18,-74.99,14.62
50.18,-74.99,15.331
50.18,-74.99,15.439
50.18,-74.99,14.962
50.18,-74.99,15.125
50.18,-74.99,15.291
50.18,-74.99,14.656
50.18,-74.99,15.219
50.18,-74.99,14.564
50.18,-74.99,15.629
50.18,-74.99,15.407
50.18,-74.99,15.331
50.18,-74.99,15.748
50.18,-74.99,15.073
50.18,-74.99,15.056
50.18,-74.99,15.113
50.18,-74.99,15.095
50.18,-74.99,14.868
50.18,-74.99,14.884
50.13,-74.95,14.956
50.13,-74.95,15.188
50.13,-74.95,14.897
50.13,-74.95,14.849
50.13,-74.95,15.051
50.13,-74.95,14.801
50.13,-74.95,15.032
50.13,-74.95,14.513
50.13,-74.95,14.884
50.13,-74.95,14.27
50.13,-74.95,14.81
50.13,-74.95,14.692
50.13,-74.95,15.402
50.13,-74.95,15.51
50.13,-74.95,15.033
50.13,-74.95,15.196
50.13,-74.95,15.362
50.13,-74.95,14.727
50.13,-74.95,15.29
50.13,-74.95,14.636
50.13,-74.95,15.699
50.13,-74.95,15.477
50.13,-74.95,15.402
50.13,-74.95,15.818
50.13,-74.95,15.144
50.13,-74.95,15.127
50.13,-74.95,15.184
50.13,-74.95,15.166
50.13,-74.95,14.94
50.13,-74.95,14.956
50.14,-74.96,14.961
50.14,-74.96,15.193
50.14,-74.96,14.901
