Latitude,Longitude,TMin 
50.45,-74.43,13.855
50.45,-74.43,13.673
50.45,-74.43,13.347
50.45,-74.43,13.488
50.45,-74.43,13.566
50.45,-74.43,13.186
50.45,-74.43,13.72
50.45,-74.43,13.53
50.45,-74.43,13.96
50.45,-74.43,13.723
50.45,-74.43,13.529
50.45,-74.43,13.394
50.45,-74.43,13.639
50.45,-74.43,13.861
50.45,-74.43,13.832
50.45,-74.43,13.461
50.45,-74.43,13.802
50.45,-74.43,13.488
50.45,-74.43,14.128
50.45,-74.43,13.496
50.45,-74.43,13.997
50.45,-74.43,13.934
50.45,-74.43,13.837
50.45,-74.43,13.903
50.45,-74.43,13.685
50.45,-74.43,13.636
50.45,-74.43,13.586
50.45,-74.43,13.427
50.45,-74.43,13.625
50.45,-74.43,13.623
50.45,-74.43,13.873
50.45,-74.43,13.692
50.45,-74.43,13.365
50.45,-74.43,13.506
50.45,-74.43,13.585
50.45,-74.43,13.204
50.45,-74.43,13.738
50.45,-74.43,13.548
50.45,-74.43,13.978
50.45,-74.43,13.742
50.45,-74.43,13.547
50.45,-74.43,13.412
50.45,-74.43,13.657
50.45,-74.43,13.88
50.45,-74.43,13.85
50.45,-74.43,13.479
50.45,-74.43,13.82
50.45,-74.43,13.506
50.45,-74.43,14.146
50.45,-74.43,13.514
50.45,-74.43,14.015
50.45,-74.43,13.952
50.45,-74.43,13.856
50.45,-74.43,13.921
50.45,-74.43,13.703
50.45,-74.43,13.655
50.45,-74.43,13.604
50.45,-74.43,13.445
50.45,-74.43,13.643
50.45,-74.43,13.641
50.44,-74.43,13.888
50.44,-74.43,13.707
50.44,-74.43,13.381
50.44,-74.43,13.521
50.44,-74.43,13.6
50.44,-74.43,13.22
50.44,-74.43,13.753
50.44,-74.43,13.563
50.44,-74.43,13.994
50.44,-74.43,13.757
50.44,-74.43,13.563
50.44,-74.43,13.427
50.44,-74.43,13.672
50.44,-74.43,13.895
50.44,-74.43,13.865
50.44,-74.43,13.494
50.44,-74.43,13.836
50.44,-74.43,13.521
50.44,-74.43,14.162
50.44,-74.43,13.53
50.44,-74.43,14.03
50.44,-74.43,13.968
50.44,-74.43,13.871
50.44,-74.43,13.936
50.44,-74.43,13.718
50.44,-74.43,13.67
50.44,-74.43,13.62
50.44,-74.43,13.46
50.44,-74.43,13.658
50.44,-74.43,13.657
50.46,-74.43,13.858
50.46,-74.43,13.676
50.46,-74.43,13.35
50.46,-74.43,13.491
50.46,-74.43,13.57
50.46,-74.43,13.189
50.46,-74.43,13.723
50.46,-74.43,13.533
50.46,-74.43,13.963
50.46,-74.43,13.726
50.46,-74.43,13.532
50.46,-74.43,13.397
50.46,-74.43,13.642
50.46,-74.43,13.865
50.46,-74.43,13.835
50.46,-74.43,13.464
50.46,-74.43,13.805
50.46,-74.43,13.491
50.46,-74.43,14.131
50.46,-74.43,13.499
50.46,-74.43,14
50.46,-74.43,13.937
50.46,-74.43,13.841
50.46,-74.43,13.906
50.46,-74.43,13.688
50.46,-74.43,13.639
50.46,-74.43,13.589
50.46,-74.43,13.43
50.46,-74.43,13.628
50.46,-74.43,13.626
50.46,-74.42,13.837
50.46,-74.42,13.655
50.46,-74.42,13.329
50.46,-74.42,13.47
50.46,-74.42,13.549
50.46,-74.42,13.168
50.46,-74.42,13.702
50.46,-74.42,13.512
50.46,-74.42,13.942
50.46,-74.42,13.705
50.46,-74.42,13.511
50.46,-74.42,13.376
50.46,-74.42,13.621
50.46,-74.42,13.844
50.46,-74.42,13.814
50.46,-74.42,13.443
50.46,-74.42,13.784
50.46,-74.42,13.47
50.46,-74.42,14.11
50.46,-74.42,13.478
50.46,-74.42,13.979
50.46,-74.42,13.916
50.46,-74.42,13.82
50.46,-74.42,13.885
50.46,-74.42,13.667
50.46,-74.42,13.618
50.46,-74.42,13.568
50.46,-74.42,13.409
50.46,-74.42,13.607
50.46,-74.42,13.605
50.45,-74.42,13.861
50.45,-74.42,13.68
50.45,-74.42,13.353
50.45,-74.42,13.494
50.45,-74.42,13.573
50.45,-74.42,13.192
50.45,-74.42,13.726
50.45,-74.42,13.536
50.45,-74.42,13.967
50.45,-74.42,13.73
50.45,-74.42,13.535
50.45,-74.42,13.4
50.45,-74.42,13.645
50.45,-74.42,13.868
50.45,-74.42,13.838
50.45,-74.42,13.467
50.45,-74.42,13.809
50.45,-74.42,13.494
50.45,-74.42,14.135
50.45,-74.42,13.503
50.45,-74.42,14.004
50.45,-74.42,13.941
50.45,-74.42,13.844
50.45,-74.42,13.909
50.45,-74.42,13.691
50.45,-74.42,13.643
50.45,-74.42,13.592
50.45,-74.42,13.433
50.45,-74.42,13.631
50.45,-74.42,13.63
50.35,-74.68,14.221
50.35,-74.68,14.051
50.35,-74.68,13.722
50.35,-74.68,13.887
50.35,-74.68,13.952
50.35,-74.68,13.581
50.35,-74.68,14.062
50.35,-74.68,13.912
50.35,-74.68,14.342
50.35,-74.68,14.124
50.35,-74.68,13.914
50.35,-74.68,13.769
50.35,-74.68,14.008
50.35,-74.68,14.244
50.35,-74.68,14.224
50.35,-74.68,13.844
50.35,-74.68,14.186
50.35,-74.68,13.88
50.35,-74.68,14.495
50.35,-74.68,13.859
50.35,-74.68,14.38
50.35,-74.68,14.3
50.35,-74.68,14.207
50.35,-74.68,14.275
50.35,-74.68,14.081
50.35,-74.68,14.005
50.35,-74.68,13.957
50.35,-74.68,13.822
50.35,-74.68,14.014
50.35,-74.68,13.995
50.36,-74.69,14.209
50.36,-74.69,14.038
50.36,-74.69,13.709
50.36,-74.69,13.874
50.36,-74.69,13.939
50.36,-74.69,13.568
50.36,-74.69,14.049
50.36,-74.69,13.9
50.36,-74.69,14.329
50.36,-74.69,14.111
50.36,-74.69,13.901
50.36,-74.69,13.756
50.36,-74.69,13.995
50.36,-74.69,14.231
50.36,-74.69,14.211
50.36,-74.69,13.831
50.36,-74.69,14.174
50.36,-74.69,13.867
50.36,-74.69,14.483
50.36,-74.69,13.846
50.36,-74.69,14.368
50.36,-74.69,14.287
50.36,-74.69,14.195
50.36,-74.69,14.262
50.36,-74.69,14.068
50.36,-74.69,13.993
50.36,-74.69,13.944
50.36,-74.69,13.809
50.36,-74.69,14.002
50.36,-74.69,13.982
50.36,-74.69,14.23
50.36,-74.69,14.06
50.36,-74.69,13.731
50.36,-74.69,13.896
50.36,-74.69,13.96
50.36,-74.69,13.589
50.36,-74.69,14.071
50.36,-74.69,13.921
50.36,-74.69,14.35
50.36,-74.69,14.133
50.36,-74.69,13.923
50.36,-74.69,13.778
50.36,-74.69,14.017
50.36,-74.69,14.253
50.36,-74.69,14.233
50.36,-74.69,13.853
50.36,-74.69,14.195
50.36,-74.69,13.889
50.36,-74.69,14.504
50.36,-74.69,13.868
50.36,-74.69,14.389
50.36,-74.69,14.309
50.36,-74.69,14.216
50.36,-74.69,14.284
50.36,-74.69,14.09
50.36,-74.69,14.014
50.36,-74.69,13.966
50.36,-74.69,13.83
50.36,-74.69,14.023
50.36,-74.69,14.004
50.36,-74.69,14.419
50.36,-74.69,14.25
50.36,-74.69,13.92
50.36,-74.69,14.085
50.36,-74.69,14.15
50.36,-74.69,13.778
50.36,-74.69,14.26
50.36,-74.69,14.111
50.36,-74.69,14.54
50.36,-74.69,14.322
50.36,-74.69,14.112
50.36,-74.69,13.968
50.36,-74.69,14.207
50.36,-74.69,14.442
50.36,-74.69,14.422
50.36,-74.69,14.042
50.36,-74.69,14.385
50.36,-74.69,14.078
50.36,-74.69,14.694
50.36,-74.69,14.057
50.36,-74.69,14.579
50.36,-74.69,14.499
50.36,-74.69,14.406
50.36,-74.69,14.474
50.36,-74.69,14.28
50.36,-74.69,14.203
50.36,-74.69,14.155
50.36,-74.69,14.019
50.36,-74.69,14.212
50.36,-74.69,14.194
50.35,-74.67,14.219
50.35,-74.67,14.049
50.35,-74.67,13.72
50.35,-74.67,13.885
50.35,-74.67,13.95
50.35,-74.67,13.579
50.35,-74.67,14.06
50.35,-74.67,13.91
50.35,-74.67,14.34
50.35,-74.67,14.122
